Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_18MXS_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MXS_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MXS_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MXS_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MXS_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18MXS_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18MXS_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18MXS_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
3,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
4,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
5,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
6,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
7,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
8,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
9,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
10,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
11,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
14,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
15,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
16,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Forest,Grassland
17,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
18,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
19,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
20,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
21,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
22,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
23,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Water,Grassland
24,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
25,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
26,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
27,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Built-up
28,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
29,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Grassland
30,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
31,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Forest
32,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Water,Grassland
33,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Grassland
34,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
35,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Forest,Grassland
36,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland,Grassland,Forest
37,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Grassland,Grassland
38,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Forest,Grassland
39,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
40,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
41,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Forest
42,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Grassland,Forest
43,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Grassland
44,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Forest
