Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19NEA_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NEA_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NEA_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NEA_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NEA_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19NEA_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19NEA_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19NEA_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
1,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
2,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Grassland
3,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Wetland
4,NULL,NULL,NULL,Water,Non_Wetland,Water,Wetland,Wetland
5,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
6,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
7,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
8,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
9,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
10,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
11,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Built-up,Grassland
14,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Built-up,Bareland
15,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Built-up,Built-up
16,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
17,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Built-up
18,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
19,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
