Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19NDC_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NDC_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NDC_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NDC_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NDC_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19NDC_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19NDC_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19NDC_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
1,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
2,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Wetland
3,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
4,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
5,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
6,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
7,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
8,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
9,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
10,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Bareland
11,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
14,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Water
15,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
16,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
17,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Bareland
18,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Built-up
19,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
20,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
21,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Forest
22,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
23,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
24,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
25,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
26,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
27,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
28,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
29,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
30,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Forest,Forest
