Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20LRM_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20LRM_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LRM_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LRM_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LRM_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LRM_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LRM_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20LRM_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
30,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Wetland
31,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
32,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
33,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
34,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
35,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
36,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
37,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
38,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Bareland
39,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
40,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
41,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
42,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
43,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
44,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
45,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
46,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
47,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
48,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Bareland
49,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
50,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
51,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
52,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
53,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
54,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Bareland
55,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
56,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,NULL
57,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
58,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
59,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
60,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
61,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
62,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
63,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
64,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
65,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Wetland
66,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
67,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
68,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
69,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
70,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
71,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
72,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
73,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
74,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
75,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Bareland
76,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Built-up
77,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
78,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
79,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
80,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
81,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
82,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
83,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
84,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
85,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
86,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
87,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
88,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,NULL
89,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
90,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Cropland
91,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Bareland
92,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
93,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Forest
94,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
95,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Grassland
96,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
97,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
98,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
99,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Forest
100,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
101,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
102,NULL,NULL,NULL,Water,Non_Wetland,NULL,Water,Grassland
103,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
104,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
105,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
106,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
107,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
108,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
109,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
110,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
111,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
112,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
113,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
114,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,NULL
115,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
116,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Bareland
117,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Forest
118,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Grassland
119,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Cropland
120,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Grassland
121,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,NULL
122,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
123,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
124,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
125,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
126,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
127,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
128,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
129,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
130,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
131,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
132,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
133,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
134,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
135,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Built-up
136,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
137,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,NULL
138,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
139,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Wetland
140,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Forest
141,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,NULL
142,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
143,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Forest
144,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Grassland
145,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,NULL
146,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
147,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
148,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
149,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
150,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Built-up
151,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
152,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
153,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
154,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Cropland
155,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Bareland
156,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
157,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
158,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
159,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
160,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
161,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
162,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
163,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
164,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
165,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,NULL
166,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
167,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Bareland
168,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Built-up
169,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
170,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,NULL
171,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
172,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Cropland
173,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Bareland
174,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
175,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
176,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
177,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Cropland
178,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Bareland
179,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
180,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Grassland
181,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Cropland
182,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Cropland
183,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,NULL
184,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
185,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Cropland
186,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Forest
187,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
188,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
189,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,NULL
190,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
191,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Forest
192,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
193,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Built-up
194,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
195,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
196,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
197,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
198,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
199,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
200,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,NULL
201,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
202,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Wetland
203,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
204,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,NULL
205,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
206,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Cropland
207,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Bareland
208,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Built-up
209,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Forest
210,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,NULL
211,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
212,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Wetland
213,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Bareland
214,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Built-up
215,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Forest
216,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,NULL
217,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
218,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Cropland
219,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
220,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
221,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
222,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
223,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,NULL
224,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
225,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
226,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Built-up
227,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
228,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,NULL
229,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Grassland
230,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Cropland
231,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Grassland
232,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,NULL
233,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
234,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Bareland
235,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
236,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,Grassland
237,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,Cropland
238,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Shrubland,Grassland
239,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Grassland
240,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Forest
241,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
242,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Cropland
243,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Wetland
244,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Bareland
245,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Shrubland,Grassland
246,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Bareland,Grassland
247,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Grassland
248,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Forest
249,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Shrubland,NULL
250,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Shrubland,Grassland
251,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Shrubland,Forest
252,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
253,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Grassland
254,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
255,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Cropland
256,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Shrubland,Grassland
257,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Wetland,Grassland
258,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
259,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
260,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,NULL
261,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
262,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Wetland
263,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Water,Grassland
264,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Shrubland,Grassland
265,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
266,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,NULL,Grassland
267,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,NULL,Cropland
268,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Wetland,NULL
269,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,Wetland,Grassland
270,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Grassland
271,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Grassland,Forest
272,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Water,Wetland
273,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
274,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
275,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
276,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
277,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Shrubland,NULL
278,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Shrubland,Grassland
279,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Shrubland,Forest
280,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,NULL
281,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Grassland
282,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Cropland
283,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Bareland
284,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Forest
285,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Bareland,Grassland
286,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Bareland,Forest
287,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Built-up,Grassland
288,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Forest,Grassland
289,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Forest,Bareland
290,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Forest,Forest
291,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,NULL,NULL
292,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,NULL,Grassland
293,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,NULL,Forest
294,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
295,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
296,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
297,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Grassland,NULL
298,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
299,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Built-up
300,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Forest
301,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Bareland,NULL
302,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
303,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Bareland,Forest
304,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Forest,NULL
305,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Forest,Grassland
306,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Forest,Forest
307,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,NULL
308,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
309,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Cropland
310,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Bareland
311,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Built-up
312,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Forest
313,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,NULL
314,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
315,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Cropland
316,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Built-up
317,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Forest
318,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,NULL
319,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
320,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Cropland
