Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21NZD_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NZD_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NZD_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NZD_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NZD_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21NZD_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21NZD_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21NZD_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
2,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Water
3,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
4,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
5,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Bareland
6,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
7,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
8,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Bareland
9,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Forest
10,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
11,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
12,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
13,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
14,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
15,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
16,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
17,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
18,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
19,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Water
20,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
21,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
22,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
23,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
24,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Bareland
25,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
26,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Bareland
27,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
28,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
29,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
30,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
31,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
32,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
33,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Bareland
34,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Water
35,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
36,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
37,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
38,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
39,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
40,NULL,NULL,Water,NULL,Water,NULL,NULL,Grassland
41,NULL,NULL,Water,NULL,Water,NULL,NULL,Forest
42,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
43,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Bareland
44,NULL,NULL,Water,Water,Water,NULL,NULL,Grassland
45,NULL,NULL,Water,Water,Water,NULL,NULL,Bareland
46,NULL,NULL,Water,Water,Water,NULL,NULL,Water
47,NULL,NULL,Water,Water,Water,NULL,NULL,Forest
48,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
49,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
50,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Water
51,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
52,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
53,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Bareland
