Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22KFG_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KFG_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KFG_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KFG_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KFG_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KFG_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KFG_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22KFG_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,NULL
30,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Grassland
31,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Grassland
32,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Water
33,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Forest
34,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,NULL
35,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Grassland
36,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Cropland
37,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Wetland
38,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Water
39,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
40,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,NULL
41,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
42,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Cropland
43,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Built-up
44,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
45,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
46,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
47,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
48,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
49,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
50,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Cropland
51,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Wetland
52,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
53,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,NULL
54,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
55,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Wetland
56,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Forest
57,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
58,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
59,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
60,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
61,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
62,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
63,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
64,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
65,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
66,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
67,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
68,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
69,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
70,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
71,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
72,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
73,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
74,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Water
75,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
76,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
77,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
78,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Cropland
79,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Wetland
80,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
81,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
82,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
83,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Built-up
84,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
85,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,NULL
86,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
87,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Cropland
88,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Built-up
89,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
90,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Forest
91,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
92,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
93,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
94,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Wetland
95,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Bareland
96,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
97,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,NULL
98,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
99,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
100,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
101,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Grassland
102,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,NULL
103,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
104,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
105,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
106,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Wetland,Grassland
107,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,NULL
108,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Grassland
109,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Cropland
110,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Forest
111,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,NULL
112,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
113,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Wetland
114,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Water
115,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
116,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,NULL
117,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
118,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
119,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
120,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
121,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Cropland
122,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
123,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
124,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
125,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
126,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
127,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Built-up,Grassland
128,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Built-up,Forest
129,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Grassland
130,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Forest
131,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
132,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
133,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
134,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
135,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
136,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
137,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
138,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
139,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
140,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
141,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
142,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Built-up
143,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
144,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
145,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
146,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
147,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
148,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
149,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Water
150,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
151,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
152,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Built-up
153,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
154,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
155,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
156,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
157,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
158,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
159,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
160,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Built-up
161,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Forest
162,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
163,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Cropland
164,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Bareland
165,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Built-up
166,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Water
167,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
168,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,NULL
169,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
170,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Cropland
171,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Forest
172,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Forest
173,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
174,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Cropland
175,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Forest
176,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Grassland
177,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Built-up
178,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,NULL
179,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
180,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Cropland
181,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Bareland
182,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
183,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Forest
184,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Forest,Grassland
185,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Forest,Forest
186,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Forest
187,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,NULL
188,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
189,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Cropland
190,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Bareland
191,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
192,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
193,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
194,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
195,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
196,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
197,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Cropland
198,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
199,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,NULL
200,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Grassland
201,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
202,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,NULL
203,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Forest
204,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Built-up,Grassland
205,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Built-up,Forest
206,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
207,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
208,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Cropland
209,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Bareland
210,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Water
211,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
212,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,NULL
213,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
214,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Cropland
215,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,NULL
216,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
217,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,NULL
218,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Grassland
219,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Grassland
220,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Forest,NULL
221,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Forest,Grassland
222,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Forest,Forest
223,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
224,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Wetland
225,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
226,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Forest
227,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
228,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,NULL
229,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
230,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Cropland
231,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Forest
232,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Wetland
233,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Grassland
234,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Forest
235,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
236,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,NULL
237,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
238,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Forest
239,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Wetland
240,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Water
241,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Grassland
242,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Wetland,Wetland
243,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Grassland
244,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Forest,Grassland
245,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
246,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Grassland
247,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Wetland
248,NULL,NULL,NULL,Water,Non_Wetland,NULL,Wetland,Wetland
249,NULL,NULL,NULL,Water,Non_Wetland,NULL,Water,Grassland
250,NULL,NULL,NULL,Water,Non_Wetland,NULL,Water,Water
251,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,Grassland
252,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,Cropland
253,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
254,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Cropland
255,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Wetland
256,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Water,Cropland
257,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Water,Wetland
258,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Wetland,Wetland
259,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Built-up,Grassland
260,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Grassland
261,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Forest,Forest
262,NULL,NULL,NULL,Water,Non_Wetland,Forest,Forest,Grassland
263,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
264,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
265,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
266,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
267,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
268,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
269,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
270,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
271,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
272,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Cropland
273,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Wetland
274,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Bareland
275,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Built-up
276,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
277,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
278,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
279,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
280,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Wetland
281,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Bareland
282,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Built-up
283,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Water
284,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
285,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,NULL
286,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
287,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Cropland
288,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Wetland
289,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Bareland
290,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Built-up
291,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Water
292,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
293,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,NULL
294,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
295,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Cropland
296,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Bareland
297,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Built-up
298,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Forest
299,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,NULL
300,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Grassland
301,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Cropland
302,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Wetland
303,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Bareland
304,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Built-up
305,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Forest
306,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Grassland
307,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Bareland
308,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Built-up
309,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Water
310,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Forest
311,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,NULL
312,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
313,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Cropland
314,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Built-up
315,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Water
316,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
317,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
318,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
319,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Cropland
320,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Built-up
321,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
322,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
323,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
324,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
325,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
326,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
327,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
328,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
329,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
330,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Cropland
