Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_23LRJ_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23LRJ_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23LRJ_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_23LRJ_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23LRJ_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23LRJ_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LRJ_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_23LRJ_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Grassland
30,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Bareland
31,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,NULL
32,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Grassland
33,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
34,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,NULL
35,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
36,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Cropland
37,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Wetland
38,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Bareland
39,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Built-up
40,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Water
41,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
42,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
43,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
44,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
45,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
46,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
47,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
48,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Water
49,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
50,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
51,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
52,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Cropland
53,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Wetland
54,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Bareland
55,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
56,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,NULL
57,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
58,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Bareland
59,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Built-up
60,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Forest
61,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,NULL
62,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Grassland
63,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Wetland
64,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Bareland
65,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
66,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
67,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Wetland
68,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Bareland
69,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
70,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
71,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
72,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
73,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Bareland
74,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
75,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
76,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
77,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
78,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Bareland
79,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
80,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
81,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
82,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
83,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
84,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
85,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
86,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
87,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Cropland
88,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Bareland
89,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,NULL
90,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
91,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
92,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,NULL
93,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
94,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
95,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Bareland
96,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
97,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,NULL
98,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Grassland
99,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Bareland
100,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,NULL
101,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
102,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
103,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Bareland
104,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
105,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
106,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
107,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Wetland
108,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
109,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
110,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
111,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
112,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
113,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Cropland
114,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Wetland
115,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Bareland
116,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Built-up
117,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
118,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
119,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
120,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
121,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Wetland
122,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
123,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
124,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
125,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Cropland
126,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
127,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
128,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
129,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,NULL
130,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
131,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Bareland
132,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,NULL
133,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
134,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Bareland
135,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,NULL
136,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
137,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,NULL
138,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
139,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Cropland
140,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Built-up
141,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,NULL
142,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
143,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Bareland
144,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,NULL
145,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Grassland
146,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Cropland
147,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Wetland
148,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Water
149,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,NULL
150,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Grassland
151,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Wetland
152,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Bareland
153,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Water
154,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Forest
155,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Wetland
156,NULL,NULL,NULL,NULL,Non_Wetland,Water,Bareland,NULL
157,NULL,NULL,NULL,NULL,Non_Wetland,Water,Bareland,Bareland
158,NULL,NULL,NULL,NULL,Non_Wetland,Water,Bareland,Built-up
159,NULL,NULL,NULL,NULL,Non_Wetland,Water,Bareland,Forest
160,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,NULL
161,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Grassland
162,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Bareland
163,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Water
164,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,NULL
165,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
166,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Wetland
167,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
168,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
169,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
170,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Wetland
171,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
172,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
173,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
174,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
175,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
176,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
177,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,NULL
178,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
179,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Cropland
180,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Wetland
181,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Bareland
182,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Water
183,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,NULL
184,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Grassland
185,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Wetland
186,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,NULL
187,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
188,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Wetland
189,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Bareland
190,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Bareland,Grassland
191,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Built-up,Grassland
192,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,NULL
193,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Grassland
194,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Cropland
195,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Wetland
196,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Forest
197,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
198,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
199,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Cropland
200,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Wetland
201,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Forest
202,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,NULL
203,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
204,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Cropland
205,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Wetland
206,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Wetland
207,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Forest,NULL
208,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Forest,Grassland
209,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Forest,Wetland
210,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Forest,Forest
211,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,NULL
212,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
213,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Cropland
214,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Bareland
215,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,NULL
216,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
217,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Cropland
218,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
219,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,NULL,NULL
220,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,NULL,Grassland
221,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,NULL,Cropland
222,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,Shrubland,Grassland
223,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,Grassland,Grassland
224,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,NULL
225,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Grassland
226,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Cropland
227,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Wetland
228,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Bareland
229,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,NULL
230,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,Grassland
231,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,Bareland
232,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
233,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
234,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Grassland
235,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Bareland
236,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,NULL
237,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Grassland
238,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Cropland
239,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Wetland
240,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Water
241,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Forest
242,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Shrubland,NULL
243,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Shrubland,Grassland
244,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Shrubland,Forest
245,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,NULL
246,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Grassland
247,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Grassland
248,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Wetland
249,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Water
250,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Forest
251,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,NULL,NULL
252,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,NULL,Grassland
253,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,NULL,Wetland
254,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,NULL,Forest
255,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Shrubland,NULL
256,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Shrubland,Grassland
257,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Shrubland,Wetland
258,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Grassland,Grassland
259,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Forest,NULL
260,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Forest,Grassland
261,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,NULL
262,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
263,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Cropland
264,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Wetland
265,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Bareland
266,NULL,NULL,NULL,Water,Non_Wetland,NULL,Shrubland,NULL
267,NULL,NULL,NULL,Water,Non_Wetland,NULL,Shrubland,Grassland
268,NULL,NULL,NULL,Water,Non_Wetland,NULL,Shrubland,Wetland
269,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Wetland
270,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Bareland
271,NULL,NULL,NULL,Water,Non_Wetland,NULL,Bareland,Grassland
272,NULL,NULL,NULL,Water,Non_Wetland,NULL,Bareland,Bareland
273,NULL,NULL,NULL,Water,Non_Wetland,NULL,Water,Grassland
274,NULL,NULL,NULL,Water,Non_Wetland,NULL,Water,Wetland
275,NULL,NULL,NULL,Water,Non_Wetland,NULL,Water,Bareland
276,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,NULL,NULL
277,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,NULL,Grassland
278,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,NULL,Cropland
279,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,NULL,Wetland
280,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,NULL
281,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Grassland
282,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Wetland
283,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Water
284,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Forest
285,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Grassland,Wetland
286,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Water,NULL
287,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Forest,NULL
288,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Forest,Grassland
289,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Forest,Wetland
290,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,Grassland
291,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Bareland,Grassland
292,NULL,NULL,NULL,Water,Non_Wetland,Bareland,NULL,Grassland
293,NULL,NULL,NULL,Water,Non_Wetland,Bareland,NULL,Wetland
294,NULL,NULL,NULL,Water,Non_Wetland,Bareland,NULL,Bareland
295,NULL,NULL,NULL,Water,Non_Wetland,Bareland,NULL,Water
296,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Bareland
297,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Grassland
298,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Bareland
299,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Water
300,NULL,NULL,NULL,Water,Non_Wetland,Water,NULL,Grassland
301,NULL,NULL,NULL,Water,Non_Wetland,Water,NULL,Wetland
302,NULL,NULL,NULL,Water,Non_Wetland,Water,NULL,Water
303,NULL,NULL,NULL,Water,Non_Wetland,Water,NULL,Forest
304,NULL,NULL,NULL,Water,Non_Wetland,Water,Shrubland,Grassland
305,NULL,NULL,NULL,Water,Non_Wetland,Water,Grassland,Wetland
306,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Grassland
307,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Wetland
308,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Bareland
309,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Water
310,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Forest
311,NULL,NULL,NULL,Water,Non_Wetland,Forest,NULL,Grassland
312,NULL,NULL,NULL,Water,Non_Wetland,Forest,NULL,Wetland
313,NULL,NULL,NULL,Water,Non_Wetland,Forest,Shrubland,Wetland
314,NULL,NULL,NULL,Water,Non_Wetland,Forest,Forest,NULL
315,NULL,NULL,NULL,Water,Non_Wetland,Forest,Forest,Grassland
316,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
317,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
318,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
319,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
320,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
321,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
322,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
323,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
324,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
325,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Cropland
326,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Wetland
327,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Bareland
328,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Built-up
329,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
330,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
