Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_23KKR_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23KKR_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23KKR_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_23KKR_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23KKR_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KKR_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KKR_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_23KKR_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Bareland,Forest
30,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,NULL
31,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Grassland
32,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Cropland
33,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Bareland
34,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Built-up
35,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Water
36,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Forest
37,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,NULL
38,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Grassland
39,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Cropland
40,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Water
41,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Forest
42,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Grassland
43,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Cropland
44,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Built-up
45,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
46,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
47,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Cropland
48,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Built-up
49,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
50,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
51,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
52,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
53,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
54,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
55,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
56,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
57,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,NULL
58,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
59,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Cropland
60,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Wetland
61,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Forest
62,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
63,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Cropland
64,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Grassland
65,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Built-up
66,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Forest
67,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Grassland
68,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
69,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
70,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
71,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
72,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
73,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Built-up
74,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
75,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
76,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
77,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
78,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
79,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
80,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
81,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
82,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
83,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
84,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Cropland
85,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Wetland
86,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
87,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
88,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Cropland
89,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Bareland
90,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
91,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Cropland
92,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Forest
93,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
94,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
95,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
96,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
97,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Built-up
98,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
99,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
100,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
101,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Bareland
102,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Built-up
103,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
104,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Cropland
105,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
106,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
107,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
108,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Wetland,Grassland
109,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Wetland,Cropland
110,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Wetland,Forest
111,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Bareland,Cropland
112,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Bareland,Bareland
113,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Built-up,Grassland
114,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Built-up,Cropland
115,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Built-up,Bareland
116,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Built-up,Built-up
117,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Grassland
118,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Cropland
119,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Forest
120,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,NULL
121,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
122,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Cropland
123,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Wetland
124,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Built-up
125,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Water
126,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
127,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
128,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
129,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Wetland
130,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
131,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
132,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
133,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Cropland
134,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
135,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
136,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Forest
137,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Built-up,Grassland
138,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Built-up,Built-up
139,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Built-up,Water
140,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Built-up,Forest
141,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Grassland
142,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Forest
143,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
144,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
145,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Wetland
146,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
147,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
148,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
149,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
150,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
151,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
152,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
153,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Built-up
154,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
155,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
156,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
157,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Cropland
158,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Bareland
159,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Built-up
160,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Water
161,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
162,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
163,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
164,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Cropland
165,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
166,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
167,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
168,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
169,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Cropland
170,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Bareland
171,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Built-up
172,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Water
173,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Forest
174,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
175,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Bareland
176,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Built-up
177,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Forest
178,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
179,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Bareland
180,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Built-up
181,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Water
182,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
183,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
184,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Cropland
185,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Bareland
186,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Built-up
187,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Water
188,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Forest
189,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Forest
190,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
191,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Built-up
192,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Wetland,Cropland
193,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Wetland,Built-up
194,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Wetland,Forest
195,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Grassland
196,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Bareland
197,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Built-up
198,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Forest
199,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
200,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Cropland
201,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Bareland
202,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
203,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Water
204,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Forest
205,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Water,Grassland
206,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Water,Water
207,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Water,Forest
208,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Forest,Built-up
209,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Forest,Forest
210,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Water
211,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Forest
212,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Grassland
213,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Forest
214,NULL,NULL,NULL,NULL,Non_Wetland,Water,Bareland,Water
215,NULL,NULL,NULL,NULL,Non_Wetland,Water,Built-up,Water
216,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Water
217,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Forest
218,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
219,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Cropland
220,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Wetland
221,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Built-up
222,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Water
223,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
224,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
225,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
226,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
227,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Cropland
228,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Wetland
229,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Bareland
230,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
231,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,NULL
232,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Grassland
233,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Wetland
234,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
235,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Grassland
236,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Forest
237,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Built-up,Grassland
238,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Built-up,Cropland
239,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Built-up,Bareland
240,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Built-up,Built-up
241,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Built-up,Forest
242,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Water,Forest
243,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
244,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Cropland
245,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Bareland
246,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
247,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,NULL
248,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
249,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Cropland
250,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Wetland
251,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Water
252,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
253,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
254,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Wetland
255,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,NULL
256,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Grassland
257,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Cropland
258,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Wetland
259,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Forest
260,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Bareland,Grassland
261,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Bareland,Cropland
262,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Bareland,Forest
263,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Built-up,Forest
264,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,NULL
265,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Grassland
266,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Wetland
267,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Bareland
268,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Forest
269,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Forest,Forest
270,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,Grassland
271,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,Cropland
272,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Grassland
273,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
274,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,NULL
275,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Grassland
276,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Cropland
277,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Wetland
278,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Forest
279,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
280,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,NULL
281,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
282,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Cropland
283,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
284,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Forest
285,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Built-up,Forest
286,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Forest
287,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Grassland
288,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
289,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Cropland
290,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
291,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Forest
292,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Grassland
293,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Bareland
294,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Forest,Grassland
295,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Wetland
296,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Forest
297,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,NULL,Cropland
298,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,NULL,Wetland
299,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,NULL,Bareland
300,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Wetland,Wetland
301,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Wetland,Forest
302,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Forest,Forest
303,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
304,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Bareland
305,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Water
306,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Forest
307,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Grassland
308,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Wetland
309,NULL,NULL,NULL,Water,Non_Wetland,NULL,Bareland,Bareland
310,NULL,NULL,NULL,Water,Non_Wetland,NULL,Built-up,Forest
311,NULL,NULL,NULL,Water,Non_Wetland,NULL,Water,Grassland
312,NULL,NULL,NULL,Water,Non_Wetland,NULL,Water,Water
313,NULL,NULL,NULL,Water,Non_Wetland,NULL,Water,Forest
314,NULL,NULL,NULL,Water,Non_Wetland,Wetland,NULL,Water
315,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Water,Forest
316,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Forest
317,NULL,NULL,NULL,Water,Non_Wetland,Built-up,NULL,Water
318,NULL,NULL,NULL,Water,Non_Wetland,Water,NULL,Water
319,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
320,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
321,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
322,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
323,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
324,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
325,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
326,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
327,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
328,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
329,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Cropland
330,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Wetland
331,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Bareland
332,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Built-up
