Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_18MTA_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MTA_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MTA_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MTA_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MTA_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18MTA_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,Forest
1,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
2,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
3,NULL,NULL,Shrubland,NULL,Non_Wetland,Water
4,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
5,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water
6,NULL,NULL,Shrubland,Water,Non_Wetland,Water
7,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
8,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
9,NULL,NULL,Grassland,Non_Water,Non_Wetland,Water
10,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
11,NULL,NULL,Grassland,Water,Non_Wetland,Water
12,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
13,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
14,NULL,NULL,Cropland,Non_Water,Non_Wetland,Water
15,NULL,NULL,Cropland,Water,Non_Wetland,Water
16,NULL,NULL,Wetland,NULL,Wetland,Grassland
17,NULL,NULL,Wetland,NULL,Wetland,Wetland
18,NULL,NULL,Wetland,NULL,Wetland,Water
19,NULL,NULL,Wetland,NULL,Wetland,Forest
20,NULL,NULL,Wetland,Non_Water,Wetland,Wetland
21,NULL,NULL,Wetland,Non_Water,Wetland,Water
22,NULL,NULL,Wetland,Non_Water,Wetland,Forest
23,NULL,NULL,Wetland,Water,Wetland,Wetland
24,NULL,NULL,Wetland,Water,Wetland,Water
25,NULL,NULL,Bareland,NULL,Non_Wetland,Water
26,NULL,NULL,Bareland,Water,Non_Wetland,Water
27,NULL,NULL,Built-up,Water,Non_Wetland,Water
28,NULL,NULL,Water,NULL,Water,Grassland
29,NULL,NULL,Water,NULL,Water,Wetland
30,NULL,NULL,Water,NULL,Water,Water
31,NULL,NULL,Water,NULL,Water,Forest
32,NULL,NULL,Water,Non_Water,Water,Water
33,NULL,NULL,Water,Water,Water,Grassland
34,NULL,NULL,Water,Water,Water,Wetland
35,NULL,NULL,Water,Water,Water,Water
36,NULL,NULL,Water,Water,Water,Forest
37,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
38,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
39,NULL,NULL,Forest,NULL,Non_Wetland,Built-up
40,NULL,NULL,Forest,NULL,Non_Wetland,Water
41,NULL,NULL,Forest,NULL,Non_Wetland,Forest
42,NULL,NULL,Forest,Non_Water,Non_Wetland,Bareland
43,NULL,NULL,Forest,Non_Water,Non_Wetland,Water
44,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest
45,NULL,NULL,Forest,Water,Non_Wetland,Bareland
46,NULL,NULL,Forest,Water,Non_Wetland,Water
47,NULL,NULL,Forest,Water,Non_Wetland,Forest
48,NULL,Wetland,Shrubland,NULL,Non_Wetland,Grassland
49,NULL,Wetland,Shrubland,NULL,Non_Wetland,Wetland
50,NULL,Wetland,Shrubland,NULL,Non_Wetland,Forest
51,NULL,Wetland,Wetland,NULL,Wetland,Wetland
52,NULL,Wetland,Wetland,NULL,Wetland,Forest
53,NULL,Wetland,Wetland,Non_Water,Wetland,Grassland
54,NULL,Wetland,Wetland,Non_Water,Wetland,Wetland
55,NULL,Wetland,Water,Water,Water,Wetland
56,NULL,Wetland,Forest,NULL,Non_Wetland,Water
57,NULL,Wetland,Forest,NULL,Non_Wetland,Forest
58,NULL,Bareland,NULL,NULL,Non_Wetland,Grassland
59,NULL,Bareland,Shrubland,NULL,Non_Wetland,Grassland
60,NULL,Bareland,Shrubland,NULL,Non_Wetland,Forest
61,NULL,Bareland,Cropland,Water,Non_Wetland,Water
62,NULL,Bareland,Wetland,Non_Water,Wetland,Water
63,NULL,Bareland,Wetland,Water,Wetland,Bareland
64,NULL,Bareland,Wetland,Water,Wetland,Water
65,NULL,Bareland,Wetland,Water,Wetland,Forest
66,NULL,Bareland,Bareland,Water,Non_Wetland,Water
67,NULL,Bareland,Built-up,NULL,Non_Wetland,Grassland
68,NULL,Bareland,Built-up,NULL,Non_Wetland,Forest
69,NULL,Bareland,Built-up,Water,Non_Wetland,Grassland
70,NULL,Bareland,Water,Non_Water,Water,Bareland
71,NULL,Bareland,Water,Water,Water,Water
72,NULL,Bareland,Water,Water,Water,Forest
73,NULL,Bareland,Forest,NULL,Non_Wetland,Grassland
74,NULL,Bareland,Forest,NULL,Non_Wetland,Bareland
75,NULL,Bareland,Forest,NULL,Non_Wetland,Water
76,NULL,Bareland,Forest,NULL,Non_Wetland,Forest
77,NULL,Bareland,Forest,Non_Water,Non_Wetland,Water
78,NULL,Bareland,Forest,Water,Non_Wetland,Water
79,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up
80,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
81,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
82,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
83,NULL,Built-up,Shrubland,NULL,Non_Wetland,Water
84,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest
85,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Grassland
86,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Forest
87,NULL,Built-up,Shrubland,Water,Non_Wetland,Grassland
88,NULL,Built-up,Shrubland,Water,Non_Wetland,Forest
89,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
90,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
91,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
92,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest
93,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Forest
94,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
95,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland
96,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up
97,NULL,Built-up,Cropland,NULL,Non_Wetland,Water
98,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest
99,NULL,Built-up,Cropland,Water,Non_Wetland,Forest
100,NULL,Built-up,Wetland,NULL,Wetland,Forest
101,NULL,Built-up,Wetland,Non_Water,Wetland,Forest
102,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland
103,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland
104,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up
105,NULL,Built-up,Bareland,NULL,Non_Wetland,Forest
106,NULL,Built-up,Bareland,Non_Water,Non_Wetland,Grassland
107,NULL,Built-up,Bareland,Non_Water,Non_Wetland,Forest
108,NULL,Built-up,Bareland,Water,Non_Wetland,Grassland
109,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
110,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
111,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
112,NULL,Built-up,Built-up,NULL,Non_Wetland,Water
113,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
114,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Forest
115,NULL,Built-up,Built-up,Water,Non_Wetland,Grassland
116,NULL,Built-up,Built-up,Water,Non_Wetland,Bareland
117,NULL,Built-up,Built-up,Water,Non_Wetland,Built-up
118,NULL,Built-up,Built-up,Water,Non_Wetland,Forest
119,NULL,Built-up,Water,NULL,Water,Water
120,NULL,Built-up,Water,Water,Water,Built-up
121,NULL,Built-up,Water,Water,Water,Water
122,NULL,Built-up,Water,Water,Water,Forest
123,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland
124,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland
125,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up
126,NULL,Built-up,Forest,NULL,Non_Wetland,Forest
127,NULL,Built-up,Forest,Non_Water,Non_Wetland,Grassland
128,NULL,Built-up,Forest,Non_Water,Non_Wetland,Built-up
129,NULL,Built-up,Forest,Non_Water,Non_Wetland,Forest
130,NULL,Built-up,Forest,Water,Non_Wetland,Grassland
131,NULL,Built-up,Forest,Water,Non_Wetland,Forest
132,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland
133,NULL,Water,Shrubland,NULL,Non_Wetland,Water
134,NULL,Water,Shrubland,NULL,Non_Wetland,Forest
135,NULL,Water,Shrubland,Non_Water,Non_Wetland,Water
136,NULL,Water,Shrubland,Non_Water,Non_Wetland,Forest
137,NULL,Water,Shrubland,Water,Non_Wetland,Grassland
138,NULL,Water,Shrubland,Water,Non_Wetland,Water
139,NULL,Water,Grassland,Non_Water,Non_Wetland,Forest
140,NULL,Water,Grassland,Water,Non_Wetland,Water
141,NULL,Water,Cropland,NULL,Non_Wetland,Bareland
142,NULL,Water,Cropland,NULL,Non_Wetland,Forest
143,NULL,Water,Cropland,Non_Water,Non_Wetland,Water
144,NULL,Water,Cropland,Water,Non_Wetland,Forest
145,NULL,Water,Wetland,NULL,Wetland,Grassland
146,NULL,Water,Wetland,NULL,Wetland,Forest
147,NULL,Water,Wetland,Non_Water,Wetland,Water
148,NULL,Water,Wetland,Non_Water,Wetland,Forest
149,NULL,Water,Wetland,Water,Wetland,Water
150,NULL,Water,Wetland,Water,Wetland,Forest
151,NULL,Water,Bareland,NULL,Non_Wetland,Forest
152,NULL,Water,Built-up,NULL,Non_Wetland,Grassland
153,NULL,Water,Built-up,NULL,Non_Wetland,Built-up
154,NULL,Water,Built-up,Non_Water,Non_Wetland,Water
155,NULL,Water,Water,Non_Water,Water,Bareland
156,NULL,Water,Water,Water,Water,Water
157,NULL,Water,Water,Water,Water,Forest
158,NULL,Water,Forest,NULL,Non_Wetland,Grassland
159,NULL,Water,Forest,NULL,Non_Wetland,Bareland
160,NULL,Water,Forest,NULL,Non_Wetland,Water
161,NULL,Water,Forest,NULL,Non_Wetland,Forest
162,NULL,Water,Forest,Non_Water,Non_Wetland,Water
163,NULL,Water,Forest,Non_Water,Non_Wetland,Forest
164,NULL,Water,Forest,Water,Non_Wetland,Water
165,NULL,Water,Forest,Water,Non_Wetland,Forest
166,NULL,Forest,NULL,NULL,Non_Wetland,Grassland
167,NULL,Forest,NULL,NULL,Non_Wetland,Forest
168,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
169,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland
170,NULL,Forest,Shrubland,NULL,Non_Wetland,Built-up
171,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
172,NULL,Forest,Shrubland,Water,Non_Wetland,Grassland
173,NULL,Forest,Shrubland,Water,Non_Wetland,Water
174,NULL,Forest,Shrubland,Water,Non_Wetland,Forest
175,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland
176,NULL,Forest,Grassland,NULL,Non_Wetland,Forest
