Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21MTU_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MTU_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MTU_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MTU_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MTU_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MTU_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MTU_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21MTU_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Forest
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Forest
2,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
3,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
4,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
5,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
6,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
7,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Forest
8,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
9,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
10,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
11,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
12,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
13,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Grassland
14,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Forest
15,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
16,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
17,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
18,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
19,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Forest
20,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
21,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
22,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Forest
23,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Grassland
24,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Grassland
25,NULL,NULL,NULL,NULL,Non_Wetland,Water,Forest,Grassland
26,NULL,NULL,NULL,NULL,Non_Wetland,Water,Forest,Forest
27,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
28,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
29,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
30,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
31,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,NULL
32,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
33,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Wetland
34,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Forest
35,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
36,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
