Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22LDJ_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LDJ_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LDJ_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LDJ_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LDJ_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LDJ_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LDJ_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22LDJ_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
30,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
31,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
32,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
33,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Water
34,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
35,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
36,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
37,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Wetland
38,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
39,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,NULL
40,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
41,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Wetland
42,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Water
43,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Forest
44,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
45,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Grassland
46,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Wetland
47,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Forest
48,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
49,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
50,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Wetland
51,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
52,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
53,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
54,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
55,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Wetland
56,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
57,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
58,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
59,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
60,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Wetland
61,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Bareland
62,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Built-up
63,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
64,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
65,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
66,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
67,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
68,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
69,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
70,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
71,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
72,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
73,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Cropland
74,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Wetland
75,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Built-up
76,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
77,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
78,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
79,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
80,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Bareland
81,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Forest
82,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
83,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
84,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
85,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
86,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
87,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,NULL
88,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
89,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Bareland
90,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
91,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,NULL
92,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
93,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Cropland
94,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Wetland
95,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
96,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,NULL
97,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
98,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Wetland
99,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
100,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
101,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
102,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Wetland
103,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
104,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
105,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
106,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
107,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Water
108,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
109,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Grassland
110,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,NULL
111,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Grassland
112,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Wetland
113,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Water
114,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
115,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
116,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Wetland
117,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
118,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
119,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
120,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Wetland
121,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
122,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
123,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
124,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
125,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
126,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Wetland
127,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Bareland
128,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Built-up
129,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
130,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
131,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
132,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Wetland
133,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
134,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
135,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
136,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,NULL
137,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
138,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Wetland
139,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Water
140,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
141,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
142,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
143,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Cropland
144,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
145,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
146,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
147,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
148,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Wetland
149,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Water
150,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Forest
151,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,NULL
152,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
153,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Wetland
154,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
155,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
156,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Grassland
157,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Wetland
158,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Water
159,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
160,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
161,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
162,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Wetland
163,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
164,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
165,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
166,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
167,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,NULL
168,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Grassland
169,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Wetland
170,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
171,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Water,Forest
172,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
173,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
174,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Grassland
175,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Forest
176,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
177,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Bareland
178,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Forest
179,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,NULL
180,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Bareland,Bareland
181,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Forest,Wetland
182,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Forest,Forest
183,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,NULL
184,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Grassland
185,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Wetland
186,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Forest
187,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
188,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
189,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Wetland
190,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Forest
191,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,NULL
192,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
193,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Wetland
194,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Forest
195,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,NULL
196,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,Grassland
197,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,Wetland
198,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,Forest
199,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,NULL
200,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Wetland
201,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Forest,Wetland
202,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Forest,Forest
203,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
204,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Wetland
205,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Forest
206,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
207,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Wetland
208,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Forest
209,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,NULL
210,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
211,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Cropland
212,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
213,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Forest
214,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,NULL
215,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
216,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Wetland
217,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,NULL
218,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Grassland
219,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Water
220,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Forest,Grassland
221,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Grassland
222,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Wetland
223,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Shrubland,NULL
224,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Shrubland,Grassland
225,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Shrubland,Wetland
226,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,NULL
227,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
228,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Wetland
229,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Water
230,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,NULL
231,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
232,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
233,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Grassland
234,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Wetland
235,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Forest,Wetland
236,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Grassland
237,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,Grassland
238,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,Wetland
239,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,Water
240,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,NULL
241,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
242,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Water
243,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Forest
244,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Wetland,NULL
245,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
246,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Wetland,Wetland
247,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Wetland,Bareland
248,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
249,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,NULL
250,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Grassland
251,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Wetland
252,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Bareland
253,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Water
254,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Forest,NULL
255,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Forest,Wetland
256,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Wetland
257,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Grassland
258,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Wetland
259,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Forest
260,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Shrubland,Forest
261,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Grassland,NULL
262,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Wetland,Forest
263,NULL,NULL,NULL,Water,Non_Wetland,NULL,Shrubland,Grassland
264,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,NULL
265,NULL,NULL,NULL,Water,Non_Wetland,NULL,Wetland,Wetland
266,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,NULL,Wetland
267,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Grassland
268,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Grassland,Grassland
269,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Grassland,Wetland
270,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Wetland,NULL
271,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Wetland,Wetland
272,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Wetland,Forest
273,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Water,Wetland
274,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,Grassland
275,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Shrubland,Grassland
276,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,NULL
277,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
278,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Forest
279,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Wetland,Grassland
280,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Wetland,Wetland
281,NULL,NULL,NULL,Water,Non_Wetland,Wetland,NULL,Grassland
282,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Grassland,Grassland
283,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Grassland
284,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Wetland
285,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Forest
286,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Water,Wetland
287,NULL,NULL,NULL,Water,Non_Wetland,Bareland,NULL,Bareland
288,NULL,NULL,NULL,Water,Non_Wetland,Bareland,NULL,Forest
289,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Shrubland,Wetland
290,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Shrubland,Water
291,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Wetland,Grassland
292,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Wetland,Wetland
293,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Grassland
294,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Wetland
295,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Forest
296,NULL,NULL,NULL,Water,Non_Wetland,Water,Wetland,Wetland
297,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
298,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
299,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
300,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
301,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
302,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
303,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
304,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
305,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Wetland
306,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Bareland
307,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Water
308,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
309,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
310,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
311,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
312,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Wetland
313,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Bareland
314,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Built-up
315,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Water
316,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
317,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,NULL
318,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
319,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Wetland
320,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Bareland
321,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
322,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,NULL
323,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
324,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Cropland
325,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Bareland
326,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Grassland
327,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Bareland
