Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21KUU_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KUU_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KUU_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KUU_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KUU_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KUU_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KUU_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21KUU_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Wetland
30,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Grassland
31,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Wetland
32,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
33,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,NULL
34,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
35,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Wetland
36,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
37,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Wetland
38,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Wetland
39,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Forest
40,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
41,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Wetland
42,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Wetland
43,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
44,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
45,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Forest
46,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
47,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Wetland
48,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Wetland
49,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
50,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Wetland
51,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
52,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Grassland
53,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Wetland
54,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
55,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Wetland
56,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
57,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Wetland
58,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
59,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
60,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
61,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
62,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
63,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
64,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
65,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
66,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Wetland
67,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
68,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
69,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
70,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
71,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Wetland
72,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
73,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
74,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
75,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Wetland
76,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
77,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
78,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Wetland
79,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
80,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
81,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
82,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
83,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
84,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
85,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
86,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
87,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
88,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
89,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Wetland
90,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Wetland
91,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
92,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Wetland
93,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
94,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
95,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
96,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
97,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Wetland
98,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,NULL,Grassland
99,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,NULL,Wetland
100,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Shrubland,Wetland
101,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
102,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Wetland
103,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Wetland
104,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Forest
105,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,NULL
106,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
107,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
108,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
109,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,NULL,Wetland
110,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
111,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,Grassland,Wetland
112,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,Grassland,Forest
113,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,NULL,Grassland
114,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,NULL,Wetland
115,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Shrubland,Wetland
116,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Shrubland,Forest
117,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,NULL
118,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
119,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
120,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Forest
121,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
122,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Wetland
123,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Forest
124,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Water,Wetland
125,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,NULL,Grassland
126,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,NULL,Wetland
127,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,NULL
128,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
129,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Wetland
130,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
131,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
132,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Water,Wetland
133,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Grassland,Grassland
134,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Grassland,Wetland
135,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Grassland,Bareland
136,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Wetland,Grassland
137,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,NULL
138,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
139,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
140,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,NULL,Wetland
141,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Grassland
142,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Wetland
143,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Wetland
144,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Grassland,Grassland
145,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Grassland,Wetland
146,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Grassland
147,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
148,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
149,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
150,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
151,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Wetland
152,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Forest
153,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
154,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Wetland
155,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
156,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,Wetland
157,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Wetland
158,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
159,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Wetland
160,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,NULL,Wetland
161,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Shrubland,Wetland
162,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
163,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
164,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
165,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
166,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
167,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
168,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
169,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
170,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Water
171,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
172,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,NULL,Grassland
173,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,NULL,Wetland
174,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,NULL,Forest
175,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
176,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Wetland
177,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Forest
178,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Grassland
179,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Wetland
180,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Forest
181,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
182,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Forest
183,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,NULL
184,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
185,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Wetland
186,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Built-up
187,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
188,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Grassland
189,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Wetland
190,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Forest
191,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Water,Wetland
192,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Grassland
193,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Wetland
194,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Forest
195,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,NULL,Wetland
196,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Grassland,Grassland
197,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Grassland,Wetland
198,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Wetland,Grassland
199,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Grassland
200,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Wetland
201,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Bareland
202,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Forest
203,NULL,NULL,Cropland,NULL,Non_Wetland,Water,NULL,Grassland
204,NULL,NULL,Cropland,NULL,Non_Wetland,Water,NULL,Wetland
205,NULL,NULL,Cropland,NULL,Non_Wetland,Water,Grassland,Grassland
206,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,NULL,Wetland
207,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Grassland,Forest
208,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
209,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Wetland
210,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Bareland
211,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
212,NULL,NULL,Cropland,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
213,NULL,NULL,Cropland,Non_Water,Non_Wetland,Shrubland,Grassland,Wetland
214,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,NULL,Grassland
215,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,NULL,Wetland
216,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,NULL,Forest
217,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
218,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
219,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Grassland,Bareland
220,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Grassland,Forest
221,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
222,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Wetland,Wetland
223,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Water,Grassland
224,NULL,NULL,Cropland,Non_Water,Non_Wetland,Wetland,NULL,Wetland
225,NULL,NULL,Cropland,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
226,NULL,NULL,Cropland,Non_Water,Non_Wetland,Wetland,Grassland,Wetland
227,NULL,NULL,Cropland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
228,NULL,NULL,Cropland,Non_Water,Non_Wetland,Water,Grassland,Grassland
229,NULL,NULL,Cropland,Non_Water,Non_Wetland,Water,Grassland,Wetland
230,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
231,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Wetland
232,NULL,NULL,Cropland,Water,Non_Wetland,Grassland,Grassland,Grassland
233,NULL,NULL,Cropland,Water,Non_Wetland,Grassland,Grassland,Wetland
234,NULL,NULL,Cropland,Water,Non_Wetland,Grassland,Wetland,Wetland
235,NULL,NULL,Cropland,Water,Non_Wetland,Wetland,Grassland,Grassland
236,NULL,NULL,Cropland,Water,Non_Wetland,Wetland,Grassland,Wetland
237,NULL,NULL,Cropland,Water,Non_Wetland,Bareland,Grassland,Wetland
238,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
239,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
240,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
241,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Bareland
242,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
243,NULL,NULL,Wetland,NULL,Wetland,Shrubland,NULL,Wetland
244,NULL,NULL,Wetland,NULL,Wetland,Shrubland,NULL,Forest
245,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Shrubland,Wetland
246,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Grassland,Grassland
247,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Grassland,Wetland
248,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Grassland,Forest
249,NULL,NULL,Wetland,NULL,Wetland,Grassland,NULL,Grassland
250,NULL,NULL,Wetland,NULL,Wetland,Grassland,NULL,Wetland
251,NULL,NULL,Wetland,NULL,Wetland,Grassland,NULL,Forest
252,NULL,NULL,Wetland,NULL,Wetland,Grassland,Shrubland,Grassland
253,NULL,NULL,Wetland,NULL,Wetland,Grassland,Shrubland,Wetland
254,NULL,NULL,Wetland,NULL,Wetland,Grassland,Shrubland,Forest
255,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
256,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Wetland
257,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Forest
258,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
259,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Wetland
260,NULL,NULL,Wetland,NULL,Wetland,Wetland,NULL,Grassland
261,NULL,NULL,Wetland,NULL,Wetland,Wetland,NULL,Wetland
262,NULL,NULL,Wetland,NULL,Wetland,Wetland,NULL,Forest
263,NULL,NULL,Wetland,NULL,Wetland,Wetland,Shrubland,Grassland
264,NULL,NULL,Wetland,NULL,Wetland,Wetland,Shrubland,Wetland
265,NULL,NULL,Wetland,NULL,Wetland,Wetland,Shrubland,Forest
266,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Grassland
267,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Wetland
268,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Forest
269,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
270,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
271,NULL,NULL,Wetland,NULL,Wetland,Water,NULL,Grassland
272,NULL,NULL,Wetland,NULL,Wetland,Water,NULL,Wetland
273,NULL,NULL,Wetland,NULL,Wetland,Water,Grassland,Grassland
274,NULL,NULL,Wetland,NULL,Wetland,Water,Grassland,Wetland
275,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,NULL
276,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
277,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
278,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
279,NULL,NULL,Wetland,Non_Water,Wetland,Shrubland,NULL,Wetland
280,NULL,NULL,Wetland,Non_Water,Wetland,Shrubland,Grassland,Grassland
281,NULL,NULL,Wetland,Non_Water,Wetland,Shrubland,Grassland,Wetland
282,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,NULL,Grassland
283,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,NULL,Wetland
284,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,NULL,Forest
285,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Shrubland,Wetland
286,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Shrubland,Forest
287,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Grassland,Grassland
288,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Grassland,Wetland
289,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Grassland,Forest
290,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Grassland
291,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Wetland
292,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,NULL,Grassland
293,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,NULL,Wetland
294,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Grassland,Grassland
295,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Grassland,Wetland
296,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
297,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Wetland
298,NULL,NULL,Wetland,Non_Water,Wetland,Water,NULL,Wetland
299,NULL,NULL,Wetland,Non_Water,Wetland,Water,Grassland,Grassland
300,NULL,NULL,Wetland,Non_Water,Wetland,Water,Grassland,Wetland
301,NULL,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Wetland
302,NULL,NULL,Wetland,Non_Water,Wetland,Water,Water,Wetland
303,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
304,NULL,NULL,Wetland,Water,Wetland,Grassland,Grassland,Grassland
305,NULL,NULL,Wetland,Water,Wetland,Grassland,Grassland,Wetland
306,NULL,NULL,Wetland,Water,Wetland,Grassland,Grassland,Water
307,NULL,NULL,Wetland,Water,Wetland,Wetland,Grassland,Grassland
308,NULL,NULL,Wetland,Water,Wetland,Wetland,Grassland,Wetland
309,NULL,NULL,Wetland,Water,Wetland,Wetland,Grassland,Water
310,NULL,NULL,Wetland,Water,Wetland,Water,Grassland,Grassland
311,NULL,NULL,Wetland,Water,Wetland,Water,Grassland,Wetland
312,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
313,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland,Grassland,Grassland
314,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland,Grassland,Grassland
315,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
316,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Wetland
317,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland,NULL,Grassland
318,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
319,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
320,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
321,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Wetland
322,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
323,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
