Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_23KKB_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23KKB_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23KKB_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_23KKB_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23KKB_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KKB_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KKB_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_23KKB_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Bareland
30,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Forest
31,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,NULL
32,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Grassland
33,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Cropland
34,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
35,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,NULL
36,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
37,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Cropland
38,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Wetland
39,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Water
40,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
41,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
42,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
43,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
44,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
45,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
46,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
47,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Water
48,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
49,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
50,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
51,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Cropland
52,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Wetland
53,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Built-up
54,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
55,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,NULL
56,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
57,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Wetland
58,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Forest
59,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,NULL
60,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
61,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Bareland
62,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Built-up
63,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Forest
64,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,NULL
65,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Grassland
66,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,NULL
67,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Grassland
68,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Wetland
69,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Water
70,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
71,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
72,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
73,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
74,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
75,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
76,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Wetland
77,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Bareland
78,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Built-up
79,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
80,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
81,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
82,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
83,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Bareland
84,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Built-up
85,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Water
86,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
87,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
88,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
89,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
90,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
91,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
92,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Water
93,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
94,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
95,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
96,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Wetland
97,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
98,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
99,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
100,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Bareland
101,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Water
102,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
103,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,NULL
104,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
105,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Forest
106,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,NULL
107,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
108,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
109,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
110,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
111,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Bareland
112,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
113,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,NULL
114,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
115,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
116,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
117,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,NULL
118,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Grassland
119,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,NULL
120,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
121,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
122,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
123,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Grassland
124,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Cropland
125,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Forest
126,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,NULL
127,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
128,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Water
129,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
130,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,NULL
131,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
132,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Wetland
133,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Water
134,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
135,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
136,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
137,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Wetland
138,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
139,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
140,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
141,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
142,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
143,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Forest
144,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,NULL
145,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Wetland
146,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Forest
147,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
148,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
149,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
150,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
151,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
152,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
153,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
154,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Water
155,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
156,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
157,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
158,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Wetland
159,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Bareland
160,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Built-up
161,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Water
162,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
163,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
164,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
165,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
166,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
167,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
168,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Water
169,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
170,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,NULL
171,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
172,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Wetland
173,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Water
174,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
175,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
176,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Cropland
177,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
178,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
179,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Water
180,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
181,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,NULL
182,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
183,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Bareland
184,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Forest
185,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,NULL
186,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
187,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Wetland
188,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Bareland
189,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Water
190,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Forest
191,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,NULL
192,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
193,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Bareland
194,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Water
195,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
196,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Grassland
197,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Built-up
198,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
199,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,NULL
200,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
201,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Cropland
202,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
203,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,NULL
204,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Grassland
205,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Bareland
206,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,NULL
207,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Grassland
208,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Water
209,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
210,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Bareland
211,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Forest
212,NULL,NULL,NULL,NULL,Non_Wetland,Water,Bareland,Bareland
213,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Bareland
214,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Water
215,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Forest
216,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,NULL
217,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
218,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Cropland
219,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
220,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
221,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
222,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Cropland
223,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Wetland
224,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
225,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
226,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
227,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Cropland
228,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
229,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,NULL
230,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Grassland
231,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
232,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,NULL
233,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Grassland
234,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Cropland
235,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Forest
236,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Built-up,Forest
237,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Water,NULL
238,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Water,Forest
239,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
240,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
241,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Cropland
242,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Bareland
243,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
244,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
245,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Wetland
246,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Water
247,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Grassland
248,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Forest
249,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
250,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Wetland
251,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Forest
252,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Wetland
253,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Bareland,Grassland
254,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Bareland,Forest
255,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Wetland
256,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Forest,Forest
257,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Grassland
258,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Wetland
259,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
260,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
261,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Wetland
262,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
263,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,NULL
264,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,Wetland
265,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Bareland,NULL
266,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Bareland,Grassland
267,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Bareland,Water
268,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Wetland
269,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,NULL
270,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
271,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Wetland
272,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
273,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Wetland
274,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,NULL
275,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
276,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Cropland
277,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,NULL
278,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
279,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Wetland
280,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Grassland
281,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Wetland
282,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,NULL,Cropland
283,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Grassland
284,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Shrubland,NULL
285,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Shrubland,Forest
286,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,NULL
287,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Bareland,NULL
288,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,NULL
289,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Forest
290,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Grassland
291,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Wetland
292,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,Grassland
293,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Wetland,NULL
294,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
295,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Wetland,Wetland
296,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,NULL
297,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
298,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Cropland
299,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
300,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Wetland
301,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Bareland
302,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Water
303,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Water
304,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Shrubland,Grassland
305,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Bareland
306,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Wetland
307,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Water
308,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Shrubland,Grassland
309,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Wetland
310,NULL,NULL,NULL,Water,Non_Wetland,NULL,Shrubland,Water
311,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Grassland
312,NULL,NULL,NULL,Water,Non_Wetland,NULL,Wetland,Wetland
313,NULL,NULL,NULL,Water,Non_Wetland,NULL,Water,Water
314,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,NULL,NULL
315,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,NULL,Grassland
316,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,NULL,Wetland
317,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,NULL,Water
318,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,NULL,Forest
319,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,NULL
320,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Grassland
321,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Wetland
322,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Grassland,Grassland
323,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Grassland,Forest
324,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Wetland,Grassland
325,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Wetland,Wetland
326,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Bareland,Grassland
327,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Water,NULL
328,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Water,Grassland
329,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Water,Wetland
330,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,Grassland
