Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22MBV_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MBV_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MBV_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MBV_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MBV_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MBV_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MBV_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22MBV_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
2,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
3,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
4,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
5,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
6,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
7,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
8,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
9,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
10,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
11,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
12,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
13,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
14,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
15,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Grassland
16,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Forest
17,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
18,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
19,NULL,NULL,NULL,NULL,Non_Wetland,Water,Bareland,Grassland
20,NULL,NULL,NULL,NULL,Non_Wetland,Water,Bareland,Forest
21,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Forest
22,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
23,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
24,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
25,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
26,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
27,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
28,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
29,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
30,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
31,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
32,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
33,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
34,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
35,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
36,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
37,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
38,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
39,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
40,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
41,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
42,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Water
43,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
44,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
45,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Forest
46,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Grassland
47,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Water
48,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
49,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
50,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Forest
51,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Grassland
52,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Bareland,Grassland
53,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Bareland,Forest
54,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
55,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
56,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Water,Grassland
57,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Water,Grassland
58,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Grassland
59,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Water,Grassland
60,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Grassland
61,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Water,Grassland
62,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
63,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
64,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
