Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22LHN_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LHN_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LHN_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LHN_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LHN_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LHN_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LHN_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22LHN_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Water
30,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
31,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
32,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
33,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
34,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
35,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
36,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
37,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Water
38,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
39,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
40,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
41,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Cropland
42,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Wetland
43,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Bareland
44,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Water
45,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
46,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,NULL
47,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
48,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Wetland
49,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Bareland
50,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Forest
51,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,NULL
52,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
53,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Bareland
54,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Forest
55,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,NULL
56,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Grassland
57,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Wetland
58,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
59,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
60,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
61,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
62,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
63,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
64,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Bareland
65,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Built-up
66,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
67,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
68,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
69,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
70,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Wetland
71,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Bareland
72,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Built-up
73,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Water
74,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
75,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
76,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
77,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
78,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
79,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
80,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
81,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Water
82,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
83,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
84,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
85,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Cropland
86,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Wetland
87,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Bareland
88,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
89,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
90,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
91,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
92,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
93,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
94,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
95,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
96,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,NULL
97,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
98,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
99,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Bareland
100,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
101,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,NULL
102,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Grassland
103,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Cropland
104,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Forest
105,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,NULL
106,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
107,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
108,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Bareland
109,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
110,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,NULL
111,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Grassland
112,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Forest
113,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
114,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,NULL
115,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
116,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Wetland
117,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Water
118,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
119,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
120,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
121,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Water
122,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
123,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
124,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
125,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
126,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
127,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,NULL
128,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Wetland
129,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Water
130,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
131,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
132,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
133,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
134,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
135,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
136,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
137,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
138,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
139,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
140,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
141,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Cropland
142,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Bareland
143,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Built-up
144,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
145,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
146,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
147,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
148,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
149,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
150,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Water
151,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
152,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,NULL
153,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
154,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Wetland
155,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
156,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
157,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
158,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Wetland
159,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
160,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
161,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Water
162,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
163,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Forest
164,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Wetland
165,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Forest
166,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,NULL
167,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
168,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Bareland
169,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
170,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Grassland
171,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
172,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Grassland
173,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
174,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
175,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Water
176,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Grassland
177,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Wetland
178,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Water
179,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
180,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Water
181,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Water
182,NULL,NULL,NULL,NULL,Non_Wetland,Water,Forest,Forest
183,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,NULL
184,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
185,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
186,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
187,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
188,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
189,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
190,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
191,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
192,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,NULL
193,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Grassland
194,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
195,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,NULL
196,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
197,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
198,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Cropland
199,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
200,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
201,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
202,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Wetland
203,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Forest
204,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
205,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Wetland
206,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,Wetland
207,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Wetland
208,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,NULL
209,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
210,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Wetland
211,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Forest
212,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,NULL
213,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
214,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,NULL
215,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
216,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Cropland
217,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Water
218,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Wetland
219,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Water
220,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Shrubland,NULL
221,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Shrubland,Grassland
222,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Shrubland,Wetland
223,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Shrubland,Forest
224,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Water
225,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
226,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
227,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Wetland
228,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,Water
229,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
230,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Wetland,Wetland
231,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
232,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Wetland
233,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Grassland
234,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Wetland
235,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
236,NULL,NULL,NULL,Water,Non_Wetland,NULL,Shrubland,NULL
237,NULL,NULL,NULL,Water,Non_Wetland,NULL,Shrubland,Water
238,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Grassland
239,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,NULL,Grassland
240,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,NULL,Water
241,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,NULL,Forest
242,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,NULL
243,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Grassland
244,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Water
245,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Forest
246,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Grassland,Grassland
247,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Grassland,Wetland
248,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Grassland,Water
249,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Grassland,Forest
250,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Wetland,Wetland
251,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Water,NULL
252,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Water,Forest
253,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Forest,NULL
254,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Forest,Grassland
255,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,Grassland
256,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Shrubland,NULL
257,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Shrubland,Grassland
258,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Shrubland,Water
259,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Shrubland,Forest
260,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,NULL
261,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
262,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Wetland
263,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Water
264,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Forest
265,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Water,Grassland
266,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Forest,NULL
267,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Shrubland,Water
268,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Shrubland,Forest
269,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Wetland
270,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Water,Grassland
271,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Water,Wetland
272,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Water,Water
273,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Shrubland,Water
274,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Shrubland,Forest
275,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Grassland,Grassland
276,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Grassland,Water
277,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Wetland,Grassland
278,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Wetland,Wetland
279,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Grassland
280,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Wetland
281,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Bareland
282,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Water
283,NULL,NULL,NULL,Water,Non_Wetland,Water,NULL,Water
284,NULL,NULL,NULL,Water,Non_Wetland,Water,Shrubland,Water
285,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Water
286,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
287,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
288,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
289,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
290,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
291,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
292,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
293,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
294,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
295,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
296,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Cropland
297,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Wetland
298,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Bareland
299,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Built-up
300,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Water
301,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
302,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
303,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
304,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
305,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Wetland
306,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Bareland
307,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Built-up
308,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Water
309,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
310,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,NULL
311,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
312,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Cropland
313,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Wetland
314,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Bareland
315,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
316,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,NULL
317,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
318,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Cropland
319,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Bareland
320,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Built-up
321,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Forest
322,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,NULL
323,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Grassland
324,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,NULL
325,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
326,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Cropland
327,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Bareland
328,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
329,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
330,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
