Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19KDV_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19KDV_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19KDV_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19KDV_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19KDV_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19KDV_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19KDV_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19KDV_M_R
29,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
30,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
31,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
32,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
33,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
34,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
35,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
36,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
37,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
38,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
39,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
40,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
41,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
42,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Bareland
43,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
44,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
45,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
46,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Bareland
47,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Water
48,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,NULL
49,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
50,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Cropland
51,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Bareland
52,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
53,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
54,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
55,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
56,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
57,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Water
58,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
59,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
60,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
61,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
62,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
63,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
64,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
65,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
66,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
67,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
68,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Water
69,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
70,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
71,NULL,NULL,Water,NULL,Water,NULL,NULL,Grassland
72,NULL,NULL,Water,NULL,Water,NULL,NULL,Bareland
73,NULL,NULL,Water,NULL,Water,NULL,NULL,Water
74,NULL,NULL,Water,Water,Water,NULL,NULL,Bareland
75,NULL,NULL,Water,Water,Water,NULL,NULL,Water
76,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
77,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
78,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
79,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
80,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
81,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
82,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
83,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,NULL
84,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
85,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
86,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
87,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
88,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
89,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
90,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
91,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
92,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
93,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
94,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
95,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
96,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
97,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
98,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
99,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
100,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
101,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
102,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
103,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
104,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
105,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Grassland
106,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Bareland
107,NULL,Cropland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
108,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,NULL
109,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
110,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Cropland
111,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
112,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
113,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
114,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
115,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
116,NULL,Cropland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
117,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
118,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
119,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
120,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
121,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
122,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
123,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,NULL
124,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
125,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
126,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
127,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Water
128,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
129,NULL,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
130,NULL,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
131,NULL,Wetland,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
132,NULL,Wetland,NULL,Water,Non_Wetland,NULL,NULL,Grassland
133,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
134,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
135,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
136,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
137,NULL,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
138,NULL,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
139,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
140,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
141,NULL,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
142,NULL,Wetland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
143,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Grassland
144,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
145,NULL,Wetland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
146,NULL,Wetland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
147,NULL,Wetland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
148,NULL,Wetland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
149,NULL,Wetland,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
150,NULL,Wetland,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
151,NULL,Wetland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
152,NULL,Wetland,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
153,NULL,Wetland,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
154,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
155,NULL,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,NULL
156,NULL,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
157,NULL,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
158,NULL,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
159,NULL,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
160,NULL,Bareland,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
161,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
162,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
163,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
164,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
165,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
166,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
167,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
168,NULL,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
169,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
170,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
171,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
172,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
173,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
174,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
175,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
176,NULL,Bareland,Wetland,NULL,Wetland,NULL,NULL,Grassland
177,NULL,Bareland,Wetland,NULL,Wetland,NULL,NULL,Bareland
178,NULL,Bareland,Wetland,Water,Wetland,NULL,NULL,Bareland
179,NULL,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
180,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
181,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
182,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
183,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
184,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
185,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Water
186,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
187,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
188,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
189,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
190,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Water
191,NULL,Bareland,Water,NULL,Water,NULL,NULL,Bareland
192,NULL,Bareland,Permanent_ice_and_snow,NULL,Non_Wetland,NULL,NULL,Bareland
193,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,NULL
194,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
195,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
196,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
197,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,NULL
198,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
199,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
200,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
201,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
202,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Forest
203,NULL,Built-up,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
204,NULL,Built-up,NULL,Non_Water,Non_Wetland,NULL,NULL,Water
205,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
206,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
207,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
208,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
209,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
210,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
211,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
212,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
213,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
214,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
215,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
216,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,NULL,Water
217,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
218,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
219,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
220,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
221,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
222,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
223,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
224,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
225,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
226,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Grassland
227,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Bareland
228,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Built-up
229,NULL,Built-up,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
230,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,NULL
231,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Cropland
232,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Bareland
233,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Built-up
234,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
235,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
236,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
237,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
238,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
239,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Water
240,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
241,NULL,Built-up,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
242,NULL,Built-up,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
243,NULL,Built-up,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
244,NULL,Built-up,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
245,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
246,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
247,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
248,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
249,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
250,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Water
251,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
252,NULL,Built-up,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
253,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,NULL
254,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
255,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
256,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
257,NULL,Water,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
258,NULL,Water,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
259,NULL,Water,NULL,Water,Non_Wetland,NULL,NULL,Water
260,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
261,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
262,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
263,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
264,NULL,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
265,NULL,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
266,NULL,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Water
267,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Water
268,NULL,Water,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
269,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Grassland
270,NULL,Water,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
271,NULL,Water,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
272,NULL,Water,Water,NULL,Water,NULL,NULL,Grassland
273,NULL,Water,Water,NULL,Water,NULL,NULL,Water
274,NULL,Water,Water,Water,Water,NULL,NULL,Water
275,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,NULL
276,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Forest
277,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
278,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
279,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
280,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
281,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
282,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
283,NULL,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
284,NULL,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
285,NULL,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,Water
286,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
287,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
288,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
289,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,NULL
290,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
291,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
292,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Wetland
293,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
294,Grassland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
295,Grassland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Wetland
296,Grassland,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
297,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
298,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
299,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
300,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
301,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
302,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
303,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
304,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
305,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
306,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
307,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
308,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
309,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
310,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
311,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
312,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
313,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
314,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
315,Grassland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
316,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
317,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
318,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
319,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Bareland
320,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
321,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
322,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Water
323,Grassland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
324,Grassland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Bareland
325,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
326,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
327,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
328,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Wetland
329,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
330,Grassland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
331,Grassland,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
