Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22KDA_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KDA_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KDA_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KDA_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KDA_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KDA_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KDA_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22KDA_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
2,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
3,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Shrubland,Grassland
4,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Grassland
5,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Cropland
6,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Built-up
7,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Forest
8,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Grassland
9,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Forest
10,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Bareland,Built-up
11,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Grassland
12,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
13,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
14,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Cropland
15,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
16,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
17,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
18,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
19,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
20,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
21,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
22,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
23,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
24,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
25,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
26,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
27,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
28,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
29,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,NULL
30,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
31,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
32,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
33,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Wetland
34,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
35,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
36,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
37,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
38,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
39,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
40,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
41,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,NULL
42,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
43,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
