Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_23MPP_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MPP_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MPP_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_23MPP_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MPP_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MPP_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MPP_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_23MPP_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
30,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
31,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
32,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
33,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
34,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
35,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
36,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
37,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Cropland
38,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Wetland
39,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Bareland
40,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Built-up
41,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
42,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,NULL
43,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
44,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Wetland
45,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Forest
46,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,NULL
47,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
48,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Bareland
49,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Forest
50,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,NULL
51,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Grassland
52,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Built-up
53,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Forest
54,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Grassland
55,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
56,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
57,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Cropland
58,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Wetland
59,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Bareland
60,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Built-up
61,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
62,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
63,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
64,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
65,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Wetland
66,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Bareland
67,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Built-up
68,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
69,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
70,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
71,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
72,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Wetland
73,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Bareland
74,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Built-up
75,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
76,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
77,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
78,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
79,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
80,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
81,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
82,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
83,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
84,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
85,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Cropland
86,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
87,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,NULL
88,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
89,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Cropland
90,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Bareland
91,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Built-up
92,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Forest
93,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Forest
94,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
95,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
96,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
97,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Bareland
98,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Built-up
99,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
100,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,NULL
101,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
102,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
103,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
104,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Grassland
105,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,NULL
106,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
107,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
108,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
109,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Bareland,Grassland
110,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,NULL
111,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Cropland
112,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Forest
113,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,NULL
114,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
115,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Wetland
116,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Bareland
117,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
118,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
119,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
120,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
121,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
122,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
123,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
124,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Grassland
125,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Wetland
126,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
127,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
128,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
129,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
130,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
131,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
132,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
133,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Water
134,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
135,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
136,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
137,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Cropland
138,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Bareland
139,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Built-up
140,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
141,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
142,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
143,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
144,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
145,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
146,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
147,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
148,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
149,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Cropland
150,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
151,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
152,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
153,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,NULL
154,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
155,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Forest
156,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,NULL
157,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
158,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Cropland
159,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Bareland
160,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Built-up
161,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
162,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,NULL
163,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
164,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Forest
165,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,NULL
166,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Grassland
167,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Built-up
168,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Forest
169,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,NULL
170,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
171,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Built-up
172,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Forest
173,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,NULL
174,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
175,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
176,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Forest,Grassland
177,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Wetland
178,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Grassland
179,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Bareland
180,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Forest
181,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Forest
182,NULL,NULL,NULL,NULL,Non_Wetland,Water,Forest,Grassland
183,NULL,NULL,NULL,NULL,Non_Wetland,Water,Forest,Wetland
184,NULL,NULL,NULL,NULL,Non_Wetland,Water,Forest,Water
185,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,NULL
186,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
187,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
188,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
189,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
190,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Wetland
191,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
192,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
193,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
194,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
195,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Built-up,Forest
196,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Water,NULL
197,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
198,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
199,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Cropland
200,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Wetland
201,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Bareland
202,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Built-up
203,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
204,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Forest,Forest
205,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
206,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
207,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Wetland
208,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Forest
209,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Forest,NULL
210,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Forest,Grassland
211,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Forest,Wetland
212,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Forest,Forest
213,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
214,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Forest
215,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Built-up,Grassland
216,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Forest,NULL
217,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Forest,Grassland
218,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Forest,Forest
219,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Shrubland,Wetland
220,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Bareland,Wetland
221,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Forest
222,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Forest
223,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Forest,Forest
224,NULL,NULL,NULL,Non_Water,Non_Wetland,Built-up,Built-up,Grassland
225,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Grassland,NULL
226,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Grassland,Grassland
227,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Forest,NULL
228,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Forest,Grassland
229,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Forest,Wetland
230,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Forest,Forest
231,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Grassland
232,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Grassland,Wetland
233,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Water
234,NULL,NULL,NULL,Water,Non_Wetland,Forest,Shrubland,Forest
235,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
236,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
237,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
238,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
239,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
240,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
241,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
242,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
243,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
244,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Cropland
245,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Built-up
246,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
247,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
248,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
249,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
250,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Built-up
251,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
252,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,NULL
253,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
254,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Forest
255,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Grassland
256,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,NULL
257,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
258,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Cropland
259,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Built-up
260,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
261,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
262,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
263,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Cropland
264,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Bareland
265,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Built-up
266,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
267,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
268,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
269,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
270,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
271,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
272,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
273,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Water
274,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
275,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
276,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
277,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Cropland
278,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Wetland
279,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Bareland
280,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Built-up
281,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
282,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,NULL
283,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
284,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Forest
285,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,NULL
286,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
287,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Bareland
288,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Built-up
289,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Forest
290,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,NULL
291,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,Grassland
292,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,Cropland
293,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,Built-up
294,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,Forest
295,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,NULL
296,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Bareland
297,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Forest
298,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,NULL
299,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
300,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Cropland
301,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Wetland
302,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Bareland
303,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Built-up
304,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Water
305,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
306,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
307,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
308,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
309,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Wetland
310,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Bareland
311,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Built-up
312,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Water
313,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
314,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
315,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
316,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Cropland
317,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Bareland
318,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Built-up
319,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Water
320,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
321,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
322,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
323,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
324,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
325,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
