Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22LDL_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LDL_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LDL_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LDL_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LDL_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LDL_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LDL_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22LDL_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
30,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
31,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
32,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
33,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
34,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
35,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Built-up
36,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
37,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,NULL
38,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
39,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Wetland
40,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Forest
41,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,NULL
42,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Grassland
43,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
44,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
45,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Wetland
46,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
47,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
48,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
49,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
50,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Built-up
51,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
52,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
53,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
54,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
55,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
56,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
57,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
58,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
59,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
60,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
61,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
62,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
63,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
64,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
65,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
66,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
67,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
68,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
69,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
70,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
71,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
72,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,NULL
73,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
74,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
75,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
76,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Grassland
77,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Cropland
78,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Forest
79,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,NULL
80,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
81,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
82,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Bareland
83,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
84,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Bareland,Bareland
85,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Grassland
86,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Forest
87,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
88,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,NULL
89,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
90,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Wetland
91,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
92,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
93,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Cropland
94,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
95,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
96,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
97,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
98,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
99,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
100,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Cropland
101,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Wetland
102,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
103,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
104,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
105,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
106,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
107,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Cropland
108,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Wetland
109,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Bareland
110,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Built-up
111,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
112,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
113,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
114,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
115,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
116,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
117,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
118,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,NULL
119,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
120,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
121,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
122,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
123,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
124,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
125,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
126,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
127,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
128,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
129,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Grassland
130,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Wetland
131,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
132,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
133,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
134,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
135,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
136,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
137,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
138,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Grassland
139,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
140,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Grassland
141,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
142,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
143,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Wetland
144,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Forest
145,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
146,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Wetland
147,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Forest
148,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,NULL
149,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,Grassland
150,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,Wetland
151,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,Forest
152,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Grassland
153,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
154,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
155,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,NULL
156,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
157,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
158,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Forest,Grassland
159,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Shrubland,NULL
160,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Shrubland,Grassland
161,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,NULL
162,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
163,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,NULL
164,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
165,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
166,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Forest
167,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,NULL
168,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Grassland
169,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,Forest
170,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Bareland
171,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
172,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Shrubland,Grassland
173,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Forest,Forest
174,NULL,NULL,NULL,Water,Non_Wetland,NULL,Shrubland,Grassland
175,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Grassland
176,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Wetland
177,NULL,NULL,NULL,Water,Non_Wetland,NULL,Wetland,Grassland
178,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Wetland,Grassland
179,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Wetland,Wetland
180,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Water,Grassland
181,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Water,Forest
182,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
183,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Wetland,Grassland
184,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Shrubland,Grassland
185,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Grassland
186,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Wetland
187,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Water
188,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Shrubland,Grassland
189,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Wetland,Grassland
190,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
191,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
192,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
193,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
194,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
195,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
196,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
197,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
198,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
199,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
200,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Cropland
201,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Bareland
202,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Built-up
203,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
204,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
205,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
206,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
207,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Bareland
208,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Built-up
209,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Water
210,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
211,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,NULL
212,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
213,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Cropland
214,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Bareland
215,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Water
216,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
217,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,NULL
218,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
219,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Forest
220,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Grassland
221,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Forest
222,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
223,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Built-up
224,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
225,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
226,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
227,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Cropland
228,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Bareland
229,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Water
230,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
231,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
232,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
233,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
234,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
235,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
236,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Water
237,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
238,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
239,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
240,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Cropland
241,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Wetland
242,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Bareland
243,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Built-up
244,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Water
245,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
246,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,NULL
247,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
248,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Cropland
249,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Wetland
250,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Bareland
251,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Built-up
252,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Water
253,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Forest
254,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,NULL
255,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
256,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Forest
257,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Grassland
258,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Forest
259,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,NULL
260,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
261,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
262,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
263,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
264,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
265,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Bareland
266,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Built-up
267,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
268,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
269,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
270,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Cropland
271,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Wetland
272,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Bareland
273,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Built-up
274,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
275,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
276,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
277,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
278,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
279,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
280,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
281,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Water
282,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
283,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
284,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
285,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Cropland
286,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
287,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Bareland
288,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Water
289,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
290,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,NULL
291,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
292,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Cropland
293,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Bareland
294,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
295,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
296,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Cropland
297,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Forest
298,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
299,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
300,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Cropland
301,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
302,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,NULL
303,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Grassland
304,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Cropland
305,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Forest
306,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,NULL
307,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Grassland
308,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Cropland
309,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Forest
310,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,NULL
311,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
312,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Cropland
313,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Bareland
314,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Forest
315,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,NULL
316,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Grassland
317,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Bareland
318,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Bareland,Grassland
319,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Grassland
320,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Forest
321,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,NULL
322,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
