Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21NWF_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NWF_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NWF_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NWF_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NWF_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21NWF_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21NWF_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21NWF_M_R
0,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
1,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
2,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
3,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
4,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
5,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
6,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
7,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
8,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
9,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
10,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
11,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
12,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
13,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Water
14,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
15,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
16,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
17,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
18,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
19,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
20,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
21,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
22,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Bareland
23,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
24,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
25,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
26,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
27,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
28,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
29,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
30,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
31,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
32,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Bareland
33,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Water
34,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
35,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
36,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
37,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
38,NULL,NULL,Water,NULL,Water,NULL,NULL,Grassland
39,NULL,NULL,Water,NULL,Water,NULL,NULL,Wetland
40,NULL,NULL,Water,NULL,Water,NULL,NULL,Bareland
41,NULL,NULL,Water,NULL,Water,NULL,NULL,Water
42,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
43,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Wetland
44,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Forest
45,NULL,NULL,Water,Water,Water,NULL,NULL,Grassland
46,NULL,NULL,Water,Water,Water,NULL,NULL,Wetland
47,NULL,NULL,Water,Water,Water,NULL,NULL,Bareland
48,NULL,NULL,Water,Water,Water,NULL,NULL,Water
49,NULL,NULL,Water,Water,Water,NULL,NULL,Forest
50,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
51,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
52,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
53,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
54,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Water
55,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
56,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
57,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
58,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
59,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Wetland
60,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Bareland
61,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Forest
62,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
63,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
64,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
65,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
66,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
67,NULL,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
68,NULL,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
69,NULL,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Water
70,NULL,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
71,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Grassland
72,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Wetland
73,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Bareland
74,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Water
75,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Forest
76,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
77,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
78,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Water
79,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Forest
80,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Grassland
81,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Wetland
82,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Water
83,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Forest
84,NULL,Wetland,Water,NULL,Water,NULL,NULL,Wetland
85,NULL,Wetland,Water,Non_Water,Water,NULL,NULL,Wetland
86,NULL,Wetland,Water,Water,Water,NULL,NULL,Wetland
87,NULL,Wetland,Water,Water,Water,NULL,NULL,Bareland
88,NULL,Wetland,Water,Water,Water,NULL,NULL,Water
89,NULL,Wetland,Water,Water,Water,NULL,NULL,Forest
90,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
91,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
92,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
93,NULL,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
94,NULL,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Grassland
95,NULL,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Wetland
96,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
97,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
98,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
99,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
100,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
101,NULL,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
102,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
103,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
104,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
105,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
106,NULL,Bareland,Wetland,Water,Wetland,NULL,NULL,Grassland
107,NULL,Bareland,Wetland,Water,Wetland,NULL,NULL,Wetland
108,NULL,Bareland,Wetland,Water,Wetland,NULL,NULL,Bareland
109,NULL,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
110,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
111,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
112,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
113,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
114,NULL,Bareland,Water,NULL,Water,NULL,NULL,Wetland
115,NULL,Bareland,Water,Water,Water,NULL,NULL,Grassland
116,NULL,Bareland,Water,Water,Water,NULL,NULL,Bareland
