Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21NVB_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NVB_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NVB_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NVB_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NVB_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21NVB_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21NVB_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21NVB_M_R
0,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
1,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
2,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
3,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
4,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Shrubland,Grassland
5,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Shrubland,Forest
6,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
7,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Forest
8,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Bareland,Grassland
9,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Forest,Grassland
10,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Forest,Forest
11,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Grassland
14,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
15,NULL,NULL,Water,Water,Water,Water,Water,Water
16,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
17,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,Forest
18,NULL,NULL,Forest,NULL,Non_Wetland,Water,Forest,Forest
19,NULL,Bareland,Water,Water,Water,Wetland,Water,Water
20,NULL,Bareland,Water,Water,Water,Water,Water,Water
21,NULL,Water,Wetland,Water,Wetland,Water,Water,Water
22,NULL,Water,Water,Water,Water,Water,Water,Water
23,NULL,Forest,Shrubland,NULL,Non_Wetland,Water,Shrubland,Grassland
24,NULL,Forest,Shrubland,NULL,Non_Wetland,Water,Grassland,Forest
25,NULL,Forest,Shrubland,NULL,Non_Wetland,Water,Forest,Grassland
26,NULL,Forest,Shrubland,NULL,Non_Wetland,Water,Forest,Forest
27,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
28,NULL,Forest,Wetland,NULL,Wetland,Water,Wetland,Forest
29,NULL,Forest,Wetland,NULL,Wetland,Forest,Forest,Grassland
30,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
31,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Forest,Forest
32,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Forest,Grassland
33,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Forest,Forest
34,Grassland,Forest,Forest,NULL,Non_Wetland,Forest,Wetland,Forest
35,Cropland,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
36,Cropland,NULL,Shrubland,NULL,Non_Wetland,Water,Forest,Grassland
37,Cropland,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
38,Cropland,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
39,Cropland,Forest,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
40,Cropland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
41,Cropland,Forest,Forest,NULL,Non_Wetland,Forest,NULL,Forest
42,Cropland,Forest,Forest,NULL,Non_Wetland,Forest,Forest,Forest
43,Wetland,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Bareland
44,Wetland,NULL,Shrubland,Non_Water,Non_Wetland,Water,Wetland,Forest
45,Wetland,NULL,Shrubland,Water,Non_Wetland,Water,Water,Grassland
46,Wetland,NULL,Wetland,Water,Wetland,Water,Water,Bareland
47,Wetland,NULL,Water,Water,Water,Water,Water,Water
48,Wetland,NULL,Water,Water,Water,Water,Water,Forest
49,Wetland,Water,Water,Water,Water,Water,Water,Water
50,Bareland,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
51,Bareland,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
52,Bareland,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,Forest
53,Bareland,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,Forest
54,Bareland,Bareland,Forest,NULL,Non_Wetland,Bareland,Bareland,Forest
55,Bareland,Water,Wetland,Water,Wetland,NULL,Water,Water
56,Bareland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
57,Bareland,Forest,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
58,Bareland,Forest,Forest,NULL,Non_Wetland,Bareland,Bareland,Forest
59,Bareland,Forest,Forest,NULL,Non_Wetland,Forest,Forest,Forest
60,Water,NULL,Shrubland,Water,Non_Wetland,Water,Water,Grassland
61,Water,NULL,Shrubland,Water,Non_Wetland,Water,Water,Water
62,Water,NULL,Water,Water,Water,Water,Water,Grassland
63,Water,NULL,Water,Water,Water,Water,Water,Bareland
64,Water,NULL,Water,Water,Water,Water,Water,Forest
65,Water,NULL,Forest,Water,Non_Wetland,Water,Water,Water
66,Water,Bareland,Shrubland,Water,Non_Wetland,Water,Water,Water
67,Water,Bareland,Wetland,NULL,Wetland,Water,Water,Water
68,Water,Bareland,Wetland,Water,Wetland,Water,Water,Water
69,Water,Bareland,Water,Non_Water,Water,Water,Water,Water
70,Water,Bareland,Water,Water,Water,Water,Water,Water
71,Water,Water,Shrubland,NULL,Non_Wetland,Water,Wetland,Forest
72,Water,Water,Shrubland,NULL,Non_Wetland,Water,Water,Water
73,Water,Water,Shrubland,NULL,Non_Wetland,Water,Water,Forest
74,Water,Water,Shrubland,NULL,Non_Wetland,Water,Forest,Bareland
75,Water,Water,Shrubland,NULL,Non_Wetland,Water,Forest,Water
76,Water,Water,Shrubland,NULL,Non_Wetland,Water,Forest,Forest
77,Water,Water,Shrubland,Non_Water,Non_Wetland,Water,Water,Water
78,Water,Water,Shrubland,Non_Water,Non_Wetland,Water,Water,Forest
79,Water,Water,Shrubland,Water,Non_Wetland,NULL,Water,Forest
80,Water,Water,Shrubland,Water,Non_Wetland,Water,Water,Bareland
81,Water,Water,Shrubland,Water,Non_Wetland,Water,Water,Water
82,Water,Water,Shrubland,Water,Non_Wetland,Water,Water,Forest
83,Water,Water,Shrubland,Water,Non_Wetland,Water,Forest,Grassland
84,Water,Water,Shrubland,Water,Non_Wetland,Water,Forest,Bareland
85,Water,Water,Wetland,NULL,Wetland,NULL,Wetland,Forest
86,Water,Water,Wetland,NULL,Wetland,NULL,Water,Forest
87,Water,Water,Wetland,NULL,Wetland,NULL,Forest,Forest
88,Water,Water,Wetland,NULL,Wetland,Water,Wetland,Grassland
89,Water,Water,Wetland,NULL,Wetland,Water,Wetland,Water
90,Water,Water,Wetland,NULL,Wetland,Water,Wetland,Forest
91,Water,Water,Wetland,NULL,Wetland,Water,Water,Wetland
92,Water,Water,Wetland,NULL,Wetland,Water,Water,Bareland
93,Water,Water,Wetland,NULL,Wetland,Water,Water,Water
94,Water,Water,Wetland,NULL,Wetland,Water,Water,Forest
95,Water,Water,Wetland,NULL,Wetland,Water,Forest,Grassland
96,Water,Water,Wetland,NULL,Wetland,Water,Forest,Bareland
97,Water,Water,Wetland,NULL,Wetland,Water,Forest,Water
98,Water,Water,Wetland,NULL,Wetland,Water,Forest,Forest
99,Water,Water,Wetland,Non_Water,Wetland,NULL,Water,Forest
100,Water,Water,Wetland,Non_Water,Wetland,Grassland,Water,Water
101,Water,Water,Wetland,Non_Water,Wetland,Water,Wetland,Grassland
102,Water,Water,Wetland,Non_Water,Wetland,Water,Wetland,Bareland
103,Water,Water,Wetland,Non_Water,Wetland,Water,Wetland,Water
104,Water,Water,Wetland,Non_Water,Wetland,Water,Wetland,Forest
105,Water,Water,Wetland,Non_Water,Wetland,Water,Water,Grassland
106,Water,Water,Wetland,Non_Water,Wetland,Water,Water,Bareland
107,Water,Water,Wetland,Non_Water,Wetland,Water,Water,Water
108,Water,Water,Wetland,Non_Water,Wetland,Water,Water,Forest
109,Water,Water,Wetland,Non_Water,Wetland,Water,Forest,Water
110,Water,Water,Wetland,Non_Water,Wetland,Water,Forest,Forest
111,Water,Water,Wetland,Water,Wetland,NULL,Wetland,Forest
112,Water,Water,Wetland,Water,Wetland,NULL,Water,Water
113,Water,Water,Wetland,Water,Wetland,Water,Wetland,Grassland
114,Water,Water,Wetland,Water,Wetland,Water,Wetland,Water
115,Water,Water,Wetland,Water,Wetland,Water,Wetland,Forest
116,Water,Water,Wetland,Water,Wetland,Water,Water,Bareland
117,Water,Water,Wetland,Water,Wetland,Water,Water,Water
118,Water,Water,Wetland,Water,Wetland,Water,Water,Forest
119,Water,Water,Wetland,Water,Wetland,Water,Forest,Water
120,Water,Water,Wetland,Water,Wetland,Water,Forest,Forest
121,Water,Water,Water,NULL,Water,NULL,Wetland,Forest
122,Water,Water,Water,NULL,Water,NULL,Water,Forest
123,Water,Water,Water,NULL,Water,Water,Wetland,Water
124,Water,Water,Water,NULL,Water,Water,Wetland,Forest
125,Water,Water,Water,NULL,Water,Water,Water,Grassland
126,Water,Water,Water,NULL,Water,Water,Water,Bareland
127,Water,Water,Water,NULL,Water,Water,Water,Water
128,Water,Water,Water,NULL,Water,Water,Water,Forest
129,Water,Water,Water,NULL,Water,Water,Forest,Grassland
130,Water,Water,Water,NULL,Water,Water,Forest,Water
131,Water,Water,Water,NULL,Water,Water,Forest,Forest
132,Water,Water,Water,Non_Water,Water,NULL,Water,Forest
133,Water,Water,Water,Non_Water,Water,Grassland,Water,Water
134,Water,Water,Water,Non_Water,Water,Bareland,Water,Water
135,Water,Water,Water,Non_Water,Water,Water,Wetland,Water
136,Water,Water,Water,Non_Water,Water,Water,Wetland,Forest
137,Water,Water,Water,Non_Water,Water,Water,Water,Grassland
138,Water,Water,Water,Non_Water,Water,Water,Water,Bareland
139,Water,Water,Water,Non_Water,Water,Water,Water,Water
140,Water,Water,Water,Non_Water,Water,Water,Water,Forest
141,Water,Water,Water,Non_Water,Water,Water,Forest,Water
142,Water,Water,Water,Non_Water,Water,Water,Forest,Forest
143,Water,Water,Water,Water,Water,NULL,Wetland,Forest
144,Water,Water,Water,Water,Water,NULL,Water,Wetland
145,Water,Water,Water,Water,Water,NULL,Water,Water
146,Water,Water,Water,Water,Water,Grassland,Water,Water
147,Water,Water,Water,Water,Water,Wetland,Water,Water
148,Water,Water,Water,Water,Water,Water,Wetland,Grassland
149,Water,Water,Water,Water,Water,Water,Wetland,Water
150,Water,Water,Water,Water,Water,Water,Wetland,Forest
151,Water,Water,Water,Water,Water,Water,Water,Grassland
152,Water,Water,Water,Water,Water,Water,Water,Wetland
153,Water,Water,Water,Water,Water,Water,Water,Bareland
154,Water,Water,Water,Water,Water,Water,Water,Water
155,Water,Water,Water,Water,Water,Water,Water,Forest
156,Water,Water,Water,Water,Water,Water,Forest,Water
157,Water,Water,Water,Water,Water,Water,Forest,Forest
158,Water,Water,Water,Water,Water,Forest,Water,Forest
159,Water,Water,Forest,NULL,Non_Wetland,NULL,Wetland,Grassland
160,Water,Water,Forest,NULL,Non_Wetland,NULL,Wetland,Water
161,Water,Water,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
162,Water,Water,Forest,NULL,Non_Wetland,NULL,Water,Forest
163,Water,Water,Forest,NULL,Non_Wetland,NULL,Forest,Water
164,Water,Water,Forest,NULL,Non_Wetland,NULL,Forest,Forest
165,Water,Water,Forest,NULL,Non_Wetland,Grassland,Wetland,Water
166,Water,Water,Forest,NULL,Non_Wetland,Water,Wetland,Bareland
167,Water,Water,Forest,NULL,Non_Wetland,Water,Wetland,Water
168,Water,Water,Forest,NULL,Non_Wetland,Water,Wetland,Forest
169,Water,Water,Forest,NULL,Non_Wetland,Water,Water,Grassland
170,Water,Water,Forest,NULL,Non_Wetland,Water,Water,Water
171,Water,Water,Forest,NULL,Non_Wetland,Water,Water,Forest
172,Water,Water,Forest,NULL,Non_Wetland,Water,Forest,Grassland
173,Water,Water,Forest,NULL,Non_Wetland,Water,Forest,Water
174,Water,Water,Forest,NULL,Non_Wetland,Water,Forest,Forest
175,Water,Water,Forest,NULL,Non_Wetland,Forest,Forest,Water
176,Water,Water,Forest,NULL,Non_Wetland,Forest,Forest,Forest
177,Water,Water,Forest,Non_Water,Non_Wetland,NULL,Wetland,Water
178,Water,Water,Forest,Non_Water,Non_Wetland,Water,Wetland,Grassland
179,Water,Water,Forest,Non_Water,Non_Wetland,Water,Wetland,Water
180,Water,Water,Forest,Non_Water,Non_Wetland,Water,Wetland,Forest
181,Water,Water,Forest,Non_Water,Non_Wetland,Water,Water,Water
182,Water,Water,Forest,Non_Water,Non_Wetland,Water,Water,Forest
183,Water,Water,Forest,Non_Water,Non_Wetland,Water,Forest,Water
184,Water,Water,Forest,Non_Water,Non_Wetland,Water,Forest,Forest
185,Water,Water,Forest,Water,Non_Wetland,NULL,Wetland,Water
186,Water,Water,Forest,Water,Non_Wetland,NULL,Water,Water
187,Water,Water,Forest,Water,Non_Wetland,NULL,Water,Forest
