Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_17MRT_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_17MRT_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_17MRT_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_17MRT_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_17MRT_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_17MRT_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
3,NULL,NULL,NULL,NULL,Non_Wetland,Water
4,NULL,NULL,NULL,NULL,Non_Wetland,Forest
5,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
6,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
7,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
8,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
9,NULL,NULL,Shrubland,NULL,Non_Wetland,Water
10,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
11,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
12,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
13,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water
14,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest
15,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
16,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland
17,NULL,NULL,Shrubland,Water,Non_Wetland,Water
18,NULL,NULL,Shrubland,Water,Non_Wetland,Forest
19,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
20,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
21,NULL,NULL,Grassland,Non_Water,Non_Wetland,Water
22,NULL,NULL,Grassland,Water,Non_Wetland,Bareland
23,NULL,NULL,Grassland,Water,Non_Wetland,Water
24,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
25,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
26,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up
27,NULL,NULL,Cropland,NULL,Non_Wetland,Water
28,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
29,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland
30,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland
31,NULL,NULL,Cropland,Non_Water,Non_Wetland,Water
32,NULL,NULL,Cropland,Water,Non_Wetland,Bareland
33,NULL,NULL,Cropland,Water,Non_Wetland,Water
34,NULL,NULL,Wetland,NULL,Wetland,Water
35,NULL,NULL,Wetland,Non_Water,Wetland,Bareland
36,NULL,NULL,Wetland,Non_Water,Wetland,Water
37,NULL,NULL,Wetland,Non_Water,Wetland,Forest
38,NULL,NULL,Wetland,Water,Wetland,Bareland
39,NULL,NULL,Wetland,Water,Wetland,Water
40,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
41,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
42,NULL,NULL,Bareland,NULL,Non_Wetland,Water
43,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
44,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
45,NULL,NULL,Bareland,Non_Water,Non_Wetland,Water
46,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
47,NULL,NULL,Bareland,Water,Non_Wetland,Water
48,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
49,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
50,NULL,NULL,Built-up,NULL,Non_Wetland,Water
51,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
52,NULL,NULL,Water,NULL,Water,Grassland
53,NULL,NULL,Water,NULL,Water,Bareland
54,NULL,NULL,Water,NULL,Water,Water
55,NULL,NULL,Water,NULL,Water,Forest
56,NULL,NULL,Water,Non_Water,Water,Grassland
57,NULL,NULL,Water,Non_Water,Water,Bareland
58,NULL,NULL,Water,Non_Water,Water,Water
59,NULL,NULL,Water,Non_Water,Water,Forest
60,NULL,NULL,Water,Water,Water,Grassland
61,NULL,NULL,Water,Water,Water,Bareland
62,NULL,NULL,Water,Water,Water,Water
63,NULL,NULL,Water,Water,Water,Forest
64,NULL,NULL,Forest,NULL,Non_Wetland,NULL
65,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
66,NULL,NULL,Forest,NULL,Non_Wetland,Cropland
67,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
68,NULL,NULL,Forest,NULL,Non_Wetland,Built-up
69,NULL,NULL,Forest,NULL,Non_Wetland,Water
70,NULL,NULL,Forest,NULL,Non_Wetland,Forest
71,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
72,NULL,NULL,Forest,Non_Water,Non_Wetland,Bareland
73,NULL,NULL,Forest,Non_Water,Non_Wetland,Built-up
74,NULL,NULL,Forest,Non_Water,Non_Wetland,Water
75,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest
76,NULL,NULL,Forest,Water,Non_Wetland,Grassland
77,NULL,NULL,Forest,Water,Non_Wetland,Bareland
78,NULL,NULL,Forest,Water,Non_Wetland,Water
79,NULL,NULL,Forest,Water,Non_Wetland,Forest
80,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
81,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland
82,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up
83,NULL,Cropland,Shrubland,NULL,Non_Wetland,Water
84,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest
85,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland
86,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Water
87,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
88,NULL,Cropland,Grassland,NULL,Non_Wetland,Forest
89,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
90,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest
91,NULL,Cropland,Bareland,NULL,Non_Wetland,Grassland
92,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland
93,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up
94,NULL,Cropland,Forest,NULL,Non_Wetland,NULL
95,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland
96,NULL,Cropland,Forest,NULL,Non_Wetland,Cropland
97,NULL,Cropland,Forest,NULL,Non_Wetland,Built-up
98,NULL,Cropland,Forest,NULL,Non_Wetland,Forest
99,NULL,Wetland,Shrubland,NULL,Non_Wetland,Grassland
100,NULL,Wetland,Shrubland,NULL,Non_Wetland,Cropland
101,NULL,Wetland,Shrubland,NULL,Non_Wetland,Water
102,NULL,Wetland,Shrubland,NULL,Non_Wetland,Forest
103,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Water
104,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Forest
105,NULL,Wetland,Shrubland,Water,Non_Wetland,Water
106,NULL,Wetland,Cropland,NULL,Non_Wetland,Water
107,NULL,Wetland,Cropland,Water,Non_Wetland,Water
108,NULL,Wetland,Wetland,Water,Wetland,Bareland
109,NULL,Wetland,Wetland,Water,Wetland,Water
110,NULL,Wetland,Water,NULL,Water,Water
111,NULL,Wetland,Water,NULL,Water,Forest
112,NULL,Wetland,Water,Non_Water,Water,Grassland
113,NULL,Wetland,Water,Non_Water,Water,Bareland
114,NULL,Wetland,Water,Non_Water,Water,Water
115,NULL,Wetland,Water,Water,Water,Water
116,NULL,Wetland,Water,Water,Water,Forest
117,NULL,Wetland,Forest,NULL,Non_Wetland,Grassland
118,NULL,Wetland,Forest,NULL,Non_Wetland,Cropland
119,NULL,Wetland,Forest,NULL,Non_Wetland,Water
120,NULL,Wetland,Forest,NULL,Non_Wetland,Forest
121,NULL,Wetland,Forest,Non_Water,Non_Wetland,Water
122,NULL,Wetland,Forest,Non_Water,Non_Wetland,Forest
123,NULL,Wetland,Forest,Water,Non_Wetland,Cropland
