Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_24LWK_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24LWK_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24LWK_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_24LWK_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24LWK_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24LWK_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LWK_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_24LWK_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Wetland
3,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
4,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
5,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
6,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Grassland
7,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Forest
8,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,NULL
9,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Grassland
10,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Bareland
11,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Bareland,NULL
12,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Bareland,Grassland
13,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Grassland
14,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Grassland
15,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Wetland
16,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
17,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
18,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
19,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
20,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
21,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
22,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
23,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
24,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,NULL
25,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
26,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Wetland
27,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
28,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
