Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22NDG_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22NDG_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22NDG_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22NDG_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22NDG_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22NDG_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22NDG_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22NDG_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
2,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
3,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
4,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
5,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
6,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
7,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
8,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
9,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Bareland
10,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
11,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Grassland
12,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Forest
13,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Built-up
14,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
15,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
16,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
17,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
18,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Bareland
19,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
20,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
21,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
22,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Bareland
23,NULL,NULL,NULL,NULL,Non_Wetland,Water,Bareland,Forest
24,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Bareland,Bareland
25,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
26,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Forest
27,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Grassland
28,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Bareland
29,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Bareland
30,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
31,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
32,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
33,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
34,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
35,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
36,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
37,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
38,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
39,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
40,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
41,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
42,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
43,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
44,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
45,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Cropland
46,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
47,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Bareland
48,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Built-up
49,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
50,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
51,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Bareland
52,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Built-up
53,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
54,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
55,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Built-up
56,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
57,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
58,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
59,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
60,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Grassland
61,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Forest
62,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Grassland
63,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
64,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Forest
65,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,NULL
66,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Grassland
67,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Wetland
68,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Bareland
69,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Forest
70,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Bareland,Grassland
71,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Bareland,Built-up
72,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Built-up,Grassland
73,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Water,Grassland
74,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Grassland
75,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Forest
76,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
77,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Bareland
78,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
79,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
80,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Forest
81,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
82,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
83,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Wetland
84,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Bareland
85,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Built-up
86,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
87,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
88,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
