Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19MHT_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MHT_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MHT_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MHT_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MHT_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MHT_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MHT_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19MHT_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Forest
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
2,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
3,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
4,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
5,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
6,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
7,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
8,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
9,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
10,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
11,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
12,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
13,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
14,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
15,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
16,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Grassland
17,NULL,NULL,NULL,NULL,Non_Wetland,Water,Forest,Grassland
18,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
19,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
20,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Forest
21,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Grassland
22,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
23,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
24,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Forest
25,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Grassland
26,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Wetland
27,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Forest
28,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
29,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Wetland,Grassland
30,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Wetland,Wetland
31,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Wetland,Forest
32,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Grassland
33,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Grassland
34,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Wetland
35,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Forest
36,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Water,Grassland
37,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Water,Wetland
38,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Water,Forest
39,NULL,NULL,NULL,Water,Non_Wetland,Water,Wetland,Grassland
40,NULL,NULL,NULL,Water,Non_Wetland,Water,Wetland,Wetland
41,NULL,NULL,NULL,Water,Non_Wetland,Water,Wetland,Water
42,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Wetland
43,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
44,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
45,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
46,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
47,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
48,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
49,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
50,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
51,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
52,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Grassland
53,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
54,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
55,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
56,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
57,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Grassland
58,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Wetland,Grassland
59,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
60,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
61,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Grassland
62,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Forest
63,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Forest,Forest
64,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
65,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
66,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
67,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Water,Grassland
68,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Water,Forest
69,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Water,Water
70,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Grassland
71,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Wetland
72,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Water,Wetland
73,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Wetland,Grassland
74,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Wetland,Wetland
75,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Water,Grassland
76,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Water,Wetland
77,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
78,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
79,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
80,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
81,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
82,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
83,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
84,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
85,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
86,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
87,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Wetland
88,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
89,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Water,Grassland
90,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Grassland
91,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Forest
92,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
93,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
94,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Grassland
95,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Grassland
96,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Grassland,Grassland
97,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Wetland,Grassland
98,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Bareland,Forest
99,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Built-up,Grassland
