Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22KGC_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KGC_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KGC_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KGC_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KGC_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KGC_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KGC_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22KGC_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
30,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
31,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
32,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
33,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
34,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
35,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
36,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
37,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
38,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
39,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
40,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
41,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
42,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
43,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
44,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
45,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
46,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
47,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
48,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
49,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
50,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
51,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
52,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Wetland,Wetland
53,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,NULL
54,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
55,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Cropland
56,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Wetland
57,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Built-up
58,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
59,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
60,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
61,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
62,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
63,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Cropland
64,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
65,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Water
66,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
67,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Grassland
68,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
69,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
70,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Wetland
71,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
72,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
73,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
74,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Wetland
75,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Wetland
76,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
77,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,NULL
78,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
79,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Bareland
80,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Water
81,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
82,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Wetland,Grassland
83,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Cropland
84,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Grassland
85,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Forest
86,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Grassland
87,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Forest
88,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Grassland
89,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Forest
90,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,NULL
91,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
92,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Cropland
93,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
94,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
95,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,NULL
96,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
97,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
98,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
99,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Cropland
100,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Wetland
101,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
102,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Wetland
103,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
104,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,NULL
105,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Grassland
106,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Cropland
107,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Wetland
108,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Forest
109,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Bareland,Grassland
110,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Grassland
111,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Wetland
112,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Forest
113,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Forest,Grassland
114,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Forest,Wetland
115,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,Grassland
116,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,Cropland
117,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
118,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
119,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
120,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Forest,Grassland
121,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,NULL
122,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Grassland
123,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Wetland
124,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Forest
125,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,NULL
126,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
127,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Cropland
128,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
129,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Forest
130,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Grassland
131,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Cropland
132,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Wetland
133,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Forest
134,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Forest,Grassland
135,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Bareland
136,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
137,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Wetland,Wetland
138,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Wetland,Forest
139,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Wetland
140,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Grassland
141,NULL,NULL,NULL,Non_Water,Non_Wetland,Built-up,NULL,Grassland
142,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Grassland
143,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Cropland
144,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Forest
145,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Wetland,NULL
146,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Wetland,Grassland
147,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Wetland,Forest
148,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Grassland
149,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Wetland
150,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Forest
151,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,NULL,Grassland
152,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,NULL,Cropland
153,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,NULL,Forest
154,NULL,NULL,NULL,Water,Non_Wetland,NULL,Water,NULL
155,NULL,NULL,NULL,Water,Non_Wetland,NULL,Forest,Forest
156,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Water,Built-up
157,NULL,NULL,NULL,Water,Non_Wetland,Wetland,NULL,Grassland
158,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Grassland
159,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Water
160,NULL,NULL,NULL,Water,Non_Wetland,Water,NULL,Water
161,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
162,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
163,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
164,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
165,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
166,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
167,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
168,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
169,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
170,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
171,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
172,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
173,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
174,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
175,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Water
176,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
177,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,NULL
178,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
179,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Cropland
180,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Wetland
181,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Built-up
182,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Water
183,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
184,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,NULL
185,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
186,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Cropland
187,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Wetland
188,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Built-up
189,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Water
190,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Forest
191,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Grassland
192,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Cropland
193,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Bareland
194,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Built-up
195,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Forest
196,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,NULL
197,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Grassland
198,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Wetland
199,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Bareland
200,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Built-up
201,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Water
202,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Forest
203,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,NULL
204,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
205,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Cropland
206,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
207,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
208,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
209,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Cropland
210,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
211,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
212,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
213,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
214,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
215,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
216,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,NULL
217,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
218,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Cropland
219,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Wetland
220,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Forest
221,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Forest
222,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,NULL
223,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Grassland
224,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Built-up
225,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
226,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
227,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
228,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
229,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
230,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
231,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
232,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
233,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
234,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
235,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
236,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
237,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
238,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
239,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Cropland
240,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
241,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
242,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
243,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
244,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Cropland
245,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
246,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
247,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
248,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Grassland
249,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Cropland
250,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Built-up
251,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Forest
252,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
253,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Cropland
254,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,NULL
255,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Grassland
256,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Cropland
257,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Forest
258,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Built-up,Bareland
259,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Built-up,Forest
260,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,NULL
261,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Cropland
262,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Forest
263,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,NULL
264,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
265,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Cropland
266,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Wetland
267,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
268,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
269,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Forest
270,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
271,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
272,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
273,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Cropland
274,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
275,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Water
276,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
277,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
278,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Wetland
279,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,NULL
280,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Grassland
281,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Wetland
282,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Forest
283,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,NULL
284,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
285,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Wetland
286,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
287,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,NULL
288,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
289,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Wetland
290,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Built-up
291,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
292,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,NULL
293,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
294,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Cropland
295,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Wetland
296,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Water
297,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
298,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Wetland
299,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Built-up
300,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,NULL
301,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Grassland
302,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Wetland
303,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Bareland
304,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Water
305,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,Grassland
306,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,Cropland
307,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,Built-up
308,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,Forest
309,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Built-up
310,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
311,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Bareland
312,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Built-up
313,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Forest
314,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,NULL,NULL
315,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,NULL,Grassland
316,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,NULL,Forest
317,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
318,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Grassland
319,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Forest
320,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Water,Grassland
321,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Water,Forest
322,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Forest,Grassland
323,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,NULL
324,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Grassland
325,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Cropland
326,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Forest
