Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_23MKN_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MKN_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MKN_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_23MKN_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MKN_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MKN_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MKN_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_23MKN_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
30,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
31,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
32,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
33,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
34,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
35,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Cropland
36,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Wetland
37,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Built-up
38,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
39,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,NULL
40,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
41,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Forest
42,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,NULL
43,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
44,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Built-up
45,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Forest
46,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Grassland
47,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Grassland
48,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
49,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
50,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Cropland
51,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Built-up
52,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
53,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
54,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
55,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
56,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Bareland
57,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Built-up
58,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
59,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
60,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
61,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
62,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Bareland
63,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Built-up
64,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Water
65,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
66,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
67,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
68,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
69,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
70,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
71,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
72,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Water
73,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
74,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
75,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
76,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
77,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
78,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
79,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Cropland
80,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Bareland
81,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
82,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
83,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Forest
84,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
85,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Forest
86,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
87,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
88,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
89,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
90,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
91,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
92,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
93,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Grassland
94,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Forest
95,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,NULL
96,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
97,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
98,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
99,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Grassland
100,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Forest
101,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,NULL
102,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
103,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Cropland
104,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Wetland
105,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
106,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,NULL
107,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
108,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Wetland
109,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
110,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
111,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
112,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
113,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
114,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
115,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
116,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
117,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,NULL
118,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
119,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
120,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
121,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
122,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
123,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
124,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
125,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
126,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
127,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
128,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Cropland
129,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Bareland
130,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Built-up
131,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
132,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
133,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
134,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
135,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
136,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
137,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
138,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,NULL
139,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
140,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
141,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Cropland
142,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
143,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
144,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
145,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
146,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
147,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Forest
148,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
149,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
150,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
151,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Cropland
152,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Forest
153,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Grassland
154,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Forest
155,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,NULL
156,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
157,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Forest
158,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,NULL
159,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
160,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Cropland
161,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
162,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Forest
163,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Grassland
164,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Water
165,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Grassland
166,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Bareland
167,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Forest
168,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
169,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Bareland
170,NULL,NULL,NULL,NULL,Non_Wetland,Water,Forest,Bareland
171,NULL,NULL,NULL,NULL,Non_Wetland,Water,Forest,Forest
172,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,NULL
173,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
174,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
175,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
176,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
177,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
178,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
179,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
180,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
181,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,NULL
182,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
183,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,NULL
184,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Grassland
185,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Forest
186,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
187,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
188,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
189,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,NULL
190,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
191,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,NULL
192,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
193,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
194,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Forest
195,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Grassland
196,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,NULL
197,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
198,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Forest
199,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
200,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Forest
201,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
202,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Forest,Grassland
203,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Forest,Forest
204,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Shrubland,Grassland
205,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Grassland
206,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Grassland
207,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Grassland
208,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Forest
209,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,NULL
210,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,Grassland
211,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,NULL
212,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
213,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Forest
214,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Water,Grassland
215,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Forest,Grassland
216,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Shrubland,Grassland
217,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Water,Grassland
218,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
219,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
220,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
221,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
222,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
223,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
224,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
225,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
226,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Bareland
227,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Built-up
228,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Water
229,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
230,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
231,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
232,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
233,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Bareland
234,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Built-up
235,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
236,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,NULL
237,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
238,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
239,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,NULL
240,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
241,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Cropland
242,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Built-up
243,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Forest
244,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Grassland
245,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Forest
246,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,NULL
247,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
248,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Cropland
249,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Bareland
250,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
251,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
252,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
253,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Cropland
254,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Wetland
255,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Bareland
256,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Built-up
257,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Water
258,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
259,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
260,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
261,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
262,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
263,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
264,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
265,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Water
266,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
267,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
268,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
269,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Cropland
270,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Bareland
271,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Built-up
272,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Water
273,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
274,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,NULL
275,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
276,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Forest
277,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,NULL
278,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
279,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Bareland
280,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Built-up
281,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Forest
282,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,NULL
283,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,Grassland
284,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,Built-up
285,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,Forest
286,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,NULL
287,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Grassland
288,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Bareland
289,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Water
290,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Forest
291,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,NULL
292,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
293,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Cropland
294,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Built-up
295,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
296,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
297,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
298,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
299,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Bareland
300,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Built-up
301,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Water
302,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
303,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
304,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
305,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Cropland
306,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Bareland
307,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Built-up
308,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Water
309,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
310,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
311,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
312,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
313,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
314,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
315,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
316,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Water
317,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
318,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
319,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
320,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Cropland
321,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Bareland
322,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
323,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,NULL
324,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
325,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Cropland
