Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20LPN_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20LPN_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LPN_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LPN_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LPN_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LPN_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LPN_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20LPN_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Grassland
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Forest
2,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Forest
3,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
4,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
5,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
6,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
7,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
8,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
9,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
10,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
11,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
12,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Cropland
13,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Water
14,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
15,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
16,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Cropland
17,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Forest
18,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
19,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Forest
20,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Grassland
21,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
22,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
23,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
