Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_17MRP_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_17MRP_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_17MRP_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_17MRP_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_17MRP_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_17MRP_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
3,NULL,NULL,NULL,NULL,Non_Wetland,Forest
4,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland
5,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
6,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
7,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
8,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
9,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
10,NULL,NULL,Shrubland,NULL,Non_Wetland,Water
11,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
12,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
13,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
14,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Built-up
15,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water
16,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest
17,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
18,NULL,NULL,Shrubland,Water,Non_Wetland,Cropland
19,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland
20,NULL,NULL,Shrubland,Water,Non_Wetland,Built-up
21,NULL,NULL,Shrubland,Water,Non_Wetland,Water
22,NULL,NULL,Shrubland,Water,Non_Wetland,Forest
23,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
24,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
25,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
26,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
27,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
28,NULL,NULL,Grassland,NULL,Non_Wetland,Water
29,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
30,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
31,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland
32,NULL,NULL,Grassland,Non_Water,Non_Wetland,Forest
33,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
34,NULL,NULL,Grassland,Water,Non_Wetland,Built-up
35,NULL,NULL,Grassland,Water,Non_Wetland,Forest
36,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
37,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
38,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
39,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
40,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up
41,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
42,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland
43,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland
44,NULL,NULL,Cropland,Non_Water,Non_Wetland,Forest
45,NULL,NULL,Cropland,Water,Non_Wetland,Water
46,NULL,NULL,Cropland,Water,Non_Wetland,Forest
47,NULL,NULL,Wetland,NULL,Wetland,Grassland
48,NULL,NULL,Wetland,NULL,Wetland,Forest
49,NULL,NULL,Wetland,Water,Wetland,Grassland
50,NULL,NULL,Wetland,Water,Wetland,Water
51,NULL,NULL,Wetland,Water,Wetland,Forest
52,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
53,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
54,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
55,NULL,NULL,Bareland,NULL,Non_Wetland,Built-up
56,NULL,NULL,Bareland,NULL,Non_Wetland,Water
57,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
58,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
59,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland
60,NULL,NULL,Bareland,Non_Water,Non_Wetland,Water
61,NULL,NULL,Bareland,Non_Water,Non_Wetland,Forest
62,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
63,NULL,NULL,Bareland,Water,Non_Wetland,Cropland
64,NULL,NULL,Bareland,Water,Non_Wetland,Bareland
65,NULL,NULL,Bareland,Water,Non_Wetland,Water
66,NULL,NULL,Bareland,Water,Non_Wetland,Forest
67,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
68,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland
69,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
70,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
71,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
72,NULL,NULL,Built-up,Water,Non_Wetland,Grassland
73,NULL,NULL,Water,NULL,Water,Grassland
74,NULL,NULL,Water,NULL,Water,Bareland
75,NULL,NULL,Water,NULL,Water,Forest
76,NULL,NULL,Water,Non_Water,Water,Grassland
77,NULL,NULL,Water,Non_Water,Water,Water
78,NULL,NULL,Water,Non_Water,Water,Forest
79,NULL,NULL,Water,Water,Water,NULL
80,NULL,NULL,Water,Water,Water,Grassland
81,NULL,NULL,Water,Water,Water,Cropland
82,NULL,NULL,Water,Water,Water,Bareland
83,NULL,NULL,Water,Water,Water,Water
84,NULL,NULL,Water,Water,Water,Forest
85,NULL,NULL,Forest,NULL,Non_Wetland,NULL
86,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
87,NULL,NULL,Forest,NULL,Non_Wetland,Cropland
88,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
89,NULL,NULL,Forest,NULL,Non_Wetland,Built-up
90,NULL,NULL,Forest,NULL,Non_Wetland,Water
91,NULL,NULL,Forest,NULL,Non_Wetland,Forest
92,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL
93,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
94,NULL,NULL,Forest,Non_Water,Non_Wetland,Water
95,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest
96,NULL,NULL,Forest,Water,Non_Wetland,Grassland
97,NULL,NULL,Forest,Water,Non_Wetland,Cropland
98,NULL,NULL,Forest,Water,Non_Wetland,Bareland
99,NULL,NULL,Forest,Water,Non_Wetland,Built-up
100,NULL,NULL,Forest,Water,Non_Wetland,Forest
101,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL
102,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
103,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland
104,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland
105,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up
106,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest
107,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland
108,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Cropland
109,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Forest
110,NULL,Cropland,Shrubland,Water,Non_Wetland,Grassland
111,NULL,Cropland,Shrubland,Water,Non_Wetland,Bareland
112,NULL,Cropland,Shrubland,Water,Non_Wetland,Water
113,NULL,Cropland,Shrubland,Water,Non_Wetland,Forest
114,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL
115,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
116,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland
117,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland
118,NULL,Cropland,Grassland,NULL,Non_Wetland,Built-up
119,NULL,Cropland,Grassland,NULL,Non_Wetland,Forest
120,NULL,Cropland,Grassland,Non_Water,Non_Wetland,Grassland
121,NULL,Cropland,Grassland,Non_Water,Non_Wetland,Bareland
