Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20PNQ_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20PNQ_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20PNQ_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20PNQ_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20PNQ_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20PNQ_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Wetland
3,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
4,NULL,NULL,NULL,NULL,Non_Wetland,Built-up
5,NULL,NULL,NULL,NULL,Non_Wetland,Forest
6,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL
7,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland
8,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland
9,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland
10,NULL,NULL,NULL,Non_Water,Non_Wetland,Built-up
11,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest
12,NULL,NULL,NULL,Water,Non_Wetland,Grassland
13,NULL,NULL,NULL,Water,Non_Wetland,Wetland
14,NULL,NULL,NULL,Water,Non_Wetland,Bareland
15,NULL,NULL,NULL,Water,Non_Wetland,Water
16,NULL,NULL,NULL,Water,Non_Wetland,Forest
17,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
18,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
19,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
20,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
21,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
22,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
23,NULL,NULL,Shrubland,NULL,Non_Wetland,Water
24,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
25,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL
26,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
27,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
28,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
29,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Built-up
30,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest
31,NULL,NULL,Shrubland,Water,Non_Wetland,NULL
32,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
33,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland
34,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland
35,NULL,NULL,Shrubland,Water,Non_Wetland,Built-up
36,NULL,NULL,Shrubland,Water,Non_Wetland,Water
37,NULL,NULL,Shrubland,Water,Non_Wetland,Forest
38,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
39,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
40,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
41,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland
42,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
43,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
44,NULL,NULL,Grassland,NULL,Non_Wetland,Water
45,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
46,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL
47,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
48,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland
49,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland
50,NULL,NULL,Grassland,Non_Water,Non_Wetland,Built-up
51,NULL,NULL,Grassland,Non_Water,Non_Wetland,Forest
52,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
53,NULL,NULL,Grassland,Water,Non_Wetland,Wetland
54,NULL,NULL,Grassland,Water,Non_Wetland,Bareland
55,NULL,NULL,Grassland,Water,Non_Wetland,Built-up
56,NULL,NULL,Grassland,Water,Non_Wetland,Water
57,NULL,NULL,Grassland,Water,Non_Wetland,Forest
58,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
59,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
60,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
61,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland
62,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
63,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up
64,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
65,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland
66,NULL,NULL,Cropland,Non_Water,Non_Wetland,Forest
67,NULL,NULL,Cropland,Water,Non_Wetland,Grassland
68,NULL,NULL,Cropland,Water,Non_Wetland,Wetland
69,NULL,NULL,Cropland,Water,Non_Wetland,Bareland
70,NULL,NULL,Cropland,Water,Non_Wetland,Forest
71,NULL,NULL,Wetland,NULL,Wetland,NULL
72,NULL,NULL,Wetland,NULL,Wetland,Grassland
73,NULL,NULL,Wetland,NULL,Wetland,Cropland
74,NULL,NULL,Wetland,NULL,Wetland,Wetland
75,NULL,NULL,Wetland,NULL,Wetland,Bareland
76,NULL,NULL,Wetland,NULL,Wetland,Built-up
77,NULL,NULL,Wetland,NULL,Wetland,Forest
78,NULL,NULL,Wetland,Non_Water,Wetland,NULL
79,NULL,NULL,Wetland,Non_Water,Wetland,Grassland
80,NULL,NULL,Wetland,Non_Water,Wetland,Wetland
81,NULL,NULL,Wetland,Non_Water,Wetland,Bareland
82,NULL,NULL,Wetland,Non_Water,Wetland,Built-up
83,NULL,NULL,Wetland,Non_Water,Wetland,Forest
84,NULL,NULL,Wetland,Water,Wetland,NULL
85,NULL,NULL,Wetland,Water,Wetland,Grassland
86,NULL,NULL,Wetland,Water,Wetland,Cropland
87,NULL,NULL,Wetland,Water,Wetland,Wetland
88,NULL,NULL,Wetland,Water,Wetland,Bareland
89,NULL,NULL,Wetland,Water,Wetland,Built-up
90,NULL,NULL,Wetland,Water,Wetland,Water
91,NULL,NULL,Wetland,Water,Wetland,Forest
92,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
93,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
94,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland
95,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
96,NULL,NULL,Bareland,NULL,Non_Wetland,Built-up
97,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
98,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
99,NULL,NULL,Bareland,Non_Water,Non_Wetland,Wetland
100,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland
101,NULL,NULL,Bareland,Non_Water,Non_Wetland,Forest
102,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
103,NULL,NULL,Bareland,Water,Non_Wetland,Wetland
104,NULL,NULL,Bareland,Water,Non_Wetland,Bareland
105,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
106,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
107,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland
108,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
109,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
110,NULL,NULL,Built-up,NULL,Non_Wetland,Water
111,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
112,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL
113,NULL,NULL,Built-up,Non_Water,Non_Wetland,Grassland
114,NULL,NULL,Built-up,Non_Water,Non_Wetland,Wetland
115,NULL,NULL,Built-up,Non_Water,Non_Wetland,Bareland
116,NULL,NULL,Built-up,Non_Water,Non_Wetland,Built-up
117,NULL,NULL,Built-up,Non_Water,Non_Wetland,Forest
118,NULL,NULL,Built-up,Water,Non_Wetland,NULL
119,NULL,NULL,Built-up,Water,Non_Wetland,Grassland
