Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_18MUA_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MUA_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MUA_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MUA_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MUA_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18MUA_M_R
0,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
1,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
2,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
3,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
4,NULL,NULL,Shrubland,NULL,Non_Wetland,Water
5,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
6,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
7,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water
8,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest
9,NULL,NULL,Shrubland,Water,Non_Wetland,Forest
10,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
11,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
12,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
13,NULL,NULL,Wetland,NULL,Wetland,NULL
14,NULL,NULL,Wetland,NULL,Wetland,Grassland
15,NULL,NULL,Wetland,NULL,Wetland,Wetland
16,NULL,NULL,Wetland,NULL,Wetland,Water
17,NULL,NULL,Wetland,NULL,Wetland,Forest
18,NULL,NULL,Wetland,Non_Water,Wetland,Grassland
19,NULL,NULL,Wetland,Non_Water,Wetland,Wetland
20,NULL,NULL,Wetland,Non_Water,Wetland,Water
21,NULL,NULL,Wetland,Non_Water,Wetland,Forest
22,NULL,NULL,Wetland,Water,Wetland,Grassland
23,NULL,NULL,Wetland,Water,Wetland,Wetland
24,NULL,NULL,Wetland,Water,Wetland,Water
25,NULL,NULL,Wetland,Water,Wetland,Forest
26,NULL,NULL,Water,NULL,Water,Wetland
27,NULL,NULL,Water,NULL,Water,Water
28,NULL,NULL,Water,Non_Water,Water,Grassland
29,NULL,NULL,Water,Non_Water,Water,Water
30,NULL,NULL,Water,Non_Water,Water,Forest
31,NULL,NULL,Water,Water,Water,Grassland
32,NULL,NULL,Water,Water,Water,Wetland
33,NULL,NULL,Water,Water,Water,Water
34,NULL,NULL,Water,Water,Water,Forest
35,NULL,NULL,Forest,NULL,Non_Wetland,NULL
36,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
37,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
38,NULL,NULL,Forest,NULL,Non_Wetland,Water
39,NULL,NULL,Forest,NULL,Non_Wetland,Forest
40,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
41,NULL,NULL,Forest,Non_Water,Non_Wetland,Water
42,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest
43,NULL,NULL,Forest,Water,Non_Wetland,Grassland
44,NULL,NULL,Forest,Water,Non_Wetland,Water
45,NULL,NULL,Forest,Water,Non_Wetland,Forest
46,NULL,Wetland,Shrubland,NULL,Non_Wetland,Grassland
47,NULL,Wetland,Shrubland,NULL,Non_Wetland,Wetland
48,NULL,Wetland,Shrubland,NULL,Non_Wetland,Forest
49,NULL,Wetland,Wetland,NULL,Wetland,NULL
50,NULL,Wetland,Wetland,NULL,Wetland,Grassland
51,NULL,Wetland,Wetland,NULL,Wetland,Wetland
52,NULL,Wetland,Wetland,NULL,Wetland,Water
53,NULL,Wetland,Wetland,NULL,Wetland,Forest
54,NULL,Wetland,Wetland,Non_Water,Wetland,Grassland
55,NULL,Wetland,Wetland,Non_Water,Wetland,Wetland
56,NULL,Wetland,Wetland,Non_Water,Wetland,Forest
57,NULL,Wetland,Wetland,Water,Wetland,Wetland
58,NULL,Wetland,Wetland,Water,Wetland,Water
59,NULL,Wetland,Water,Water,Water,Wetland
60,NULL,Wetland,Forest,NULL,Non_Wetland,Grassland
61,NULL,Wetland,Forest,NULL,Non_Wetland,Wetland
62,NULL,Wetland,Forest,NULL,Non_Wetland,Water
63,NULL,Wetland,Forest,NULL,Non_Wetland,Forest
64,NULL,Wetland,Forest,Non_Water,Non_Wetland,Grassland
65,NULL,Wetland,Forest,Non_Water,Non_Wetland,Water
66,NULL,Bareland,Wetland,Water,Wetland,Water
67,NULL,Bareland,Water,Water,Water,Water
68,NULL,Bareland,Forest,NULL,Non_Wetland,Grassland
69,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
70,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
71,NULL,Built-up,Shrubland,NULL,Non_Wetland,Water
72,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest
73,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Grassland
74,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Forest
75,NULL,Built-up,Shrubland,Water,Non_Wetland,Grassland
76,NULL,Built-up,Shrubland,Water,Non_Wetland,Water
77,NULL,Built-up,Shrubland,Water,Non_Wetland,Forest
78,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
79,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland
80,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest
81,NULL,Built-up,Wetland,NULL,Wetland,Grassland
82,NULL,Built-up,Wetland,NULL,Wetland,Bareland
83,NULL,Built-up,Wetland,NULL,Wetland,Water
84,NULL,Built-up,Wetland,NULL,Wetland,Forest
85,NULL,Built-up,Wetland,Water,Wetland,Forest
86,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
87,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
88,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
89,NULL,Built-up,Water,NULL,Water,Grassland
90,NULL,Built-up,Water,NULL,Water,Water
91,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland
92,NULL,Built-up,Forest,NULL,Non_Wetland,Water
93,NULL,Built-up,Forest,NULL,Non_Wetland,Forest
94,NULL,Built-up,Forest,Non_Water,Non_Wetland,Forest
95,NULL,Built-up,Forest,Water,Non_Wetland,Water
96,NULL,Built-up,Forest,Water,Non_Wetland,Forest
97,NULL,Water,NULL,NULL,Non_Wetland,Water
98,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland
99,NULL,Water,Shrubland,NULL,Non_Wetland,Water
100,NULL,Water,Shrubland,NULL,Non_Wetland,Forest
101,NULL,Water,Shrubland,Water,Non_Wetland,Grassland
102,NULL,Water,Shrubland,Water,Non_Wetland,Water
103,NULL,Water,Shrubland,Water,Non_Wetland,Forest
104,NULL,Water,Cropland,Non_Water,Non_Wetland,Grassland
105,NULL,Water,Wetland,NULL,Wetland,Wetland
106,NULL,Water,Wetland,NULL,Wetland,Water
107,NULL,Water,Wetland,NULL,Wetland,Forest
108,NULL,Water,Wetland,Non_Water,Wetland,Water
109,NULL,Water,Wetland,Water,Wetland,Water
110,NULL,Water,Water,NULL,Water,Water
111,NULL,Water,Water,NULL,Water,Forest
112,NULL,Water,Water,Non_Water,Water,Water
113,NULL,Water,Water,Water,Water,Grassland
114,NULL,Water,Water,Water,Water,Water
115,NULL,Water,Water,Water,Water,Forest
116,NULL,Water,Forest,NULL,Non_Wetland,Grassland
117,NULL,Water,Forest,NULL,Non_Wetland,Water
118,NULL,Water,Forest,NULL,Non_Wetland,Forest
119,NULL,Water,Forest,Non_Water,Non_Wetland,Grassland
120,NULL,Water,Forest,Non_Water,Non_Wetland,Forest
121,NULL,Water,Forest,Water,Non_Wetland,Forest
122,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL
123,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
124,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
125,NULL,Forest,Shrubland,Water,Non_Wetland,Forest
126,NULL,Forest,Cropland,NULL,Non_Wetland,Forest
127,NULL,Forest,Wetland,NULL,Wetland,NULL
128,NULL,Forest,Wetland,NULL,Wetland,Grassland
129,NULL,Forest,Wetland,NULL,Wetland,Wetland
130,NULL,Forest,Wetland,NULL,Wetland,Forest
131,NULL,Forest,Wetland,Non_Water,Wetland,Grassland
132,NULL,Forest,Wetland,Non_Water,Wetland,Wetland
133,NULL,Forest,Wetland,Non_Water,Wetland,Forest
134,NULL,Forest,Wetland,Water,Wetland,Wetland
135,NULL,Forest,Wetland,Water,Wetland,Forest
136,NULL,Forest,Water,NULL,Water,Wetland
137,NULL,Forest,Water,NULL,Water,Forest
138,NULL,Forest,Water,Water,Water,Wetland
139,NULL,Forest,Forest,NULL,Non_Wetland,Grassland
140,NULL,Forest,Forest,NULL,Non_Wetland,Wetland
141,NULL,Forest,Forest,NULL,Non_Wetland,Forest
142,NULL,Forest,Forest,Non_Water,Non_Wetland,Wetland
143,NULL,Forest,Forest,Non_Water,Non_Wetland,Forest
144,NULL,Forest,Forest,Water,Non_Wetland,Forest
145,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL
146,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland
147,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland
148,Grassland,NULL,Shrubland,NULL,Non_Wetland,Water
149,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest
150,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
151,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Water
152,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Forest
153,Grassland,NULL,Shrubland,Water,Non_Wetland,Grassland
154,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland
155,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Grassland
156,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Forest
157,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland
158,Grassland,NULL,Cropland,NULL,Non_Wetland,Forest
159,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Grassland
160,Grassland,NULL,Wetland,NULL,Wetland,NULL
161,Grassland,NULL,Wetland,NULL,Wetland,Grassland
162,Grassland,NULL,Wetland,NULL,Wetland,Wetland
163,Grassland,NULL,Wetland,NULL,Wetland,Water
164,Grassland,NULL,Wetland,NULL,Wetland,Forest
165,Grassland,NULL,Wetland,Non_Water,Wetland,NULL
166,Grassland,NULL,Wetland,Non_Water,Wetland,Grassland
167,Grassland,NULL,Wetland,Non_Water,Wetland,Wetland
168,Grassland,NULL,Wetland,Non_Water,Wetland,Water
169,Grassland,NULL,Wetland,Non_Water,Wetland,Forest
170,Grassland,NULL,Wetland,Water,Wetland,NULL
171,Grassland,NULL,Wetland,Water,Wetland,Grassland
172,Grassland,NULL,Wetland,Water,Wetland,Wetland
173,Grassland,NULL,Wetland,Water,Wetland,Water
174,Grassland,NULL,Wetland,Water,Wetland,Forest
175,Grassland,NULL,Water,Non_Water,Water,Grassland
176,Grassland,NULL,Water,Non_Water,Water,Water
177,Grassland,NULL,Water,Non_Water,Water,Forest
178,Grassland,NULL,Water,Water,Water,Grassland
179,Grassland,NULL,Water,Water,Water,Water
180,Grassland,NULL,Forest,NULL,Non_Wetland,NULL
181,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland
182,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland
183,Grassland,NULL,Forest,NULL,Non_Wetland,Water
184,Grassland,NULL,Forest,NULL,Non_Wetland,Forest
185,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL
186,Grassland,NULL,Forest,Non_Water,Non_Wetland,Grassland
187,Grassland,NULL,Forest,Non_Water,Non_Wetland,Water
188,Grassland,NULL,Forest,Non_Water,Non_Wetland,Forest
189,Grassland,NULL,Forest,Water,Non_Wetland,Grassland
190,Grassland,NULL,Forest,Water,Non_Wetland,Forest
191,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Grassland
192,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Forest
193,Grassland,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
194,Grassland,Wetland,Shrubland,Non_Water,Non_Wetland,Forest
195,Grassland,Wetland,Grassland,NULL,Non_Wetland,Grassland
196,Grassland,Wetland,Grassland,Non_Water,Non_Wetland,Grassland
197,Grassland,Wetland,Wetland,NULL,Wetland,NULL
198,Grassland,Wetland,Wetland,NULL,Wetland,Grassland
199,Grassland,Wetland,Wetland,NULL,Wetland,Wetland
200,Grassland,Wetland,Wetland,NULL,Wetland,Water
201,Grassland,Wetland,Wetland,NULL,Wetland,Forest
202,Grassland,Wetland,Wetland,Non_Water,Wetland,Grassland
203,Grassland,Wetland,Wetland,Non_Water,Wetland,Water
204,Grassland,Wetland,Wetland,Non_Water,Wetland,Forest
205,Grassland,Wetland,Wetland,Water,Wetland,Grassland
206,Grassland,Wetland,Wetland,Water,Wetland,Water
207,Grassland,Wetland,Wetland,Water,Wetland,Forest
208,Grassland,Wetland,Water,NULL,Water,Grassland
209,Grassland,Wetland,Water,NULL,Water,Wetland
210,Grassland,Wetland,Water,NULL,Water,Water
211,Grassland,Wetland,Water,Non_Water,Water,Grassland
212,Grassland,Wetland,Water,Non_Water,Water,Water
213,Grassland,Wetland,Water,Non_Water,Water,Forest
214,Grassland,Wetland,Water,Water,Water,Grassland
215,Grassland,Wetland,Water,Water,Water,Wetland
216,Grassland,Wetland,Water,Water,Water,Water
217,Grassland,Wetland,Water,Water,Water,Forest
218,Grassland,Wetland,Forest,NULL,Non_Wetland,Grassland
219,Grassland,Wetland,Forest,NULL,Non_Wetland,Wetland
220,Grassland,Wetland,Forest,NULL,Non_Wetland,Water
221,Grassland,Wetland,Forest,NULL,Non_Wetland,Forest
222,Grassland,Wetland,Forest,Non_Water,Non_Wetland,Grassland
223,Grassland,Wetland,Forest,Non_Water,Non_Wetland,Wetland
224,Grassland,Wetland,Forest,Non_Water,Non_Wetland,Water
225,Grassland,Wetland,Forest,Non_Water,Non_Wetland,Forest
226,Grassland,Wetland,Forest,Water,Non_Wetland,Grassland
227,Grassland,Wetland,Forest,Water,Non_Wetland,Wetland
228,Grassland,Wetland,Forest,Water,Non_Wetland,Water
229,Grassland,Wetland,Forest,Water,Non_Wetland,Forest
230,Grassland,Built-up,Shrubland,NULL,Non_Wetland,Forest
231,Grassland,Built-up,Forest,NULL,Non_Wetland,Forest
232,Grassland,Water,Wetland,NULL,Wetland,Grassland
233,Grassland,Water,Wetland,NULL,Wetland,Water
234,Grassland,Water,Wetland,NULL,Wetland,Forest
235,Grassland,Water,Wetland,Non_Water,Wetland,Grassland
236,Grassland,Water,Wetland,Non_Water,Wetland,Water
237,Grassland,Water,Wetland,Non_Water,Wetland,Forest
238,Grassland,Water,Wetland,Water,Wetland,Grassland
239,Grassland,Water,Wetland,Water,Wetland,Water
240,Grassland,Water,Wetland,Water,Wetland,Forest
241,Grassland,Water,Water,Water,Water,Grassland
242,Grassland,Water,Water,Water,Water,Water
243,Grassland,Water,Water,Water,Water,Forest
244,Grassland,Water,Forest,NULL,Non_Wetland,Forest
245,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland
246,Grassland,Forest,Shrubland,NULL,Non_Wetland,Forest
247,Grassland,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
248,Grassland,Forest,Wetland,NULL,Wetland,Grassland
249,Grassland,Forest,Wetland,NULL,Wetland,Wetland
250,Grassland,Forest,Wetland,NULL,Wetland,Water
251,Grassland,Forest,Wetland,NULL,Wetland,Forest
252,Grassland,Forest,Wetland,Non_Water,Wetland,Grassland
253,Grassland,Forest,Wetland,Non_Water,Wetland,Water
254,Grassland,Forest,Wetland,Non_Water,Wetland,Forest
255,Grassland,Forest,Wetland,Water,Wetland,Grassland
256,Grassland,Forest,Wetland,Water,Wetland,Water
257,Grassland,Forest,Wetland,Water,Wetland,Forest
258,Grassland,Forest,Water,NULL,Water,Grassland
259,Grassland,Forest,Water,Non_Water,Water,Grassland
260,Grassland,Forest,Water,Non_Water,Water,Forest
261,Grassland,Forest,Water,Water,Water,Water
262,Grassland,Forest,Water,Water,Water,Forest
263,Grassland,Forest,Forest,NULL,Non_Wetland,NULL
264,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland
265,Grassland,Forest,Forest,NULL,Non_Wetland,Water
266,Grassland,Forest,Forest,NULL,Non_Wetland,Forest
267,Grassland,Forest,Forest,Non_Water,Non_Wetland,Grassland
268,Grassland,Forest,Forest,Non_Water,Non_Wetland,Water
269,Grassland,Forest,Forest,Non_Water,Non_Wetland,Forest
270,Grassland,Forest,Forest,Water,Non_Wetland,Grassland
271,Grassland,Forest,Forest,Water,Non_Wetland,Water
272,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland
273,Cropland,NULL,Shrubland,NULL,Non_Wetland,Forest
274,Cropland,NULL,Shrubland,Water,Non_Wetland,Grassland
275,Cropland,NULL,Wetland,NULL,Wetland,Grassland
276,Cropland,NULL,Wetland,Non_Water,Wetland,Forest
277,Cropland,NULL,Wetland,Water,Wetland,Water
278,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland
279,Cropland,NULL,Forest,NULL,Non_Wetland,Forest
280,Cropland,Wetland,Shrubland,NULL,Non_Wetland,Grassland
281,Cropland,Wetland,Wetland,NULL,Wetland,Grassland
282,Cropland,Wetland,Wetland,NULL,Wetland,Forest
283,Cropland,Wetland,Wetland,Non_Water,Wetland,Grassland
284,Cropland,Wetland,Wetland,Non_Water,Wetland,Water
285,Cropland,Wetland,Wetland,Non_Water,Wetland,Forest
286,Cropland,Wetland,Wetland,Water,Wetland,Grassland
287,Cropland,Wetland,Wetland,Water,Wetland,Water
288,Cropland,Wetland,Water,Water,Water,Water
289,Cropland,Wetland,Forest,NULL,Non_Wetland,Grassland
290,Cropland,Wetland,Forest,NULL,Non_Wetland,Forest
291,Cropland,Wetland,Forest,Non_Water,Non_Wetland,Grassland
292,Cropland,Wetland,Forest,Non_Water,Non_Wetland,Water
293,Cropland,Wetland,Forest,Non_Water,Non_Wetland,Forest
294,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Grassland
295,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Forest
296,Cropland,Built-up,Forest,NULL,Non_Wetland,Grassland
297,Cropland,Built-up,Forest,NULL,Non_Wetland,Forest
298,Cropland,Water,Wetland,Water,Wetland,Water
