Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19NDA_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NDA_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NDA_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NDA_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NDA_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19NDA_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19NDA_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19NDA_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,Water,Forest,Forest
1,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
2,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
3,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
4,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
5,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
6,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
7,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
8,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Built-up
9,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
10,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
11,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
14,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
15,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
16,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
17,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
18,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
19,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
20,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Forest
21,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,Grassland
22,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,Forest
23,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Forest,Forest
24,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
25,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Bareland
26,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Built-up
27,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Forest
