Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20KQG_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20KQG_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20KQG_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20KQG_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20KQG_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20KQG_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20KQG_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20KQG_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Wetland
4,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
5,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
6,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Water
7,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
8,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
9,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
10,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
11,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Wetland
12,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
13,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
14,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
15,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
16,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
17,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,NULL
18,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
19,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
20,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,NULL
21,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
22,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Cropland
23,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Wetland
24,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
25,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,NULL
26,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
27,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Wetland
28,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Water
