Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_18LZL_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18LZL_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18LZL_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_18LZL_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18LZL_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18LZL_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18LZL_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18LZL_M_R
29,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,NULL
30,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
31,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Cropland
32,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
33,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
34,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Built-up
35,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
36,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
37,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,NULL
38,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
39,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Cropland
40,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
41,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
42,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Built-up
43,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Water
44,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
45,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
46,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
47,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
48,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
49,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Lichens_and_Mosses
50,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
51,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
52,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Water
53,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
54,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
55,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Cropland
56,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Wetland
57,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
58,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Built-up
59,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Water
60,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
61,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
62,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Cropland
63,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Wetland
64,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Water
65,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Forest
66,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
67,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
68,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
69,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
70,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
71,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
72,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Cropland
73,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
74,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Cropland
75,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
76,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Bareland
77,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Built-up
78,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
79,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
80,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
81,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
82,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
83,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
84,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
85,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
86,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
87,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Bareland
88,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Built-up
89,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Water
90,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
91,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,NULL
92,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
93,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Cropland
94,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Bareland
95,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Built-up
96,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Forest
97,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL,NULL,Grassland
98,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
99,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
100,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
101,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
102,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
103,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Water
104,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
105,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
106,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Cropland
107,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
108,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Water
109,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
110,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
111,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Cropland
112,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
113,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Water
114,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
115,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
116,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
117,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Wetland
118,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
119,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
120,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Water
121,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
122,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
123,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Cropland
124,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Built-up
125,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Forest
126,NULL,NULL,Built-up,Water,Non_Wetland,NULL,NULL,NULL
127,NULL,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Grassland
128,NULL,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Cropland
129,NULL,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Bareland
130,NULL,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Built-up
131,NULL,NULL,Water,NULL,Water,NULL,NULL,Grassland
132,NULL,NULL,Water,NULL,Water,NULL,NULL,Wetland
133,NULL,NULL,Water,NULL,Water,NULL,NULL,Bareland
134,NULL,NULL,Water,NULL,Water,NULL,NULL,Water
135,NULL,NULL,Water,NULL,Water,NULL,NULL,Forest
136,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
137,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Wetland
138,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Forest
139,NULL,NULL,Water,Water,Water,NULL,NULL,Grassland
140,NULL,NULL,Water,Water,Water,NULL,NULL,Wetland
141,NULL,NULL,Water,Water,Water,NULL,NULL,Water
142,NULL,NULL,Water,Water,Water,NULL,NULL,Forest
143,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
144,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
145,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
146,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
147,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
148,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
149,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Water
150,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
151,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
152,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Cropland
153,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
154,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
155,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
156,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
157,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Bareland
158,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Forest
159,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,NULL
160,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
161,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
162,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Wetland
163,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
164,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Water
165,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
166,NULL,Cropland,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
167,NULL,Cropland,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
168,NULL,Cropland,NULL,Water,Non_Wetland,NULL,NULL,Cropland
169,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
170,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
171,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
172,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
173,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
174,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
175,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
176,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
177,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
178,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Cropland
179,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
180,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
181,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Built-up
182,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
183,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
184,NULL,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
185,NULL,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Cropland
186,NULL,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
187,NULL,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
188,NULL,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Built-up
189,NULL,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Water
190,NULL,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
191,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
192,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
193,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
194,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
195,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
196,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
197,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
198,NULL,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Cropland
199,NULL,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Wetland
200,NULL,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
201,NULL,Cropland,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
202,NULL,Cropland,Grassland,Water,Non_Wetland,NULL,NULL,Wetland
203,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
204,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
205,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
206,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Cropland
207,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Water
208,NULL,Cropland,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
209,NULL,Cropland,Wetland,Non_Water,Wetland,NULL,NULL,Built-up
210,NULL,Cropland,Wetland,Water,Wetland,NULL,NULL,Cropland
211,NULL,Cropland,Wetland,Water,Wetland,NULL,NULL,Built-up
212,NULL,Cropland,Wetland,Water,Wetland,NULL,NULL,Water
213,NULL,Cropland,Wetland,Water,Wetland,NULL,NULL,Forest
214,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
215,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
216,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
217,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
218,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
219,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
220,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
221,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
222,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Wetland
223,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
224,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
225,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Water
226,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
227,NULL,Cropland,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
228,NULL,Cropland,Built-up,Non_Water,Non_Wetland,NULL,NULL,Bareland
229,NULL,Cropland,Built-up,Non_Water,Non_Wetland,NULL,NULL,Built-up
230,NULL,Cropland,Built-up,Non_Water,Non_Wetland,NULL,NULL,Water
231,NULL,Cropland,Built-up,Water,Non_Wetland,NULL,NULL,Cropland
232,NULL,Cropland,Built-up,Water,Non_Wetland,NULL,NULL,Bareland
233,NULL,Cropland,Built-up,Water,Non_Wetland,NULL,NULL,Built-up
234,NULL,Cropland,Water,NULL,Water,NULL,NULL,Grassland
235,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,NULL
236,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
237,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
238,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
239,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
240,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
241,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
242,NULL,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
243,NULL,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,Wetland
244,NULL,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,Water
245,NULL,Wetland,NULL,Water,Non_Wetland,NULL,NULL,Wetland
246,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
247,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
248,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
249,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
250,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
251,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
252,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
253,NULL,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
254,NULL,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
255,NULL,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Water
256,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
257,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
258,NULL,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
259,NULL,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Wetland
260,NULL,Wetland,Grassland,Water,Non_Wetland,NULL,NULL,Wetland
261,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Water
262,NULL,Wetland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
263,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
264,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Water
265,NULL,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
266,NULL,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
267,NULL,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
268,NULL,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
269,NULL,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
270,NULL,Bareland,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
271,NULL,Bareland,NULL,Non_Water,Non_Wetland,NULL,NULL,Bareland
272,NULL,Bareland,NULL,Non_Water,Non_Wetland,NULL,NULL,Water
273,NULL,Bareland,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
274,NULL,Bareland,NULL,Water,Non_Wetland,NULL,NULL,Bareland
275,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
276,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
277,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
278,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
279,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
280,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
281,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
282,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
283,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
284,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
285,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
286,NULL,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
287,NULL,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
288,NULL,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Water
289,NULL,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
290,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
291,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
292,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
293,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
294,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
295,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
296,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
297,NULL,Bareland,Wetland,NULL,Wetland,NULL,NULL,Water
298,NULL,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
299,NULL,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
300,NULL,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Water
301,NULL,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Forest
302,NULL,Bareland,Wetland,Water,Wetland,NULL,NULL,Bareland
303,NULL,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
304,NULL,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
305,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
306,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
307,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
308,NULL,Bareland,Bareland,Water,Non_Wetland,NULL,NULL,Water
309,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
310,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
311,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
312,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
313,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
314,NULL,Bareland,Water,NULL,Water,NULL,NULL,Grassland
315,NULL,Bareland,Water,NULL,Water,NULL,NULL,Bareland
316,NULL,Bareland,Water,Water,Water,NULL,NULL,Water
317,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
318,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
319,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
320,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
321,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
322,NULL,Bareland,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
323,NULL,Bareland,Forest,Non_Water,Non_Wetland,NULL,NULL,Bareland
324,NULL,Bareland,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
325,NULL,Bareland,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
326,NULL,Bareland,Forest,Water,Non_Wetland,NULL,NULL,Bareland
327,NULL,Bareland,Forest,Water,Non_Wetland,NULL,NULL,Water
328,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,NULL
329,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
330,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
331,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Wetland
332,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
333,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
334,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Water
