Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_23LPG_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23LPG_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23LPG_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_23LPG_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23LPG_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23LPG_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LPG_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_23LPG_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Grassland
30,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Cropland
31,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Built-up
32,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,NULL
33,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Grassland
34,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Cropland
35,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Wetland
36,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Bareland
37,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Water
38,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Forest
39,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,NULL
40,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Grassland
41,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,NULL
42,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
43,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Cropland
44,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Wetland
45,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Bareland
46,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Built-up
47,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Water
48,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
49,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
50,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
51,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
52,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
53,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
54,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
55,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
56,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
57,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
58,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Cropland
59,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Wetland
60,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Bareland
61,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Water
62,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
63,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,NULL
64,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
65,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Forest
66,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,NULL
67,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Forest
68,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,NULL
69,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Grassland
70,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Wetland
71,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Water
72,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Forest
73,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
74,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
75,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
76,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
77,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
78,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
79,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Wetland
80,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Bareland
81,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Built-up
82,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Water
83,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
84,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
85,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
86,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
87,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Bareland
88,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Built-up
89,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
90,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
91,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
92,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
93,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
94,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
95,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
96,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Water
97,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
98,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
99,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
100,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Cropland
101,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,NULL
102,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
103,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Cropland
104,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Built-up
105,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Forest
106,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
107,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Forest
108,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
109,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
110,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,NULL
111,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
112,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
113,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Bareland
114,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,NULL
115,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Grassland
116,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
117,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
118,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
119,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
120,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
121,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Wetland
122,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
123,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
124,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Water
125,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
126,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
127,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
128,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Cropland
129,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Bareland
130,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Built-up
131,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
132,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
133,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
134,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
135,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Wetland
136,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
137,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
138,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Water
139,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
140,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
141,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
142,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Cropland
143,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
144,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
145,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
146,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,NULL
147,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
148,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Cropland
149,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Bareland
150,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Built-up
151,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Forest
152,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
153,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Bareland
154,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Forest
155,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,NULL
156,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
157,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Cropland
158,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Bareland
159,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Grassland
160,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Built-up
161,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Forest
162,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,NULL
163,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
164,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Cropland
165,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Bareland
166,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Built-up
167,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,NULL
168,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
169,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Cropland
170,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Bareland
171,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
172,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Forest
173,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,NULL
174,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Grassland
175,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Wetland
176,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Bareland
177,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Water
178,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Forest
179,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,NULL
180,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Grassland
181,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Wetland
182,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Forest
183,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,NULL
184,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
185,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Cropland
186,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Forest
187,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Grassland
188,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Bareland
189,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Water
190,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Forest
191,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,NULL
192,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
193,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Wetland
194,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
195,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
196,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
197,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Wetland
198,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
199,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
200,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
201,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,NULL
202,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
203,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Cropland
204,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Wetland
205,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Bareland
206,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Water
207,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
208,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,NULL
209,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Grassland
210,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Cropland
211,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Wetland
212,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Bareland
213,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Forest
214,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,NULL
215,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
216,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Cropland
217,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Wetland
218,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Bareland
219,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Water
220,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Forest
221,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Bareland,NULL
222,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Bareland,Grassland
223,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Bareland,Wetland
224,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Bareland,Bareland
225,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,NULL
226,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Grassland
227,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Wetland
228,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Bareland
229,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Water
230,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Forest
231,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,NULL
232,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Grassland
233,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Cropland
234,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Wetland
235,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Water
236,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Forest
237,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
238,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
239,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Cropland
240,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Wetland
241,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Forest
242,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,NULL
243,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
244,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Cropland
245,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Wetland
246,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Forest
247,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,NULL
248,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Grassland
249,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Forest
250,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,NULL
251,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
252,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Cropland
253,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Wetland
254,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Bareland
255,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Forest
256,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,NULL
257,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
258,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Cropland
259,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Bareland
260,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,NULL
261,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
262,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Cropland
263,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Bareland
264,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Forest
265,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,NULL
266,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
267,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Cropland
268,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Built-up,Grassland
269,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Grassland
270,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Cropland
271,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Forest,NULL
272,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,NULL
273,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Grassland
274,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Cropland
275,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Bareland
276,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Forest
277,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,Grassland
278,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,Cropland
279,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,Wetland
280,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,Bareland
281,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,Forest
282,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,NULL
283,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
284,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Cropland
285,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Bareland
286,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Water
287,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
288,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Cropland
289,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
290,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Grassland
291,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Forest,Grassland
292,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,NULL
293,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Grassland
294,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Cropland
295,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Wetland
296,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Forest
297,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Shrubland,NULL
298,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Shrubland,Grassland
299,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Shrubland,Water
300,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Shrubland,Forest
301,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,NULL
302,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Grassland
303,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Cropland
304,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Forest
305,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Bareland,Bareland
306,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,NULL
307,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Grassland
308,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Cropland
309,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Wetland
310,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Bareland
311,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Water
312,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Forest
313,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Forest,Grassland
314,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,NULL,NULL
315,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,NULL,Grassland
316,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,NULL,Wetland
317,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,NULL,Forest
318,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Shrubland,NULL
319,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Shrubland,Grassland
320,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Shrubland,Wetland
321,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Shrubland,Forest
322,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Grassland,Grassland
323,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Grassland,Wetland
324,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Water,Water
325,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Water,Forest
326,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,NULL
327,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
328,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Wetland
