Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22MEC_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MEC_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MEC_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MEC_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MEC_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MEC_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MEC_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22MEC_M_R
25,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
26,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
27,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
28,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
29,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Wetland
30,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
31,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
32,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
33,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
34,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Bareland
35,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
36,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Grassland
37,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Wetland
38,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
39,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Wetland
40,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
41,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
42,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
43,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Wetland
44,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
45,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
46,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Wetland
47,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
48,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
49,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Forest
50,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
51,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
52,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
53,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
54,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Grassland
55,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Wetland
56,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Forest
57,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
58,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
59,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
60,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
61,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
62,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
63,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
64,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
65,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Wetland
66,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
67,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Wetland
68,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Forest
69,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
70,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Forest
71,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Forest,Grassland
72,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Forest,Forest
73,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Forest,Forest
74,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Wetland,Wetland
75,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Wetland
76,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Forest,Wetland
77,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
78,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
79,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,NULL
80,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
81,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
82,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
83,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
84,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
85,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
86,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
87,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
88,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
89,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
90,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
91,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
92,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
93,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
94,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Bareland
95,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
96,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
97,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
98,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
99,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Forest
100,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
101,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
102,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
103,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Wetland
104,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
105,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
106,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
107,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Wetland
108,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
109,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Forest
110,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
111,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
112,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Wetland
113,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Bareland
114,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Built-up
115,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
116,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
117,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
118,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
119,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Bareland
120,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
121,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
122,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Forest
123,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Built-up,Wetland
124,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Grassland
125,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Wetland
126,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
127,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Wetland
128,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
129,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
130,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Forest
131,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
132,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Wetland
133,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
134,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
135,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
136,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
137,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Wetland
138,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Bareland
139,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Forest
140,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
141,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
142,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
143,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Grassland
144,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Bareland
145,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Grassland
146,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Wetland
147,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Bareland
148,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Forest
149,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
150,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Bareland
151,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Built-up
152,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
153,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Forest
154,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
155,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Wetland
156,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Bareland
157,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Built-up
158,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Forest
159,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Wetland
160,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Grassland
161,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Wetland
162,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Shrubland,Forest
163,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
164,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
165,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Wetland,Forest
166,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Grassland
167,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
168,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
169,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Forest
170,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
171,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Wetland
172,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Forest,Grassland
173,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Wetland
174,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Forest
175,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
176,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
177,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Wetland,Wetland
178,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Wetland
179,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Wetland
180,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Forest,Wetland
181,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Grassland,Grassland
182,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Wetland,Wetland
183,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Forest
184,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,NULL
185,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,Grassland
186,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,Forest
187,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Forest,Forest
188,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
189,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Forest
190,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
191,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,NULL
192,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
193,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Wetland
194,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Bareland
195,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
196,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
197,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Wetland
198,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Bareland
199,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
200,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
201,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
202,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Built-up,Grassland
203,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
204,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Wetland
205,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
206,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,NULL,Grassland
207,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,Grassland
208,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,Wetland
209,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,Forest
210,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
211,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Shrubland,Forest
212,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,NULL
213,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
214,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Wetland
215,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
216,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
217,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Wetland
218,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
219,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Bareland,Grassland
220,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Bareland,Forest
221,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Water,Wetland
222,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Grassland
223,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Wetland
224,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Forest
225,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,Grassland
226,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
227,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Wetland
228,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Bareland
229,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
230,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Grassland
231,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Wetland
232,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Bareland
233,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Forest
234,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
235,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Built-up
236,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Forest
237,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Built-up,Grassland
238,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Built-up,Wetland
239,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Built-up,Built-up
240,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Water,Grassland
241,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Water,Forest
242,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Grassland
243,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Bareland
244,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Forest
245,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Grassland,Grassland
246,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Grassland,Forest
247,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Built-up,Grassland
248,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Built-up,Built-up
249,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Built-up,Forest
250,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,NULL,Forest
251,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Grassland
252,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
253,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Wetland,Forest
254,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Grassland
255,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Forest
256,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Water,Grassland
257,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Forest,Forest
258,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
259,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Forest,Grassland
260,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Grassland,Forest
261,NULL,NULL,Grassland,Water,Non_Wetland,Bareland,Grassland,Grassland
262,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Wetland,Forest
263,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
264,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
265,NULL,NULL,Wetland,NULL,Wetland,NULL,Grassland,Grassland
266,NULL,NULL,Wetland,NULL,Wetland,NULL,Grassland,Forest
267,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland,Grassland
268,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland,Forest
269,NULL,NULL,Wetland,NULL,Wetland,NULL,Forest,Grassland
270,NULL,NULL,Wetland,NULL,Wetland,NULL,Forest,Forest
271,NULL,NULL,Wetland,NULL,Wetland,Grassland,NULL,Grassland
272,NULL,NULL,Wetland,NULL,Wetland,Grassland,NULL,Forest
273,NULL,NULL,Wetland,NULL,Wetland,Grassland,Shrubland,Grassland
274,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,NULL
275,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
276,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Wetland
277,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Forest
278,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,NULL
279,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
280,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Wetland
281,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Bareland
282,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Forest
283,NULL,NULL,Wetland,NULL,Wetland,Grassland,Bareland,Grassland
284,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,Grassland
285,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,Wetland
286,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,Forest
287,NULL,NULL,Wetland,NULL,Wetland,Wetland,NULL,Grassland
288,NULL,NULL,Wetland,NULL,Wetland,Wetland,NULL,Wetland
289,NULL,NULL,Wetland,NULL,Wetland,Wetland,NULL,Forest
290,NULL,NULL,Wetland,NULL,Wetland,Wetland,Shrubland,Grassland
291,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,NULL
292,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Grassland
293,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Wetland
294,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Forest
295,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,NULL
296,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
297,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
298,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Forest
299,NULL,NULL,Wetland,NULL,Wetland,Wetland,Bareland,Grassland
300,NULL,NULL,Wetland,NULL,Wetland,Wetland,Bareland,Wetland
301,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,Grassland
302,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,Wetland
303,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,Grassland
304,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,Wetland
305,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,Forest
306,NULL,NULL,Wetland,NULL,Wetland,Bareland,Grassland,Grassland
307,NULL,NULL,Wetland,NULL,Wetland,Bareland,Grassland,Wetland
308,NULL,NULL,Wetland,NULL,Wetland,Bareland,Grassland,Forest
309,NULL,NULL,Wetland,NULL,Wetland,Bareland,Wetland,Grassland
310,NULL,NULL,Wetland,NULL,Wetland,Bareland,Wetland,Wetland
311,NULL,NULL,Wetland,NULL,Wetland,Bareland,Wetland,Bareland
312,NULL,NULL,Wetland,NULL,Wetland,Bareland,Wetland,Forest
313,NULL,NULL,Wetland,NULL,Wetland,Bareland,Bareland,Grassland
314,NULL,NULL,Wetland,NULL,Wetland,Bareland,Bareland,Forest
315,NULL,NULL,Wetland,NULL,Wetland,Bareland,Water,Grassland
316,NULL,NULL,Wetland,NULL,Wetland,Bareland,Water,Forest
317,NULL,NULL,Wetland,NULL,Wetland,Bareland,Forest,Grassland
318,NULL,NULL,Wetland,NULL,Wetland,Bareland,Forest,Forest
319,NULL,NULL,Wetland,NULL,Wetland,Water,Grassland,Grassland
320,NULL,NULL,Wetland,NULL,Wetland,Water,Grassland,Wetland
321,NULL,NULL,Wetland,NULL,Wetland,Water,Grassland,Forest
322,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Grassland
323,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Wetland
324,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Forest
325,NULL,NULL,Wetland,NULL,Wetland,Water,Forest,Wetland
326,NULL,NULL,Wetland,NULL,Wetland,Water,Forest,Water
327,NULL,NULL,Wetland,NULL,Wetland,Water,Forest,Forest
328,NULL,NULL,Wetland,NULL,Wetland,Forest,Shrubland,Forest
