Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22MFB_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MFB_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MFB_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MFB_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MFB_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MFB_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MFB_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22MFB_M_R
25,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
26,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Forest
27,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
28,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Wetland
29,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
30,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
31,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
32,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Bareland
33,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
34,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
35,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
36,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
37,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
38,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
39,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
40,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
41,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
42,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Wetland
43,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
44,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
45,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
46,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
47,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Grassland
48,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Grassland
49,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
50,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Wetland
51,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
52,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
53,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
54,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
55,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
56,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
57,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
58,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
59,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
60,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
61,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
62,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Bareland
63,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
64,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
65,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
66,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
67,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
68,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Built-up
69,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Forest
70,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
71,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Forest
72,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
73,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Bareland
74,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
75,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
76,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Grassland
77,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
78,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
79,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Grassland
80,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
81,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
82,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
83,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Bareland
84,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
85,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
86,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
87,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Bareland
88,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
89,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Wetland
90,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Grassland
91,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Bareland
92,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,NULL,Grassland
93,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,NULL,Bareland
94,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,Grassland,Grassland
95,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,Grassland,Bareland
96,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,Wetland,Grassland
97,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,Water,Grassland
98,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,Water,Bareland
99,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
100,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Wetland
101,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Forest
102,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
103,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
104,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Forest,Grassland
105,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Grassland
106,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Bareland
107,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
108,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Bareland
109,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Forest
110,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
111,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Wetland,Bareland
112,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Grassland
113,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Wetland
114,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Bareland
115,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Water
116,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Grassland
117,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Bareland
118,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Bareland
119,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Wetland,Wetland
120,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,Grassland
121,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
122,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Wetland,Grassland
123,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Water,Grassland
124,NULL,NULL,NULL,Water,Non_Wetland,Cropland,NULL,Grassland
125,NULL,NULL,NULL,Water,Non_Wetland,Cropland,NULL,Bareland
126,NULL,NULL,NULL,Water,Non_Wetland,Cropland,Grassland,Grassland
127,NULL,NULL,NULL,Water,Non_Wetland,Cropland,Grassland,Bareland
128,NULL,NULL,NULL,Water,Non_Wetland,Cropland,Wetland,Grassland
129,NULL,NULL,NULL,Water,Non_Wetland,Cropland,Water,Grassland
130,NULL,NULL,NULL,Water,Non_Wetland,Cropland,Water,Wetland
131,NULL,NULL,NULL,Water,Non_Wetland,Cropland,Water,Bareland
132,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Grassland,Grassland
133,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Grassland
134,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Bareland
135,NULL,NULL,NULL,Water,Non_Wetland,Bareland,NULL,Grassland
136,NULL,NULL,NULL,Water,Non_Wetland,Bareland,NULL,Bareland
137,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Grassland,Grassland
138,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Grassland,Wetland
139,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Grassland,Bareland
140,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Wetland,Grassland
141,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Wetland,Bareland
142,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Grassland
143,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Wetland
144,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Bareland
145,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Water
146,NULL,NULL,NULL,Water,Non_Wetland,Water,Grassland,Grassland
147,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
148,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
149,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
150,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
151,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
152,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Built-up
153,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Water
154,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
155,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
156,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
157,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
158,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
159,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
160,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
161,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
162,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
163,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
164,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
165,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
166,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
167,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
168,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
169,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
170,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
171,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
172,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Grassland
173,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Cropland
174,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Water
175,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
176,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Bareland
177,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Forest
178,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Grassland
179,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Bareland,Grassland
180,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Bareland,Bareland
181,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Grassland
182,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
183,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Wetland
184,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
185,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
186,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Wetland
187,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Built-up
188,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
189,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
190,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
191,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Built-up
192,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
193,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
194,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Bareland
195,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
196,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Wetland
197,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
198,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
199,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Bareland
200,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Built-up
201,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Forest
202,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
203,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,NULL
204,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
205,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Wetland
206,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
207,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
208,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
209,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
210,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Forest
211,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
212,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
213,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Built-up
214,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
215,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Grassland
216,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Built-up
217,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Grassland
218,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Forest
219,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
220,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
221,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Grassland
222,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Forest
223,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Grassland
224,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Bareland
225,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Built-up
226,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Forest
227,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
228,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,NULL,Forest
229,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Wetland
230,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Bareland,Grassland
231,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Grassland
232,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
233,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
234,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Wetland,Forest
235,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
236,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,NULL,Grassland
237,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
238,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Forest
239,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
240,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Water,Grassland
241,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland,NULL,Grassland
242,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland,NULL,Bareland
243,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland,Grassland,Grassland
244,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland,Water,Grassland
245,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,NULL,Grassland
246,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
247,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Forest
248,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
249,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
250,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Water,Grassland
251,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Forest,Grassland
252,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,NULL,Grassland
253,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,NULL,Bareland
254,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
255,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Grassland,Wetland
256,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Grassland,Bareland
257,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Grassland,Water
258,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Grassland,Forest
259,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
260,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Wetland,Wetland
261,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
262,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Water,Grassland
263,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Water,Wetland
264,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Water,Bareland
265,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Water,Water
266,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Water,Forest
267,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Forest,Grassland
268,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,NULL,Grassland
269,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Wetland,Wetland
270,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,NULL,Grassland
271,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Grassland
272,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Grassland
273,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Water,Grassland
274,NULL,NULL,Shrubland,Water,Non_Wetland,Cropland,NULL,Grassland
275,NULL,NULL,Shrubland,Water,Non_Wetland,Cropland,NULL,Bareland
276,NULL,NULL,Shrubland,Water,Non_Wetland,Cropland,NULL,Forest
277,NULL,NULL,Shrubland,Water,Non_Wetland,Cropland,Grassland,Wetland
278,NULL,NULL,Shrubland,Water,Non_Wetland,Cropland,Water,Grassland
279,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,NULL,Grassland
280,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Grassland,Grassland
281,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Grassland
282,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Wetland
283,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,NULL,Grassland
284,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Grassland,Grassland
285,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Wetland,Grassland
286,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Water,Grassland
287,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Water,Wetland
288,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Water,Bareland
289,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Wetland,Wetland
290,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Water,Wetland
291,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
292,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Grassland
293,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Forest
294,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,Grassland
295,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,Forest
296,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
297,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Built-up
298,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Forest
299,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
300,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,NULL
301,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
302,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Cropland
303,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Wetland
304,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Bareland
305,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Built-up
306,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
307,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
308,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Wetland
309,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
310,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
311,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Built-up
312,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
313,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Built-up,Grassland
314,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Built-up,Built-up
315,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Built-up,Forest
316,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Water,Grassland
317,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Water,Forest
318,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,NULL
319,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
320,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Wetland
321,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
322,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,NULL,Grassland
