Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19LHH_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LHH_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LHH_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LHH_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LHH_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LHH_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19LHH_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19LHH_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Wetland
4,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
5,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
6,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
7,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
8,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Wetland
9,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
10,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
11,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
12,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
13,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
14,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Wetland
15,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
16,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
17,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
18,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,NULL
19,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
20,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Wetland
21,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
22,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
23,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
24,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
25,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
26,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
27,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
28,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
