Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19KES_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19KES_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19KES_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19KES_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19KES_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19KES_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19KES_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19KES_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
3,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
4,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
5,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
6,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
7,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
8,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
9,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
10,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
11,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
12,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
13,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
14,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Bareland
15,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,NULL
16,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
17,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
18,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
19,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Wetland
20,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
21,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
22,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Water
23,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
24,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
25,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
26,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
27,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
28,NULL,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
