Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19NHC_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NHC_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NHC_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NHC_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NHC_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19NHC_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19NHC_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19NHC_M_R
30,NULL,NULL,Water,NULL,Water,NULL,NULL,Grassland
31,NULL,NULL,Water,NULL,Water,NULL,NULL,Wetland
32,NULL,NULL,Water,NULL,Water,NULL,NULL,Bareland
33,NULL,NULL,Water,NULL,Water,NULL,NULL,Forest
34,NULL,NULL,Water,Water,Water,NULL,NULL,Grassland
35,NULL,NULL,Water,Water,Water,NULL,NULL,Wetland
36,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
37,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
38,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
39,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
40,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
41,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
42,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Wetland
43,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Wetland
44,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Forest
45,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
46,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
47,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
48,NULL,Bareland,Wetland,NULL,Wetland,NULL,NULL,Grassland
49,NULL,Bareland,Water,NULL,Water,NULL,NULL,Grassland
50,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
51,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
52,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
53,NULL,Water,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
54,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Wetland
55,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
56,NULL,Water,Wetland,Non_Water,Wetland,NULL,NULL,Water
57,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Water
58,NULL,Water,Water,Water,Water,NULL,NULL,Wetland
59,NULL,Water,Water,Water,Water,NULL,NULL,Water
60,NULL,Water,Water,Water,Water,NULL,NULL,Forest
61,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
62,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
63,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
64,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
65,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
66,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
67,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
68,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,NULL
69,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Grassland
70,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Wetland
71,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
72,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,NULL
73,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
74,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
75,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
76,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
77,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Wetland
78,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
79,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
80,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
81,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
82,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
83,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
84,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
85,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
86,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
87,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Water
88,Grassland,NULL,Water,Water,Water,NULL,NULL,Wetland
89,Grassland,NULL,Water,Water,Water,NULL,NULL,Water
90,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
91,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
92,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
93,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
94,Grassland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
95,Grassland,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
96,Grassland,Water,Wetland,Water,Wetland,NULL,NULL,Grassland
97,Grassland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
98,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
99,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
100,Grassland,Forest,Wetland,NULL,Wetland,NULL,NULL,NULL
101,Grassland,Forest,Wetland,NULL,Wetland,NULL,NULL,Grassland
102,Grassland,Forest,Wetland,NULL,Wetland,NULL,NULL,Wetland
103,Grassland,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
104,Grassland,Forest,Water,NULL,Water,NULL,NULL,Forest
105,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,NULL
106,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
107,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
108,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
109,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
110,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
111,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
112,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
113,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
114,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
115,Cropland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
116,Cropland,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
117,Cropland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
118,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
119,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
120,Cropland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
121,Cropland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
122,Cropland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
123,Cropland,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
124,Cropland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
125,Cropland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
126,Wetland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
127,Wetland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
128,Wetland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
129,Wetland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
130,Wetland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
131,Wetland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
132,Wetland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Wetland
133,Wetland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
134,Wetland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
135,Wetland,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
136,Wetland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
137,Wetland,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
138,Wetland,NULL,Wetland,NULL,Wetland,NULL,NULL,Bareland
139,Wetland,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
140,Wetland,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
141,Wetland,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
142,Wetland,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
143,Wetland,NULL,Water,NULL,Water,NULL,NULL,Grassland
144,Wetland,NULL,Water,NULL,Water,NULL,NULL,Forest
145,Wetland,NULL,Water,Water,Water,NULL,NULL,Wetland
146,Wetland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
147,Wetland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
148,Wetland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
149,Wetland,Wetland,Wetland,NULL,Wetland,NULL,NULL,NULL
150,Wetland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Grassland
151,Wetland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Wetland
152,Wetland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Forest
153,Wetland,Wetland,Water,NULL,Water,NULL,NULL,Wetland
154,Wetland,Wetland,Water,NULL,Water,NULL,NULL,Forest
155,Wetland,Wetland,Water,Non_Water,Water,NULL,NULL,Forest
156,Wetland,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
157,Wetland,Water,Wetland,NULL,Wetland,NULL,NULL,Grassland
158,Wetland,Water,Wetland,NULL,Wetland,NULL,NULL,Wetland
159,Wetland,Water,Wetland,NULL,Wetland,NULL,NULL,Water
160,Wetland,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
161,Wetland,Water,Wetland,Water,Wetland,NULL,NULL,Wetland
162,Wetland,Water,Wetland,Water,Wetland,NULL,NULL,Water
163,Wetland,Water,Water,NULL,Water,NULL,NULL,Forest
164,Wetland,Water,Water,Non_Water,Water,NULL,NULL,Water
165,Wetland,Water,Water,Water,Water,NULL,NULL,Grassland
166,Wetland,Water,Water,Water,Water,NULL,NULL,Wetland
167,Wetland,Water,Water,Water,Water,NULL,NULL,Water
168,Wetland,Water,Water,Water,Water,NULL,NULL,Forest
169,Wetland,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
170,Wetland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
171,Wetland,Forest,Wetland,NULL,Wetland,NULL,NULL,NULL
172,Wetland,Forest,Wetland,NULL,Wetland,NULL,NULL,Wetland
173,Wetland,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
174,Bareland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
175,Bareland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
176,Bareland,Water,Wetland,NULL,Wetland,NULL,NULL,Grassland
177,Bareland,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
178,Bareland,Water,Wetland,Water,Wetland,NULL,NULL,Water
179,Bareland,Water,Water,Water,Water,NULL,NULL,Water
180,Bareland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Water
181,Bareland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
182,Bareland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
183,Water,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
184,Water,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
185,Water,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
186,Water,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
187,Water,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
188,Water,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
189,Water,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
190,Water,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Wetland
191,Water,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
192,Water,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
193,Water,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
194,Water,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
195,Water,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
196,Water,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
197,Water,NULL,Wetland,Water,Wetland,NULL,NULL,Water
198,Water,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
199,Water,NULL,Water,NULL,Water,NULL,NULL,Grassland
200,Water,NULL,Water,NULL,Water,NULL,NULL,Bareland
201,Water,NULL,Water,NULL,Water,NULL,NULL,Forest
202,Water,NULL,Water,Water,Water,NULL,NULL,Wetland
203,Water,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
204,Water,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
205,Water,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
206,Water,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
207,Water,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
208,Water,Wetland,Wetland,NULL,Wetland,NULL,NULL,Grassland
209,Water,Wetland,Wetland,NULL,Wetland,NULL,NULL,Water
210,Water,Wetland,Wetland,NULL,Wetland,NULL,NULL,Forest
211,Water,Wetland,Wetland,Water,Wetland,NULL,NULL,Water
212,Water,Wetland,Wetland,Water,Wetland,NULL,NULL,Forest
213,Water,Wetland,Water,NULL,Water,NULL,NULL,Grassland
214,Water,Wetland,Water,NULL,Water,NULL,NULL,Water
215,Water,Wetland,Water,NULL,Water,NULL,NULL,Forest
216,Water,Wetland,Water,Water,Water,NULL,NULL,Forest
217,Water,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
218,Water,Bareland,Water,Water,Water,NULL,NULL,Water
219,Water,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
220,Water,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
221,Water,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Water
222,Water,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
223,Water,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
224,Water,Water,Wetland,NULL,Wetland,NULL,NULL,Grassland
225,Water,Water,Wetland,NULL,Wetland,NULL,NULL,Wetland
226,Water,Water,Wetland,NULL,Wetland,NULL,NULL,Water
227,Water,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
228,Water,Water,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
229,Water,Water,Wetland,Non_Water,Wetland,NULL,NULL,Water
230,Water,Water,Wetland,Non_Water,Wetland,NULL,NULL,Forest
231,Water,Water,Wetland,Water,Wetland,NULL,NULL,Grassland
232,Water,Water,Wetland,Water,Wetland,NULL,NULL,Wetland
233,Water,Water,Wetland,Water,Wetland,NULL,NULL,Water
234,Water,Water,Wetland,Water,Wetland,NULL,NULL,Forest
235,Water,Water,Water,NULL,Water,NULL,NULL,Grassland
236,Water,Water,Water,NULL,Water,NULL,NULL,Wetland
237,Water,Water,Water,NULL,Water,NULL,NULL,Water
238,Water,Water,Water,NULL,Water,NULL,NULL,Forest
239,Water,Water,Water,Non_Water,Water,NULL,NULL,Grassland
240,Water,Water,Water,Non_Water,Water,NULL,NULL,Wetland
241,Water,Water,Water,Non_Water,Water,NULL,NULL,Water
242,Water,Water,Water,Non_Water,Water,NULL,NULL,Forest
243,Water,Water,Water,Water,Water,NULL,NULL,Grassland
244,Water,Water,Water,Water,Water,NULL,NULL,Wetland
245,Water,Water,Water,Water,Water,NULL,NULL,Water
246,Water,Water,Water,Water,Water,NULL,NULL,Forest
247,Water,Water,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
248,Water,Water,Forest,NULL,Non_Wetland,NULL,NULL,Water
249,Water,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
250,Water,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
251,Water,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
252,Water,Water,Forest,Water,Non_Wetland,NULL,NULL,Water
253,Water,Water,Forest,Water,Non_Wetland,NULL,NULL,Forest
254,Water,Forest,Wetland,NULL,Wetland,NULL,NULL,NULL
255,Water,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
256,Water,Forest,Water,NULL,Water,NULL,NULL,Forest
257,Water,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
258,Water,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
259,Permanent_ice_and_snow,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
260,Permanent_ice_and_snow,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
261,Permanent_ice_and_snow,Water,Wetland,NULL,Wetland,NULL,NULL,Grassland
262,Permanent_ice_and_snow,Water,Wetland,NULL,Wetland,NULL,NULL,Water
263,Permanent_ice_and_snow,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
264,Permanent_ice_and_snow,Water,Wetland,Water,Wetland,NULL,NULL,Water
265,Permanent_ice_and_snow,Water,Water,Water,Water,NULL,NULL,Wetland
266,Permanent_ice_and_snow,Water,Water,Water,Water,NULL,NULL,Water
267,Permanent_ice_and_snow,Water,Water,Water,Water,NULL,NULL,Forest
268,Permanent_ice_and_snow,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
269,Forest,NULL,NULL,NULL,Non_Wetland,NULL,NULL,NULL
270,Forest,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
271,Forest,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Wetland
272,Forest,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
273,Forest,NULL,NULL,Water,Non_Wetland,NULL,NULL,Wetland
274,Forest,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
275,Forest,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
276,Forest,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
277,Forest,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
278,Forest,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
279,Forest,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
280,Forest,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
281,Forest,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
282,Forest,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
283,Forest,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
284,Forest,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
285,Forest,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
286,Forest,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Wetland
287,Forest,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
288,Forest,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Wetland
289,Forest,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
290,Forest,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
291,Forest,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
292,Forest,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
293,Forest,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
294,Forest,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
295,Forest,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
296,Forest,NULL,Wetland,Non_Water,Wetland,NULL,NULL,NULL
297,Forest,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
298,Forest,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
299,Forest,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
300,Forest,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
301,Forest,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
302,Forest,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
303,Forest,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
304,Forest,NULL,Water,NULL,Water,NULL,NULL,Grassland
305,Forest,NULL,Water,NULL,Water,NULL,NULL,Wetland
306,Forest,NULL,Water,NULL,Water,NULL,NULL,Bareland
307,Forest,NULL,Water,NULL,Water,NULL,NULL,Water
308,Forest,NULL,Water,NULL,Water,NULL,NULL,Forest
309,Forest,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
310,Forest,NULL,Water,Non_Water,Water,NULL,NULL,Wetland
311,Forest,NULL,Water,Water,Water,NULL,NULL,Grassland
312,Forest,NULL,Water,Water,Water,NULL,NULL,Wetland
313,Forest,NULL,Water,Water,Water,NULL,NULL,Forest
314,Forest,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
315,Forest,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
316,Forest,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
317,Forest,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
318,Forest,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
319,Forest,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
320,Forest,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
321,Forest,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
322,Forest,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
323,Forest,NULL,Forest,Water,Non_Wetland,NULL,NULL,Wetland
324,Forest,NULL,Forest,Water,Non_Wetland,NULL,NULL,Forest
325,Forest,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
326,Forest,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
327,Forest,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
328,Forest,Wetland,Wetland,NULL,Wetland,NULL,NULL,NULL
329,Forest,Wetland,Wetland,NULL,Wetland,NULL,NULL,Grassland
330,Forest,Wetland,Wetland,NULL,Wetland,NULL,NULL,Wetland
331,Forest,Wetland,Wetland,NULL,Wetland,NULL,NULL,Water
332,Forest,Wetland,Wetland,NULL,Wetland,NULL,NULL,Forest
333,Forest,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
334,Forest,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
335,Forest,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Forest
336,Forest,Wetland,Wetland,Water,Wetland,NULL,NULL,Grassland
337,Forest,Wetland,Wetland,Water,Wetland,NULL,NULL,Wetland
338,Forest,Wetland,Wetland,Water,Wetland,NULL,NULL,Water
339,Forest,Wetland,Wetland,Water,Wetland,NULL,NULL,Forest
340,Forest,Wetland,Water,NULL,Water,NULL,NULL,NULL
341,Forest,Wetland,Water,NULL,Water,NULL,NULL,Grassland
342,Forest,Wetland,Water,NULL,Water,NULL,NULL,Wetland
343,Forest,Wetland,Water,NULL,Water,NULL,NULL,Forest
344,Forest,Wetland,Water,Non_Water,Water,NULL,NULL,Wetland
345,Forest,Wetland,Water,Non_Water,Water,NULL,NULL,Forest
346,Forest,Wetland,Water,Water,Water,NULL,NULL,Wetland
347,Forest,Wetland,Water,Water,Water,NULL,NULL,Forest
348,Forest,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,NULL
349,Forest,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
350,Forest,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
351,Forest,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Water
352,Forest,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
353,Forest,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
354,Forest,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
355,Forest,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
356,Forest,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
357,Forest,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
358,Forest,Water,NULL,Water,Non_Wetland,NULL,NULL,Forest
