Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22MBB_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MBB_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MBB_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MBB_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MBB_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MBB_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MBB_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22MBB_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Forest
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Forest
2,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
3,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
4,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
5,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
6,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
7,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
8,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
9,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
10,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
11,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
12,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
13,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
14,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
15,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
16,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Forest
17,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
18,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
19,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
20,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
21,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
22,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
23,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
24,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
25,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
26,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
27,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
28,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
29,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
30,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Forest
31,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
32,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Bareland
