Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_23LME_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23LME_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23LME_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_23LME_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23LME_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23LME_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LME_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_23LME_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
30,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,NULL
31,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
32,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Cropland
33,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
34,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
35,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
36,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
37,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
38,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
39,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
40,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
41,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Cropland
42,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
43,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,NULL
44,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
45,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Wetland
46,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Bareland
47,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Forest
48,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,NULL
49,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
50,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Bareland
51,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
52,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
53,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Wetland
54,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
55,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
56,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
57,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
58,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Bareland
59,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
60,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
61,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
62,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
63,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Bareland
64,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
65,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
66,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
67,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
68,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
69,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
70,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
71,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
72,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
73,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Wetland
74,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Bareland
75,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
76,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
77,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
78,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Cropland
79,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Wetland
80,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Bareland
81,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Built-up
82,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,NULL
83,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
84,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
85,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Bareland
86,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
87,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,NULL
88,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
89,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
90,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Bareland
91,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,NULL
92,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Grassland
93,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,NULL
94,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
95,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Bareland
96,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
97,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,NULL
98,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
99,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Wetland
100,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
101,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
102,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
103,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
104,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
105,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Water
106,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
107,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
108,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
109,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Wetland
110,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
111,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
112,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
113,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
114,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
115,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
116,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
117,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
118,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Bareland
119,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Built-up
120,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
121,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
122,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
123,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
124,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
125,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
126,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,NULL
127,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
128,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Wetland
129,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Bareland
130,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
131,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
132,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
133,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,NULL
134,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,NULL
135,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
136,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Bareland
137,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
138,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,NULL
139,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
140,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
141,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
142,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
143,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
144,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
145,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
146,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,NULL
147,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Wetland
148,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
149,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
150,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
151,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,NULL
152,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
153,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
154,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,NULL
155,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
156,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,NULL
157,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
158,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Bareland
159,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Grassland
160,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,NULL
161,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
162,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Wetland
163,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
164,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
165,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
166,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
167,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
168,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
169,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
170,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
171,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
172,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
173,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
174,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Cropland
175,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Wetland
176,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Bareland
177,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Built-up
178,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
179,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
180,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
181,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
182,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Wetland
183,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Bareland
184,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Built-up
185,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
186,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,NULL
187,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
188,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Bareland
189,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
190,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,NULL
191,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
192,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Cropland
193,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Bareland
194,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Built-up
195,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Forest
196,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,NULL
197,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
198,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Bareland
199,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
200,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
201,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
202,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Cropland
203,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Bareland
204,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Built-up
205,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
206,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
207,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
208,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
209,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
210,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
211,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
212,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
213,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
214,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
215,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Cropland
216,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Bareland
217,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Built-up
218,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
219,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,NULL
220,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
221,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Wetland
222,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Bareland
223,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Forest
224,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,NULL
225,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
226,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Wetland
227,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Bareland
228,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Built-up
229,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Forest
230,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,NULL
231,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,Grassland
232,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,Forest
233,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Grassland
234,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,NULL
235,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
236,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Bareland
237,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
238,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
239,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
240,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
241,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Wetland
242,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Bareland
243,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Built-up
244,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
245,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
246,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
247,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Cropland
248,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Wetland
249,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Bareland
250,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Built-up
251,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
252,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
253,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
254,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
255,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
256,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
257,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
258,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
259,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
260,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
261,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Cropland
262,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
263,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Bareland
264,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
265,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,NULL
266,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
267,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Cropland
268,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Wetland
269,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Bareland
270,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Built-up
271,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,NULL
272,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
273,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Forest
274,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
275,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Bareland
276,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
277,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
278,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Bareland
279,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
280,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,NULL
281,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Grassland
282,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Cropland
283,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Bareland
284,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Forest
285,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,NULL
286,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Grassland
287,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Cropland
288,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Bareland
289,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Built-up
290,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,NULL
291,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
292,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Cropland
293,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Bareland
294,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Forest
295,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Bareland,NULL
296,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
297,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,NULL
298,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
299,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Wetland
300,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Forest
301,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
302,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
303,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Wetland
304,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Bareland
305,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
306,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
307,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
308,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Bareland
309,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Built-up
310,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
311,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
312,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Wetland
313,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Grassland
314,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Wetland
315,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,NULL
316,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
317,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Wetland
318,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
319,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,NULL
320,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
321,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Cropland
