Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_18MVE_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MVE_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MVE_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MVE_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MVE_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18MVE_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
2,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
3,NULL,NULL,Wetland,NULL,Wetland,NULL
4,NULL,NULL,Forest,NULL,Non_Wetland,NULL
5,NULL,Cropland,NULL,NULL,Non_Wetland,NULL
6,NULL,Wetland,NULL,NULL,Non_Wetland,NULL
7,NULL,Bareland,NULL,NULL,Non_Wetland,NULL
8,NULL,Built-up,NULL,NULL,Non_Wetland,NULL
9,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL
10,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL
11,NULL,Built-up,Forest,NULL,Non_Wetland,NULL
12,NULL,Water,NULL,NULL,Non_Wetland,NULL
13,NULL,Water,Wetland,NULL,Wetland,NULL
14,NULL,Forest,NULL,NULL,Non_Wetland,NULL
15,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL
16,NULL,Forest,Grassland,NULL,Non_Wetland,NULL
17,NULL,Forest,Forest,NULL,Non_Wetland,NULL
18,Grassland,NULL,NULL,NULL,Non_Wetland,NULL
19,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL
20,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL
21,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL
22,Grassland,NULL,Wetland,NULL,Wetland,NULL
23,Grassland,NULL,Water,NULL,Water,NULL
24,Grassland,NULL,Forest,NULL,Non_Wetland,NULL
