Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21KVS_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KVS_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KVS_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KVS_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KVS_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KVS_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KVS_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21KVS_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
30,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
31,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Wetland
32,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
33,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,NULL
34,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
35,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Wetland
36,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Forest
37,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
38,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
39,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Wetland
40,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
41,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
42,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
43,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Wetland
44,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
45,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
46,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
47,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Wetland
48,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
49,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
50,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
51,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
52,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
53,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
54,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
55,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Water
56,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
57,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
58,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
59,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Wetland
60,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
61,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
62,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
63,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Wetland
64,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
65,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
66,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,NULL
67,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
68,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Wetland
69,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
70,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
71,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Wetland
72,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
73,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
74,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
75,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Cropland
76,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Wetland
77,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Built-up
78,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
79,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
80,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
81,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
82,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
83,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Wetland
84,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
85,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
86,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
87,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
88,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
89,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
90,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Water
91,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
92,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,NULL
93,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
94,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
95,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Wetland
96,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
97,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Wetland
98,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
99,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
100,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
101,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Wetland
102,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
103,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
104,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Wetland
105,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
106,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Grassland
107,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
108,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
109,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Wetland
110,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Grassland
111,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Wetland
112,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Wetland
113,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
114,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Wetland
115,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,NULL
116,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Wetland
117,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Forest
118,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Wetland
119,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
120,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
121,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
122,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Wetland
123,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Wetland
124,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Wetland
125,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Wetland
126,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Wetland
127,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,NULL,Wetland
128,NULL,NULL,NULL,Water,Non_Wetland,Water,Grassland,Wetland
129,NULL,NULL,NULL,Water,Non_Wetland,Water,Grassland,Bareland
130,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Water
131,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
132,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
133,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
134,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
135,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
136,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
137,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
138,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
139,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
140,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Wetland
141,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
142,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
143,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
144,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
145,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Wetland
146,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Bareland
147,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Built-up
148,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
149,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,NULL
150,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
151,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Wetland
152,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
153,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,NULL
154,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
155,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
156,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
157,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
158,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Wetland
159,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
160,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
161,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
162,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
163,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
164,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
165,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
166,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Wetland
167,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Bareland
168,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
169,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,NULL
170,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
171,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Wetland
172,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Forest
173,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Wetland
174,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
175,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
176,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
177,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Wetland
178,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Built-up
179,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
180,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
181,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
182,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Wetland
183,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
184,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
185,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
186,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
187,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
188,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
189,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
190,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
191,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
192,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
193,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
194,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
195,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Wetland
196,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
197,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Wetland
198,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
199,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Grassland
200,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
201,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Forest
202,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,NULL
203,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
204,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Wetland
205,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
206,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,NULL
207,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
208,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Wetland
209,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Forest
210,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
211,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
212,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Wetland
213,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
214,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
215,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
216,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
217,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
218,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
219,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,NULL
220,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
221,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Bareland
222,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Forest
223,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,NULL
224,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
225,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Bareland
226,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Forest
227,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,NULL
228,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
229,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Wetland
230,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
231,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
232,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
233,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,NULL
234,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
235,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
236,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
237,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Grassland
238,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Bareland
239,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,NULL
240,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Grassland
241,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Wetland
242,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Forest
243,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Shrubland,Grassland
244,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
245,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Wetland
246,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Forest
247,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Grassland
248,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Forest
249,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Shrubland,NULL
250,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Shrubland,Wetland
251,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Shrubland,Forest
252,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
253,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Wetland
254,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
255,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Wetland,Grassland
256,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Wetland,Forest
257,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,NULL
258,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Grassland
259,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
260,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
261,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
262,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Grassland,Grassland
263,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Wetland,Grassland
264,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Forest,Grassland
265,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,NULL,Wetland
266,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,Shrubland,Wetland
267,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,Grassland,NULL
268,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
269,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,Grassland,Wetland
270,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,Wetland,Wetland
271,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,Wetland,Forest
272,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,NULL,Grassland
273,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,NULL,Wetland
274,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
275,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Shrubland,Wetland
276,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Shrubland,Forest
277,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,NULL
278,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
279,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
280,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Forest
281,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
282,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Wetland
283,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,NULL,Wetland
284,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
285,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Wetland
286,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Forest
287,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
288,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
289,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,NULL,Wetland
290,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Grassland,Grassland
291,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Grassland,Wetland
292,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Wetland,Wetland
293,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest,NULL,Wetland
294,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
295,NULL,NULL,Shrubland,Water,Non_Wetland,Shrubland,Grassland,Wetland
296,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,NULL,Wetland
297,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Grassland
298,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Wetland
299,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Grassland,Wetland
300,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Bareland,Grassland
301,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Grassland,Grassland
302,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Grassland,Wetland
303,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Wetland,Wetland
304,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
305,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
306,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
307,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
308,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Shrubland,NULL
309,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Shrubland,Grassland
310,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Shrubland,Wetland
311,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Shrubland,Forest
312,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,NULL
313,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Grassland
314,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Wetland
315,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Built-up
316,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Forest
317,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,NULL
318,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,Grassland
319,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,Forest
320,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Forest,NULL
