Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22MGA_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MGA_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MGA_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MGA_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MGA_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MGA_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MGA_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22MGA_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Forest
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Bareland
4,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Built-up
5,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
6,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
7,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
8,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
9,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
10,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
11,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
12,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
13,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
14,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
15,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Bareland
16,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
17,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
18,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
19,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
20,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
21,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
22,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Bareland
23,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
24,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
25,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
26,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Forest
27,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
28,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
29,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
30,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
31,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
32,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
33,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
34,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
35,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
36,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
37,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
38,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
39,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
40,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
41,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Bareland
42,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
43,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
44,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
45,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Built-up
46,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
47,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Bareland
48,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
49,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
50,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
51,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
52,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
