Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_24LUM_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24LUM_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24LUM_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_24LUM_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24LUM_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24LUM_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LUM_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_24LUM_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,NULL
30,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Grassland
31,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
32,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,NULL
33,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
34,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Cropland
35,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Wetland
36,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Built-up
37,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
38,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
39,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
40,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
41,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
42,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
43,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
44,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
45,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
46,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
47,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Cropland
48,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Bareland
49,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Built-up
50,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
51,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,NULL
52,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Grassland
53,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Forest
54,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,NULL
55,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Forest
56,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
57,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
58,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Wetland
59,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Built-up
60,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
61,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
62,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
63,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
64,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Wetland
65,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Bareland
66,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Built-up
67,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
68,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
69,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
70,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
71,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Wetland
72,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Bareland
73,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Built-up
74,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Water
75,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
76,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
77,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
78,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
79,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
80,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
81,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
82,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Water
83,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
84,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
85,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
86,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Bareland
87,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,NULL
88,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
89,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Cropland
90,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Built-up
91,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Forest
92,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,NULL
93,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
94,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Cropland
95,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
96,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
97,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
98,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Bareland
99,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
100,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
101,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
102,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
103,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
104,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
105,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
106,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
107,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
108,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
109,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Cropland
110,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Wetland
111,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Bareland
112,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Built-up
113,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
114,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
115,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
116,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
117,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
118,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
119,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
120,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
121,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
122,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
123,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
124,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Built-up
125,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,NULL
126,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
127,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Bareland
128,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
129,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,NULL
130,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
131,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Built-up
132,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,NULL
133,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,NULL
134,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
135,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Bareland
136,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Forest
137,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,NULL
138,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
139,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Cropland
140,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
141,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Forest
142,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Forest,Forest
143,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Grassland
144,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
145,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,NULL
146,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
147,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
148,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
149,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
150,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
151,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
152,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
153,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Cropland
154,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
155,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
156,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
157,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
158,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,NULL
159,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
160,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Cropland
161,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Bareland
162,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,NULL
163,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Grassland
164,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,NULL
165,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
166,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Bareland
167,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Forest
168,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Grassland
169,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Forest,Grassland
170,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,NULL
171,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Grassland
172,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Wetland
173,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
174,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
175,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Forest
176,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,NULL
177,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
178,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Wetland
179,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,NULL
180,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
181,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Cropland
182,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Bareland
183,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,NULL
184,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
185,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Bareland
186,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,NULL
187,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
188,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Cropland
189,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
190,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Bareland
191,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Built-up,Grassland
192,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Grassland
193,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Bareland
194,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,Grassland
195,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,Wetland
196,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
197,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
198,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Grassland
199,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Forest,Grassland
200,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Shrubland,Grassland
201,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,NULL,Grassland
202,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Grassland,Grassland
203,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,NULL
204,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
205,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Bareland
206,NULL,NULL,NULL,Water,Non_Wetland,NULL,Shrubland,Grassland
207,NULL,NULL,NULL,Water,Non_Wetland,NULL,Shrubland,Bareland
208,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,NULL
209,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Grassland
210,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Bareland
211,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Water
212,NULL,NULL,NULL,Water,Non_Wetland,NULL,Water,Grassland
213,NULL,NULL,NULL,Water,Non_Wetland,NULL,Water,Wetland
214,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,NULL,Grassland
215,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,NULL,Cropland
216,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,NULL,Wetland
217,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Grassland
218,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Grassland,Grassland
219,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Bareland,Water
220,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,Grassland
221,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
222,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Cropland
223,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Bareland
224,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Water
225,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Bareland,Grassland
226,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Water,Grassland
227,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Forest,Grassland
228,NULL,NULL,NULL,Water,Non_Wetland,Bareland,NULL,Grassland
229,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Grassland,Grassland
230,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Grassland,Bareland
231,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Grassland
232,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Wetland
233,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Bareland
234,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Water
235,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Forest,Grassland
236,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
237,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
238,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
239,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
240,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
241,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
242,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
243,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
244,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
245,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
246,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Cropland
247,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Bareland
248,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Built-up
249,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Water
250,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
251,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
252,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
253,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
254,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Wetland
255,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Bareland
256,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Built-up
257,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Water
258,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
259,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,NULL
260,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
261,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,NULL
262,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Grassland
263,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Built-up
264,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Forest
265,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Grassland
266,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Bareland
267,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,NULL
268,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
269,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
270,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
271,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
272,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Cropland
273,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Bareland
274,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Built-up
275,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
276,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
277,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
278,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
279,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
280,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
281,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
282,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
283,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
284,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
285,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Cropland
286,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Bareland
287,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Built-up
288,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
289,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,NULL
290,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,Grassland
291,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,Forest
292,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,NULL
293,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Grassland
294,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Forest
295,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,NULL
296,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
297,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Wetland
298,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
299,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
300,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
301,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
302,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Wetland
303,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Bareland
304,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Built-up
305,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
306,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
307,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
308,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Cropland
309,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Wetland
310,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Bareland
311,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Built-up
312,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Water
313,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
314,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
315,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
316,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
317,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
318,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
319,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
320,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Water
321,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
322,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,NULL
323,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
324,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,NULL
325,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
