Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_18MTB_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MTB_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MTB_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MTB_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MTB_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18MTB_M_R
0,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
1,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
2,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
3,NULL,NULL,Shrubland,NULL,Non_Wetland,Water
4,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
5,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
6,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
7,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
8,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
9,NULL,NULL,Wetland,NULL,Wetland,Forest
10,NULL,NULL,Wetland,Water,Wetland,Water
11,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
12,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
13,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
14,NULL,NULL,Forest,NULL,Non_Wetland,Built-up
15,NULL,NULL,Forest,NULL,Non_Wetland,Water
16,NULL,NULL,Forest,NULL,Non_Wetland,Forest
17,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
18,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up
19,NULL,Cropland,Forest,NULL,Non_Wetland,Forest
20,NULL,Bareland,NULL,NULL,Non_Wetland,Grassland
21,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
22,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
23,NULL,Built-up,Shrubland,NULL,Non_Wetland,Water
24,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest
25,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Forest
26,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
