Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_23LLE_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23LLE_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23LLE_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_23LLE_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23LLE_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23LLE_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LLE_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_23LLE_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Forest
30,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Grassland
31,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
32,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,NULL
33,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
34,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Cropland
35,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Bareland
36,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Built-up
37,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
38,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
39,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
40,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
41,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
42,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
43,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
44,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Water
45,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
46,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
47,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
48,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Cropland
49,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Wetland
50,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Bareland
51,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Built-up
52,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Water
53,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
54,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,NULL
55,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
56,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Wetland
57,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Forest
58,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,NULL
59,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
60,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,NULL
61,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Grassland
62,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Forest
63,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
64,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
65,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
66,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
67,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
68,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
69,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Bareland
70,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Built-up
71,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
72,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
73,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
74,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
75,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Bareland
76,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Built-up
77,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
78,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
79,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
80,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
81,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
82,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
83,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
84,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Water
85,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
86,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
87,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
88,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Bareland
89,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
90,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
91,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
92,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Bareland
93,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Built-up
94,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
95,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,NULL
96,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
97,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Built-up
98,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
99,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Cropland
100,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Water
101,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Forest
102,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
103,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
104,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Bareland
105,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
106,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,NULL
107,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
108,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
109,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Bareland
110,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
111,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,NULL
112,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Grassland
113,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Bareland
114,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,NULL
115,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
116,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
117,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
118,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Grassland
119,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Forest
120,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
121,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,NULL
122,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
123,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Wetland
124,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Water
125,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
126,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
127,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
128,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Cropland
129,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
130,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
131,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
132,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
133,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Water
134,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
135,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Grassland
136,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Wetland
137,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Water
138,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
139,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
140,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
141,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
142,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
143,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
144,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
145,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
146,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
147,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
148,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
149,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Bareland
150,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Built-up
151,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
152,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
153,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
154,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Wetland
155,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
156,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
157,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Water
158,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
159,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,NULL
160,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
161,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Wetland
162,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Bareland
163,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Water
164,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
165,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
166,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
167,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
168,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
169,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
170,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
171,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
172,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Wetland
173,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Bareland
174,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Forest
175,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,NULL
176,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
177,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Bareland
178,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
179,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
180,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,NULL
181,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
182,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Cropland
183,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,NULL
184,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
185,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Bareland
186,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
187,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,NULL
188,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
189,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Bareland
190,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Water
191,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,NULL
192,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
193,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
194,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
195,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
196,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
197,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
198,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
199,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
200,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,NULL
201,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Grassland
202,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
203,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
204,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
205,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Grassland
206,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Wetland
207,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,NULL
208,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
209,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Wetland
210,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Forest
211,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Grassland
212,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Wetland
213,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
214,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
215,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Forest
216,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,NULL
217,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
218,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Wetland
219,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,NULL
220,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,NULL
221,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
222,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,NULL
223,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
224,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Cropland
225,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Forest
226,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
227,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Bareland
228,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Grassland
229,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Cropland
230,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Grassland
231,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,NULL
232,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Water
233,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,NULL
234,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,Grassland
235,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,Wetland
236,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
237,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
238,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
239,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Wetland
240,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Bareland
241,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Grassland
242,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Wetland
243,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Bareland
244,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Forest
245,NULL,NULL,NULL,Water,Non_Wetland,NULL,Shrubland,Wetland
246,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Grassland
247,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Forest
248,NULL,NULL,NULL,Water,Non_Wetland,NULL,Water,Wetland
249,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,NULL,Grassland
250,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,NULL,Forest
251,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,NULL
252,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Forest
253,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Water,Grassland
254,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Water,Forest
255,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,Grassland
256,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,Forest
257,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
258,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Cropland
259,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Water,Grassland
260,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Grassland
261,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Built-up
262,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,NULL
263,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Wetland
264,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Water
265,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
266,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
267,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
268,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
269,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
270,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
271,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
272,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
273,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
274,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
275,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Cropland
276,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Wetland
277,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Bareland
278,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Built-up
279,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
280,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
281,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
282,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
283,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Wetland
284,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Bareland
285,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Built-up
286,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Water
287,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
288,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,NULL
289,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
290,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Bareland
291,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
292,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,NULL
293,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
294,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Bareland
295,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Built-up
296,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Forest
297,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,NULL
298,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Grassland
299,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Bareland
300,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Built-up
301,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Grassland
302,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Cropland
303,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Wetland
304,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Bareland
305,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,NULL
306,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
307,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Bareland
308,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
309,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
310,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
311,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Cropland
312,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Wetland
313,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Bareland
314,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Built-up
315,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
316,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
317,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
318,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
319,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
320,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
321,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
322,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Water
323,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
324,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
325,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
326,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Cropland
327,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Wetland
328,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Bareland
