Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20KNA_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20KNA_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20KNA_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20KNA_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20KNA_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20KNA_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20KNA_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20KNA_M_R
29,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
30,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
31,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
32,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,NULL
33,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
34,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Cropland
35,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
36,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Water
37,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
38,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
39,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
40,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
41,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
42,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
43,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Water
44,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
45,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,NULL
46,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
47,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Cropland
48,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
49,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Water
50,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
51,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,NULL
52,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
53,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Cropland
54,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Bareland
55,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Water
56,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Forest
57,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
58,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
59,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
60,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
61,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
62,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
63,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Water
64,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
65,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,NULL
66,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
67,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Cropland
68,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Bareland
69,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Water
70,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
71,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,NULL
72,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
73,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Cropland
74,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Bareland
75,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Water
76,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Forest
77,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
78,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
79,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Cropland
80,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Bareland
81,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Built-up
82,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
83,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
84,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,NULL
85,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
86,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Cropland
87,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
88,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
89,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
90,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
91,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,NULL
92,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
93,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Cropland
94,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Bareland
95,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Water
96,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
97,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,NULL
98,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
99,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Bareland
100,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Built-up
101,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Water
102,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Forest
103,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL,NULL,NULL
104,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL,NULL,Grassland
105,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL,NULL,Bareland
106,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL,NULL,Forest
107,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,NULL,NULL,Water
108,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,NULL,NULL,Forest
109,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
110,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
111,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
112,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
113,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
114,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Water
115,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
116,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,NULL
117,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
118,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Cropland
119,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
120,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Built-up
121,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Water
122,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
123,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,NULL
124,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
125,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Cropland
126,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
127,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Water
128,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Forest
129,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
130,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
131,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
132,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
133,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
134,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Water
135,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
136,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,NULL
137,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
138,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Cropland
139,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Bareland
140,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Built-up
141,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Water
142,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Forest
143,NULL,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Grassland
144,NULL,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Cropland
145,NULL,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Bareland
146,NULL,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Water
147,NULL,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Forest
148,NULL,NULL,Water,NULL,Water,NULL,NULL,NULL
149,NULL,NULL,Water,NULL,Water,NULL,NULL,Grassland
150,NULL,NULL,Water,NULL,Water,NULL,NULL,Cropland
151,NULL,NULL,Water,NULL,Water,NULL,NULL,Bareland
152,NULL,NULL,Water,NULL,Water,NULL,NULL,Water
153,NULL,NULL,Water,NULL,Water,NULL,NULL,Forest
154,NULL,NULL,Water,Non_Water,Water,NULL,NULL,NULL
155,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
156,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Cropland
157,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Bareland
158,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Water
159,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Forest
160,NULL,NULL,Water,Water,Water,NULL,NULL,NULL
161,NULL,NULL,Water,Water,Water,NULL,NULL,Grassland
162,NULL,NULL,Water,Water,Water,NULL,NULL,Cropland
163,NULL,NULL,Water,Water,Water,NULL,NULL,Bareland
164,NULL,NULL,Water,Water,Water,NULL,NULL,Water
165,NULL,NULL,Water,Water,Water,NULL,NULL,Forest
166,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
167,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
168,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
169,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
170,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
171,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
172,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Water
173,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
174,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,NULL
175,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
176,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Cropland
177,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Bareland
178,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
179,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
180,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,NULL
181,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
182,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Cropland
183,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Bareland
184,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Water
185,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Forest
186,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,NULL
187,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
188,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
189,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
190,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
191,NULL,Cropland,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
192,NULL,Cropland,NULL,Water,Non_Wetland,NULL,NULL,Grassland
193,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
194,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
195,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
196,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
197,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
198,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,NULL
199,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
200,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
201,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
202,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
203,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
204,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
205,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
206,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
207,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
208,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
209,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
210,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
211,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
212,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,NULL
213,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
214,NULL,Cropland,Cropland,Water,Non_Wetland,NULL,NULL,NULL
215,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Forest
216,NULL,Cropland,Wetland,Non_Water,Wetland,NULL,NULL,NULL
217,NULL,Cropland,Wetland,Non_Water,Wetland,NULL,NULL,Forest
218,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,NULL
219,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
220,NULL,Cropland,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL,NULL,Cropland
221,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
222,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
223,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
224,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
225,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
226,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
227,NULL,Cropland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
228,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
229,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
230,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
231,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
232,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
233,NULL,Cropland,Water,NULL,Water,NULL,NULL,Grassland
234,NULL,Cropland,Water,Non_Water,Water,NULL,NULL,Forest
235,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,NULL
236,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
237,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
238,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
239,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
240,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
241,NULL,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,NULL
242,NULL,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
243,NULL,Wetland,NULL,Water,Non_Wetland,NULL,NULL,Water
244,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
245,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
246,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
247,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
248,NULL,Wetland,Grassland,Water,Non_Wetland,NULL,NULL,Water
249,NULL,Wetland,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
250,NULL,Wetland,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
251,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Water
252,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
253,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Forest
254,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Bareland
255,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Water
256,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Forest
257,NULL,Wetland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
258,NULL,Wetland,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
259,NULL,Wetland,Bareland,Water,Non_Wetland,NULL,NULL,Cropland
260,NULL,Wetland,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
261,NULL,Wetland,Bareland,Water,Non_Wetland,NULL,NULL,Water
262,NULL,Wetland,Bareland,Water,Non_Wetland,NULL,NULL,Forest
263,NULL,Wetland,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
264,NULL,Wetland,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
265,NULL,Wetland,Water,NULL,Water,NULL,NULL,Forest
266,NULL,Wetland,Water,Non_Water,Water,NULL,NULL,Water
267,NULL,Wetland,Water,Water,Water,NULL,NULL,Cropland
268,NULL,Wetland,Water,Water,Water,NULL,NULL,Water
269,NULL,Wetland,Water,Water,Water,NULL,NULL,Forest
270,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
271,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
272,NULL,Bareland,Wetland,NULL,Wetland,NULL,NULL,Bareland
273,NULL,Bareland,Wetland,NULL,Wetland,NULL,NULL,Water
274,NULL,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
275,NULL,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Water
276,NULL,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
277,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
278,NULL,Bareland,Water,Non_Water,Water,NULL,NULL,Bareland
279,NULL,Bareland,Water,Non_Water,Water,NULL,NULL,Forest
280,NULL,Bareland,Water,Water,Water,NULL,NULL,Water
281,NULL,Bareland,Forest,Water,Non_Wetland,NULL,NULL,Grassland
282,NULL,Bareland,Forest,Water,Non_Wetland,NULL,NULL,Cropland
283,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,NULL
284,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
285,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
286,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
287,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Water
288,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Forest
289,NULL,Built-up,NULL,Non_Water,Non_Wetland,NULL,NULL,NULL
290,NULL,Built-up,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
291,NULL,Built-up,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
292,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
293,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
294,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
295,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
296,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
297,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
298,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
299,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
300,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
301,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
302,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
303,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
304,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
305,NULL,Built-up,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
306,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
307,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
308,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
309,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
310,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
311,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
312,NULL,Built-up,Cropland,Non_Water,Non_Wetland,NULL,NULL,NULL
313,NULL,Built-up,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
314,NULL,Built-up,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
315,NULL,Built-up,Cropland,Water,Non_Wetland,NULL,NULL,Forest
316,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,NULL
317,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Forest
318,NULL,Built-up,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
319,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,NULL
320,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
321,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Bareland
322,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Built-up
323,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Forest
324,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
325,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
326,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
327,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
328,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
329,NULL,Built-up,Bareland,Non_Water,Non_Wetland,NULL,NULL,NULL
330,NULL,Built-up,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
331,NULL,Built-up,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
332,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
333,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
334,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
335,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
336,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Water
337,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
