Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21LYK_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LYK_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LYK_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LYK_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LYK_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LYK_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LYK_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21LYK_M_R
24,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
25,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
26,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
27,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
28,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
29,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
30,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
31,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
32,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
33,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
34,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
35,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
36,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
37,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
38,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
39,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
40,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Wetland
41,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
42,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
43,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
44,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Cropland
45,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Bareland
46,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
47,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
48,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
49,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
50,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
51,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
52,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
53,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
54,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Bareland
55,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
56,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,NULL
57,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Grassland
58,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Cropland
59,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Forest
60,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,NULL
61,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
62,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
63,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
64,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Bareland,Grassland
65,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Bareland,Cropland
66,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Grassland
67,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Forest
68,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
69,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,NULL
70,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
71,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
72,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
73,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
74,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
75,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
76,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
77,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
78,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Grassland
79,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Forest
80,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
81,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
82,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
83,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
84,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
85,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
86,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
87,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
88,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Cropland
89,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Bareland
90,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Built-up
91,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
92,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
93,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
94,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
95,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
96,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
97,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
98,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
99,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
100,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
101,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
102,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Cropland
103,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
104,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
105,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
106,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
107,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Forest
108,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
109,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Cropland
110,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Built-up
111,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
112,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
113,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Forest
114,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
115,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Wetland
116,NULL,NULL,NULL,NULL,Non_Wetland,Water,Bareland,Forest
117,NULL,NULL,NULL,NULL,Non_Wetland,Water,Forest,Forest
118,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
119,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
120,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
121,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
122,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
123,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Forest
124,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
125,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,Grassland
126,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,NULL
127,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
128,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Forest
129,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,NULL
130,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
131,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Forest
132,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
133,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
134,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,Grassland
135,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
136,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Wetland,Forest
137,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
138,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
139,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Water
140,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Grassland,Grassland
141,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Grassland,Forest
142,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Wetland,Forest
143,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
144,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Bareland,Forest
145,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Water,Wetland
146,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Grassland,Grassland
147,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Grassland
148,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Cropland
149,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Forest
150,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
151,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
152,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
153,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
154,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Cropland
155,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
156,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
157,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
158,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
159,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
160,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
161,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
162,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
163,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
164,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Cropland
165,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Built-up
166,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
167,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,NULL
168,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
169,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Forest
170,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,NULL
171,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
172,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Forest
173,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Bareland
174,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,NULL
175,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
176,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Built-up
177,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
178,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
179,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
180,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
181,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Bareland
182,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Built-up
183,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
184,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
185,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
186,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Cropland
187,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Bareland
188,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Built-up
189,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
190,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
191,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
192,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
193,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
194,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
195,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
196,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Water
197,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
198,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
199,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
200,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
201,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,NULL
202,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
203,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Bareland
204,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Built-up
205,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
206,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
207,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,NULL
208,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
209,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Forest
210,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
211,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
212,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Cropland
213,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
214,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,NULL
215,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Grassland
216,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Cropland
217,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Bareland
218,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Built-up
219,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Forest
220,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,NULL
221,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Grassland
222,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Cropland
223,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Built-up
224,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Forest
225,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,NULL
226,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
227,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Cropland
228,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Bareland
229,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Built-up
230,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Forest
231,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Bareland,Grassland
232,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Built-up,Grassland
233,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Grassland
234,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Forest
235,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
236,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Cropland
237,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
238,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,NULL
239,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
240,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Built-up
241,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Forest
242,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
243,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
244,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Cropland
245,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Built-up
246,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
247,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
248,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
249,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
250,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
251,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,NULL
252,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
253,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Forest
254,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,NULL
255,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
256,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
257,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,NULL
258,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
259,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Cropland
260,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Bareland
261,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Built-up
262,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Forest
263,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,NULL
264,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
265,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Cropland
266,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Bareland
267,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Built-up
268,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Forest
269,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,NULL
270,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
271,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Cropland
272,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
273,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
274,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Water
275,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
276,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
277,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Bareland
278,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Built-up
279,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Forest
280,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,NULL
281,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
282,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
283,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Built-up
284,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Water
285,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
286,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Grassland
287,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Built-up
288,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Forest
289,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,NULL
290,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Grassland
291,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Built-up
292,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Forest
293,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,NULL
294,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
295,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Cropland
296,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Bareland
297,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Built-up
298,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
299,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,Grassland
300,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,Cropland
301,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Grassland
302,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Cropland
303,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Built-up
304,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Grassland
305,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
306,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Cropland
307,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Built-up
308,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,NULL,Grassland
309,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Shrubland,Grassland
310,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
311,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Bareland,Grassland
312,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Bareland,Forest
313,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Forest,Forest
314,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Shrubland,Grassland
315,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Shrubland,Forest
316,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
317,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
318,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Bareland,Grassland
319,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Bareland,Forest
320,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Grassland
