Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19KGQ_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19KGQ_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19KGQ_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19KGQ_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19KGQ_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19KGQ_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19KGQ_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19KGQ_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
3,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Water
4,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Bareland
5,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Bareland
6,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
7,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
8,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
9,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
10,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
11,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
12,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
13,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
14,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,NULL
15,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
16,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
17,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Water
18,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
19,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
20,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
21,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
22,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
23,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
24,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
25,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
26,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
27,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Bareland
28,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Bareland
