Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_23LQD_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23LQD_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23LQD_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_23LQD_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23LQD_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23LQD_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LQD_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_23LQD_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Grassland
30,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Built-up
31,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Grassland
32,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Bareland
33,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Built-up
34,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Forest
35,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,NULL
36,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Grassland
37,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Bareland
38,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
39,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,NULL
40,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
41,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Cropland
42,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Wetland
43,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Bareland
44,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Built-up
45,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
46,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
47,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
48,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
49,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
50,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
51,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
52,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
53,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
54,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
55,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Cropland
56,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Wetland
57,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Bareland
58,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Built-up
59,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
60,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,NULL
61,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
62,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Forest
63,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,NULL
64,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Grassland
65,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,NULL
66,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Grassland
67,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Built-up
68,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Forest
69,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
70,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
71,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Bareland
72,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Built-up
73,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
74,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
75,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
76,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
77,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Wetland
78,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Bareland
79,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Built-up
80,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
81,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
82,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
83,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
84,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Bareland
85,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Built-up
86,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Water
87,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
88,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
89,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
90,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
91,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
92,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
93,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
94,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
95,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
96,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
97,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Cropland
98,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Bareland
99,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Built-up
100,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,NULL
101,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
102,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Cropland
103,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Bareland
104,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Built-up
105,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Forest
106,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,NULL
107,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
108,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Bareland
109,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Forest
110,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
111,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
112,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
113,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Bareland
114,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
115,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
116,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
117,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
118,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Wetland
119,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
120,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
121,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Water
122,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
123,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
124,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
125,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Cropland
126,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Wetland
127,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Bareland
128,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Built-up
129,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
130,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
131,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
132,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
133,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Wetland
134,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
135,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
136,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
137,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
138,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
139,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
140,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
141,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
142,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,NULL
143,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
144,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Cropland
145,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Bareland
146,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Forest
147,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,NULL
148,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
149,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Bareland
150,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Water
151,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,NULL
152,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
153,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Bareland
154,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
155,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,NULL
156,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
157,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Bareland
158,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Built-up
159,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,NULL
160,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Grassland
161,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Cropland
162,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Forest
163,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,NULL
164,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
165,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Cropland
166,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Bareland
167,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Built-up
168,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Forest
169,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Grassland
170,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,NULL
171,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
172,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Cropland
173,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Bareland
174,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
175,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Forest
176,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Grassland
177,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Cropland
178,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Water
179,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Forest
180,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
181,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Grassland
182,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Bareland
183,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,NULL
184,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
185,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Cropland
186,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
187,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
188,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
189,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Cropland
190,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Bareland
191,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
192,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
193,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
194,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Cropland
195,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Bareland
196,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
197,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Bareland
198,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Water,Grassland
199,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Water,Bareland
200,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
201,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
202,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Cropland
203,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Bareland
204,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
205,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,NULL
206,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
207,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Wetland
208,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
209,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,NULL
210,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Grassland
211,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Bareland
212,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Forest
213,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,NULL
214,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
215,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Cropland
216,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Wetland
217,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Bareland
218,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Forest
219,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Grassland
220,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Grassland
221,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Wetland
222,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
223,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
224,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Forest
225,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,NULL
226,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
227,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,NULL
228,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Grassland
229,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Forest
230,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,NULL
231,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
232,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Cropland
233,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Wetland
234,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Forest
235,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,NULL
236,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
237,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Cropland
238,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Wetland
239,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Bareland
240,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,NULL
241,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
242,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Cropland
243,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
244,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Water
245,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Forest
246,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Built-up,Grassland
247,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Grassland
248,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Grassland
249,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Bareland
250,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Cropland
251,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Bareland
252,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Grassland
253,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Shrubland,Grassland
254,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Grassland
255,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Shrubland,Wetland
256,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Shrubland,Forest
257,NULL,NULL,NULL,Water,Non_Wetland,NULL,Shrubland,Grassland
258,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Grassland
259,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Cropland
260,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Wetland
261,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Water
262,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Grassland
263,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Wetland
264,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Water
265,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Forest
266,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Grassland,Grassland
267,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Grassland,Wetland
268,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Water,Water
269,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,Grassland
270,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Shrubland,NULL
271,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Shrubland,Grassland
272,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Shrubland,Wetland
273,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Shrubland,Bareland
274,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
275,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Cropland
276,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Wetland
277,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Bareland
278,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Water
279,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Built-up,Grassland
280,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Water,Grassland
281,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Water,Bareland
282,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Grassland,Grassland
283,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Grassland,Bareland
284,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Grassland,Water
285,NULL,NULL,NULL,Water,Non_Wetland,Built-up,Grassland,Grassland
286,NULL,NULL,NULL,Water,Non_Wetland,Water,NULL,Grassland
287,NULL,NULL,NULL,Water,Non_Wetland,Water,Grassland,Grassland
288,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
289,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
290,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
291,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
292,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
293,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
294,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
295,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
296,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
297,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
298,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Cropland
299,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Wetland
300,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Bareland
301,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Built-up
302,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Water
303,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
304,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
305,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
306,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
307,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Wetland
308,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Bareland
309,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Built-up
310,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Water
311,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
312,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,NULL
313,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
314,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Bareland
315,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Built-up
316,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Forest
317,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,NULL
318,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Grassland
319,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Forest
320,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,NULL
321,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Grassland
322,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Bareland
323,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Built-up
324,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,NULL
325,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
326,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Bareland
327,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
328,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
329,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
