Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22MHS_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MHS_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MHS_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MHS_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MHS_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MHS_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MHS_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22MHS_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,NULL
30,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Grassland
31,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,NULL
32,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Grassland
33,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Cropland
34,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Bareland
35,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
36,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,NULL
37,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
38,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Wetland
39,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Water
40,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
41,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
42,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
43,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
44,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
45,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
46,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
47,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
48,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
49,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Cropland
50,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Wetland
51,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Bareland
52,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Built-up
53,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
54,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,NULL
55,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
56,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Wetland
57,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Forest
58,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,NULL
59,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
60,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Cropland
61,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Bareland
62,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Forest
63,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,NULL
64,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Grassland
65,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Forest
66,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
67,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
68,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Cropland
69,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
70,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
71,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
72,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
73,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
74,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
75,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
76,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
77,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Bareland
78,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Built-up
79,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
80,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
81,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
82,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
83,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
84,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
85,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
86,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
87,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
88,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
89,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
90,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
91,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Cropland
92,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Built-up
93,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
94,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
95,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
96,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
97,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
98,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
99,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Bareland
100,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
101,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,NULL
102,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
103,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
104,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Bareland
105,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
106,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,NULL
107,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Grassland
108,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Cropland
109,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Forest
110,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,NULL
111,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
112,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
113,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Bareland
114,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
115,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Bareland,Grassland
116,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Bareland,Bareland
117,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Grassland
118,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Cropland
119,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Forest
120,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
121,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
122,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,NULL
123,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
124,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Wetland
125,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
126,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
127,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Wetland
128,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
129,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
130,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
131,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
132,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
133,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Grassland
134,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
135,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
136,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Wetland
137,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
138,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
139,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
140,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
141,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
142,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
143,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
144,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
145,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
146,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Bareland
147,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Built-up
148,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
149,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
150,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
151,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
152,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
153,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
154,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Water
155,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
156,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,NULL
157,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
158,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Wetland
159,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
160,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
161,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Cropland
162,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
163,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
164,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
165,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
166,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Built-up
167,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
168,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Bareland
169,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,NULL
170,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
171,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Cropland
172,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Bareland
173,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Built-up
174,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
175,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
176,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Built-up
177,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Forest
178,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Grassland
179,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Built-up
180,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
181,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Cropland
182,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Forest
183,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Grassland
184,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
185,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
186,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Forest
187,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Grassland
188,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Forest
189,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
190,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Bareland
191,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Grassland
192,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Grassland
193,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,NULL
194,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
195,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
196,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
197,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
198,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
199,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
200,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
201,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
202,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,NULL
203,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
204,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
205,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
206,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Cropland
207,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Bareland
208,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
209,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
210,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
211,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Forest
212,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,Wetland
213,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
214,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
215,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
216,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Grassland
217,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,NULL
218,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
219,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
220,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Forest
221,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Grassland
222,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Forest
223,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Wetland,Wetland
224,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Grassland
225,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Wetland,Wetland
226,NULL,NULL,NULL,Water,Non_Wetland,Wetland,NULL,NULL
227,NULL,NULL,NULL,Water,Non_Wetland,Wetland,NULL,Wetland
228,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Shrubland,Grassland
229,NULL,NULL,NULL,Water,Non_Wetland,Bareland,NULL,Grassland
230,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Wetland,Wetland
231,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Wetland,Water
232,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
233,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
234,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
235,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
236,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
237,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
238,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
239,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
240,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
241,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Cropland
242,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Wetland
243,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Bareland
244,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Built-up
245,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
246,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
247,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
248,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
249,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Wetland
250,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Bareland
251,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Built-up
252,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
253,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,NULL
254,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
255,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Wetland
256,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Bareland
257,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
258,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,NULL
259,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
260,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Cropland
261,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Bareland
262,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Built-up
263,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Forest
264,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Grassland
265,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Cropland
266,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Built-up
267,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Grassland
268,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,NULL
269,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
270,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Cropland
271,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Bareland
272,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
273,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
274,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
275,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Cropland
276,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Wetland
277,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Bareland
278,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Built-up
279,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Water
280,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
281,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
282,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
283,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
284,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
285,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
286,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
287,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Water
288,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
289,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
290,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
291,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Cropland
292,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Wetland
293,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Bareland
294,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Built-up
295,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Water
296,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
297,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,NULL
298,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
299,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Wetland
300,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Bareland
301,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Forest
302,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,NULL
303,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
304,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Cropland
305,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Bareland
306,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Built-up
307,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Forest
308,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,NULL
309,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,Grassland
310,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,Built-up
311,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,Forest
312,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,NULL
313,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Grassland
314,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Bareland
315,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Water
316,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Forest
317,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,NULL
318,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
319,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Cropland
320,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Bareland
321,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
322,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
323,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
324,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
325,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Bareland
