Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20MMC_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MMC_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MMC_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MMC_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MMC_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MMC_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MMC_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20MMC_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
1,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
2,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
3,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
4,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Water,Grassland
5,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Water,Wetland
6,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Wetland,Wetland
7,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Water,Grassland
8,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland,Forest
9,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
10,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
11,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Forest
12,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Wetland
13,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,Grassland
14,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Water,Grassland
15,NULL,NULL,Bareland,NULL,Non_Wetland,Water,Water,Grassland
16,NULL,NULL,Bareland,NULL,Non_Wetland,Water,Water,Wetland
17,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
18,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
19,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
20,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Water,Grassland
21,NULL,NULL,Forest,NULL,Non_Wetland,Water,Wetland,Grassland
22,NULL,NULL,Forest,NULL,Non_Wetland,Water,Water,Wetland
23,NULL,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
24,NULL,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
25,NULL,Wetland,Wetland,NULL,Wetland,Wetland,Water,Wetland
26,NULL,Bareland,Wetland,NULL,Wetland,NULL,Wetland,Forest
27,NULL,Water,Wetland,NULL,Wetland,NULL,Wetland,Forest
28,NULL,Water,Wetland,NULL,Wetland,NULL,Water,Forest
29,NULL,Water,Wetland,NULL,Wetland,Wetland,Wetland,Water
30,NULL,Water,Wetland,NULL,Wetland,Wetland,Water,Forest
31,NULL,Water,Wetland,NULL,Wetland,Water,Wetland,Forest
32,NULL,Water,Wetland,NULL,Wetland,Water,Water,Forest
33,NULL,Water,Wetland,Non_Water,Wetland,Wetland,Water,Forest
34,NULL,Water,Wetland,Non_Water,Wetland,Water,Wetland,Wetland
35,NULL,Water,Wetland,Non_Water,Wetland,Water,Wetland,Forest
36,NULL,Water,Wetland,Non_Water,Wetland,Water,Water,Wetland
37,NULL,Water,Wetland,Water,Wetland,NULL,Water,Grassland
38,NULL,Water,Wetland,Water,Wetland,NULL,Water,Forest
39,NULL,Water,Wetland,Water,Wetland,Water,Water,Water
40,NULL,Water,Bareland,NULL,Non_Wetland,Water,Water,Wetland
41,NULL,Water,Water,NULL,Water,Water,Wetland,Forest
42,NULL,Water,Water,Water,Water,Water,Water,Forest
43,NULL,Water,Forest,NULL,Non_Wetland,Water,Wetland,Grassland
44,NULL,Water,Forest,NULL,Non_Wetland,Water,Wetland,Wetland
45,NULL,Water,Forest,NULL,Non_Wetland,Water,Wetland,Forest
46,NULL,Water,Forest,NULL,Non_Wetland,Water,Water,Grassland
47,NULL,Water,Forest,NULL,Non_Wetland,Water,Water,Water
48,NULL,Water,Forest,NULL,Non_Wetland,Water,Water,Forest
49,NULL,Water,Forest,Water,Non_Wetland,Wetland,Wetland,Grassland
