Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_18MUD_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MUD_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MUD_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MUD_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MUD_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18MUD_M_R
0,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
1,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
2,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
3,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
4,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
5,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
6,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up
7,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
8,NULL,NULL,Wetland,NULL,Wetland,Grassland
9,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
10,NULL,NULL,Bareland,NULL,Non_Wetland,Built-up
11,NULL,NULL,Bareland,Non_Water,Non_Wetland,Built-up
12,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
13,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
14,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
15,NULL,NULL,Built-up,Non_Water,Non_Wetland,Built-up
16,NULL,NULL,Built-up,Water,Non_Wetland,Built-up
17,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
18,NULL,NULL,Forest,NULL,Non_Wetland,Built-up
19,NULL,NULL,Forest,NULL,Non_Wetland,Forest
20,NULL,Wetland,Wetland,NULL,Wetland,NULL
21,NULL,Bareland,Shrubland,NULL,Non_Wetland,Grassland
22,NULL,Bareland,Wetland,Water,Wetland,Water
23,NULL,Bareland,Built-up,NULL,Non_Wetland,Built-up
24,NULL,Bareland,Built-up,Non_Water,Non_Wetland,Built-up
25,NULL,Bareland,Built-up,Water,Non_Wetland,Built-up
26,NULL,Bareland,Forest,Non_Water,Non_Wetland,Built-up
27,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up
28,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
29,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
30,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest
31,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
32,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
33,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
34,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest
35,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
36,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up
