Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21MXV_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MXV_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MXV_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MXV_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MXV_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MXV_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MXV_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21MXV_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
2,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
3,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
4,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
5,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
6,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
7,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
8,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
9,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
10,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
11,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,NULL
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
14,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
15,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,NULL
16,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,NULL
17,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,NULL
18,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Forest,NULL
19,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,NULL
20,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Bareland,NULL
21,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,NULL
22,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,NULL
23,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,NULL
24,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,NULL
25,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,NULL
26,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,NULL
27,NULL,NULL,Wetland,NULL,Wetland,NULL,Forest,NULL
28,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,NULL
29,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,NULL
30,NULL,NULL,Wetland,NULL,Wetland,Grassland,Water,NULL
31,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,NULL
32,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,NULL
33,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,NULL
34,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,NULL
35,NULL,NULL,Wetland,NULL,Wetland,Water,Grassland,NULL
36,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,NULL
37,NULL,NULL,Wetland,NULL,Wetland,Water,Forest,NULL
38,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland,Forest,NULL
39,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,NULL
40,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Forest,NULL
41,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,NULL
42,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Forest,NULL
43,NULL,NULL,Bareland,NULL,Non_Wetland,Water,Forest,NULL
44,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,NULL
45,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Wetland,NULL
46,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Grassland,NULL
47,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Wetland,NULL
48,NULL,NULL,Water,NULL,Water,Grassland,Water,NULL
49,NULL,NULL,Water,NULL,Water,Wetland,Wetland,NULL
50,NULL,NULL,Water,NULL,Water,Water,Wetland,NULL
51,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Forest,NULL
52,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,NULL
53,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,NULL
54,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,NULL
55,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,NULL
56,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,NULL
57,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,NULL
58,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,NULL
59,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Bareland,NULL
60,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,NULL
61,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,NULL
62,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,NULL
63,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,NULL
64,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Bareland,NULL
65,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Forest,NULL
66,NULL,Wetland,Shrubland,NULL,Non_Wetland,Water,Wetland,NULL
67,NULL,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,NULL
