Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_23LQE_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23LQE_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23LQE_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_23LQE_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23LQE_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23LQE_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LQE_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_23LQE_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Bareland,Forest
30,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,NULL
31,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Grassland
32,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Bareland
33,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Built-up
34,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,NULL
35,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Grassland
36,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Bareland
37,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Built-up
38,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Forest
39,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,NULL
40,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Grassland
41,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Cropland
42,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Bareland
43,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Water
44,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
45,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,NULL
46,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
47,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Cropland
48,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Wetland
49,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Built-up
50,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Water
51,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
52,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
53,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
54,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
55,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
56,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
57,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
58,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Water
59,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
60,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
61,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
62,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Cropland
63,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Wetland
64,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Bareland
65,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Built-up
66,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Water
67,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
68,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,NULL
69,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
70,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Bareland
71,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Forest
72,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,NULL
73,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Grassland
74,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Built-up
75,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Forest
76,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,NULL
77,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Grassland
78,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Cropland
79,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Wetland
80,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Bareland
81,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Built-up
82,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
83,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
84,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
85,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
86,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
87,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
88,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Wetland
89,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Bareland
90,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Built-up
91,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Water
92,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
93,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
94,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
95,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
96,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Wetland
97,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Bareland
98,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Built-up
99,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Water
100,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
101,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
102,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
103,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
104,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
105,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
106,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
107,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Water
108,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
109,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
110,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
111,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Cropland
112,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Wetland
113,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Bareland
114,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Built-up
115,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,NULL
116,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
117,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Cropland
118,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Bareland
119,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Built-up
120,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,NULL
121,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
122,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Cropland
123,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Wetland
124,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Bareland
125,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Built-up
126,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
127,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
128,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
129,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
130,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
131,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
132,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Wetland
133,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
134,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
135,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Water
136,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
137,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
138,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
139,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Cropland
140,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Bareland
141,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Built-up
142,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Water
143,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
144,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
145,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
146,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
147,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Wetland
148,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
149,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
150,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Water
151,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
152,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
153,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
154,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Cropland
155,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Wetland
156,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
157,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
158,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Water
159,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
160,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,NULL
161,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
162,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Cropland
163,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Bareland
164,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Built-up
165,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,NULL
166,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
167,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Cropland
168,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Wetland
169,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Bareland
170,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Water
171,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,NULL
172,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
173,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Cropland
174,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Bareland
175,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Built-up
176,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Forest
177,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,NULL
178,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Grassland
179,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Cropland
180,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Bareland
181,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Built-up
182,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,NULL
183,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
184,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Cropland
185,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Bareland
186,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Built-up
187,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Forest
188,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,NULL
189,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
190,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Cropland
191,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Bareland
192,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
193,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Forest
194,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,NULL
195,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Grassland
196,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Wetland
197,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Water
198,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,NULL
199,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Grassland
200,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Cropland
201,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Wetland
202,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Water
203,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Forest
204,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,NULL
205,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
206,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Cropland
207,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Wetland
208,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Bareland
209,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Water
210,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,NULL
211,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Grassland
212,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Water
213,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
214,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
215,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
216,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
217,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
218,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Wetland
219,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Water
220,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
221,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
222,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
223,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
224,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,NULL
225,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
226,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Cropland
227,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Wetland
228,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Water
229,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,NULL
230,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Grassland
231,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Cropland
232,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Wetland
233,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Forest
234,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,NULL
235,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
236,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Cropland
237,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Wetland
238,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Bareland
239,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Water
240,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Forest
241,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Bareland,Wetland
242,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Built-up,NULL
243,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,NULL
244,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Bareland
245,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,NULL
246,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Grassland
247,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Wetland
248,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Forest
249,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
250,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
251,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Cropland
252,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Wetland
253,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Forest
254,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,NULL
255,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
256,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Cropland
257,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Wetland
258,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Bareland
259,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Water
260,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Cropland
261,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,NULL
262,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
263,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Cropland
264,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Wetland
265,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Water
266,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,NULL
267,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
268,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Cropland
269,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Wetland
270,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,NULL
271,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
272,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Cropland
273,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
274,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Bareland
275,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Water
276,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Forest
277,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
278,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Cropland
279,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Wetland
280,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Bareland
281,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Water
282,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,NULL
283,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Grassland
284,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Cropland
285,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Bareland
286,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Water
287,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Bareland
288,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,Grassland
289,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,Wetland
290,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,NULL
291,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
292,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Cropland
293,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Wetland
294,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Bareland
295,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Forest
296,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,NULL
297,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
298,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Wetland
299,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
300,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,NULL
301,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Grassland
302,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Wetland
303,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Bareland
304,NULL,NULL,NULL,Non_Water,Non_Wetland,Built-up,Grassland,Grassland
305,NULL,NULL,NULL,Non_Water,Non_Wetland,Built-up,Built-up,Grassland
306,NULL,NULL,NULL,Non_Water,Non_Wetland,Built-up,Built-up,Bareland
307,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,NULL
308,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Grassland
309,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Cropland
310,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Wetland
311,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Shrubland,NULL
312,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Shrubland,Grassland
313,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Shrubland,Wetland
314,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Shrubland,Water
315,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Grassland
316,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Cropland
317,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Wetland
318,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Water
319,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Grassland
320,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Cropland
321,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,NULL,NULL
322,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,NULL,Grassland
323,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,NULL,Cropland
324,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,NULL,Wetland
325,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Shrubland,NULL
326,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Shrubland,Wetland
327,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Grassland,Cropland
328,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Grassland,Wetland
