Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_23LRF_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23LRF_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23LRF_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_23LRF_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23LRF_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23LRF_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LRF_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_23LRF_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,NULL
30,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Grassland
31,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Bareland
32,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Built-up
33,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,NULL
34,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Grassland
35,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
36,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,NULL
37,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
38,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Cropland
39,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Wetland
40,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Bareland
41,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Built-up
42,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
43,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
44,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
45,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
46,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
47,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
48,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
49,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Water
50,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
51,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
52,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
53,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Cropland
54,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Wetland
55,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Bareland
56,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Built-up
57,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
58,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,NULL
59,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
60,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Bareland
61,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Forest
62,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,NULL
63,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Grassland
64,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Forest
65,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,NULL
66,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Grassland
67,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Wetland
68,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Bareland
69,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Forest
70,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
71,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
72,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Wetland
73,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Bareland
74,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
75,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
76,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
77,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
78,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Bareland
79,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Built-up
80,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Water
81,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
82,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
83,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
84,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
85,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Wetland
86,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Bareland
87,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Built-up
88,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
89,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
90,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
91,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
92,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
93,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
94,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
95,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Water
96,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
97,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
98,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
99,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Bareland
100,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Built-up
101,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
102,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,NULL
103,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
104,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Cropland
105,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Bareland
106,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Built-up
107,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Forest
108,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,NULL
109,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
110,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Wetland
111,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Bareland
112,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Forest
113,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
114,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
115,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
116,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,NULL
117,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
118,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
119,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,NULL
120,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Grassland
121,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,NULL
122,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
123,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
124,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
125,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
126,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
127,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
128,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
129,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
130,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
131,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
132,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Bareland
133,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Built-up
134,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
135,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
136,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
137,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
138,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
139,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
140,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
141,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
142,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
143,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
144,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
145,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
146,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,NULL
147,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
148,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Cropland
149,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Bareland
150,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Built-up
151,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Forest
152,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,NULL
153,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
154,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Bareland
155,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Forest
156,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,NULL
157,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
158,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Bareland
159,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,NULL
160,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
161,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Bareland
162,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Built-up
163,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Forest
164,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,NULL
165,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Grassland
166,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,NULL
167,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
168,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Cropland
169,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Bareland
170,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Built-up
171,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Forest
172,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,NULL
173,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
174,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Cropland
175,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Bareland
176,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
177,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Forest
178,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,NULL
179,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Grassland
180,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Water
181,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Forest
182,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,NULL
183,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Grassland
184,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Bareland
185,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Forest
186,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,NULL
187,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
188,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Water
189,NULL,NULL,NULL,NULL,Non_Wetland,Water,Bareland,NULL
190,NULL,NULL,NULL,NULL,Non_Wetland,Water,Bareland,Grassland
191,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,NULL
192,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Grassland
193,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Bareland
194,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Forest
195,NULL,NULL,NULL,NULL,Non_Wetland,Water,Forest,Grassland
196,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
197,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
198,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
199,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
200,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
201,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
202,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
203,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
204,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
205,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
206,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
207,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Grassland
208,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Bareland,Grassland
209,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,NULL
210,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Grassland
211,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Forest
212,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
213,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
214,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Wetland
215,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Forest
216,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,NULL
217,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
218,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Bareland
219,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,NULL
220,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
221,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,NULL
222,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
223,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Cropland
224,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
225,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Forest,NULL
226,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,NULL
227,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,Bareland
228,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,NULL
229,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
230,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
231,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Forest,Grassland
232,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Forest,Wetland
233,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,NULL
234,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Grassland
235,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Bareland
236,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Shrubland,NULL
237,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Shrubland,Grassland
238,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,NULL
239,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Grassland
240,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,NULL
241,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Grassland
242,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Bareland
243,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,NULL
244,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
245,NULL,NULL,NULL,Water,Non_Wetland,NULL,Shrubland,NULL
246,NULL,NULL,NULL,Water,Non_Wetland,NULL,Shrubland,Grassland
247,NULL,NULL,NULL,Water,Non_Wetland,NULL,Shrubland,Water
248,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,NULL
249,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Grassland
250,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Wetland
251,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Bareland
252,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Water
253,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Grassland,Grassland
254,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Water,Grassland
255,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Water,Wetland
256,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Forest,Forest
257,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,NULL
258,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,Grassland
259,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Shrubland,Grassland
260,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
261,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Wetland
262,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Water,Grassland
263,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Water,Bareland
264,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Water,Water
265,NULL,NULL,NULL,Water,Non_Wetland,Bareland,NULL,Grassland
266,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Shrubland,Grassland
267,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Shrubland,Water
268,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Grassland,Wetland
269,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Forest,Grassland
270,NULL,NULL,NULL,Water,Non_Wetland,Water,NULL,NULL
271,NULL,NULL,NULL,Water,Non_Wetland,Water,NULL,Grassland
272,NULL,NULL,NULL,Water,Non_Wetland,Water,NULL,Wetland
273,NULL,NULL,NULL,Water,Non_Wetland,Water,Shrubland,NULL
274,NULL,NULL,NULL,Water,Non_Wetland,Water,Shrubland,Grassland
275,NULL,NULL,NULL,Water,Non_Wetland,Water,Shrubland,Wetland
276,NULL,NULL,NULL,Water,Non_Wetland,Water,Grassland,Grassland
277,NULL,NULL,NULL,Water,Non_Wetland,Water,Grassland,Wetland
278,NULL,NULL,NULL,Water,Non_Wetland,Water,Grassland,Water
279,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,NULL
280,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Grassland
281,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
282,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
283,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
284,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
285,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
286,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
287,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
288,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
289,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
290,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
291,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Cropland
292,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Wetland
293,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Bareland
294,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Built-up
295,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Water
296,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
297,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
298,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
299,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
300,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Bareland
301,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Built-up
302,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Water
303,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
304,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,NULL
305,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
306,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Bareland
307,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Forest
308,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,NULL
309,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Grassland
310,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Bareland
311,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Built-up
312,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,NULL
313,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Grassland
314,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Bareland
315,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Built-up
316,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Forest
317,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,NULL
318,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
319,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Bareland
320,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
321,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
322,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
323,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Cropland
324,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Wetland
325,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Bareland
326,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Built-up
327,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Water
328,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
329,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
330,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
