Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22KBC_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KBC_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KBC_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KBC_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KBC_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KBC_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KBC_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22KBC_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
30,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
31,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
32,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
33,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
34,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,NULL
35,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
36,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
37,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
38,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
39,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
40,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
41,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Wetland
42,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Water
43,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
44,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
45,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
46,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
47,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
48,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
49,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
50,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
51,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
52,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Water
53,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
54,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
55,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
56,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Wetland
57,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Water
58,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
59,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
60,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
61,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Cropland
62,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
63,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,NULL
64,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
65,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Wetland
66,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Water
67,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Forest
68,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
69,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
70,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
71,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Water
72,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
73,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,NULL
74,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
75,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Water
76,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
77,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,NULL
78,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
79,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
80,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
81,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Wetland
82,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
83,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
84,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
85,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
86,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Water
87,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
88,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,NULL
89,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Grassland
90,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Wetland
91,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,NULL
92,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Wetland
93,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
94,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
95,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Wetland
96,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
97,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
98,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
99,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
100,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
101,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Built-up
102,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
103,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
104,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
105,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,NULL
106,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
107,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Water
108,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
109,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
110,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
111,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Cropland
112,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
113,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
114,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Wetland
115,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,NULL
116,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
117,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
118,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,NULL
119,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
120,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
121,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
122,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
123,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
124,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
125,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Cropland
126,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
127,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,NULL
128,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Grassland
129,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Wetland
130,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
131,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Grassland
132,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Built-up,Forest
133,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
134,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
135,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Cropland
136,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
137,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
138,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Water
139,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Grassland
140,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
141,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
142,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Cropland
143,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Forest
144,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
145,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,NULL
146,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,NULL
147,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Grassland
148,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Wetland
149,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,NULL
150,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Grassland
151,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
152,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,NULL
153,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
154,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
155,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Water
156,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Forest
157,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Bareland,NULL
158,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Bareland,Wetland
159,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,NULL
160,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Grassland
161,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Wetland
162,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Forest
163,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,NULL
164,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Wetland
165,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Grassland,Grassland
166,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Wetland,Wetland
167,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Water,Grassland
168,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Water
169,NULL,NULL,NULL,Water,Non_Wetland,Bareland,NULL,Water
170,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Grassland,Water
171,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Wetland
172,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
173,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
174,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
175,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
176,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
177,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
178,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
179,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
180,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
181,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Cropland
182,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Wetland
183,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
184,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
185,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
186,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
187,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Wetland
188,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Bareland
189,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Water
190,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
191,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,NULL
192,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
193,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Cropland
194,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Wetland
195,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Bareland
196,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Built-up
197,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
198,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,NULL
199,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
200,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Grassland
201,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,NULL
202,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Grassland
203,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Water
204,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Forest
205,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,NULL
206,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
207,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
208,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
209,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
210,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
211,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
212,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
213,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
214,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
215,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
216,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
217,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,NULL
218,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
219,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Forest
220,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,NULL
221,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
222,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
223,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
224,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
225,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
226,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Wetland
227,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Bareland
228,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Built-up
229,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Water
230,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
231,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
232,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
233,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Cropland
234,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Wetland
235,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Bareland
236,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
237,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
238,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
239,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
240,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
241,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
242,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
243,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Water
244,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
245,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
246,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
247,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Cropland
248,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
249,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Bareland
250,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Water
251,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
252,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,NULL
253,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
254,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Bareland
255,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
256,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
257,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,NULL
258,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
259,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Wetland
260,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Water
261,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Forest
262,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
263,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
264,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Cropland
265,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Wetland
266,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Bareland
267,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
268,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,NULL
269,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
270,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Wetland
271,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
272,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,NULL
273,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
274,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Wetland
275,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Forest
276,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
277,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
278,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Cropland
279,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Wetland
280,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Water
281,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
282,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
283,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
284,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Cropland
285,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
286,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Water
287,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
288,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,NULL
289,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
290,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Wetland
291,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Forest
292,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Built-up,Grassland
293,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,NULL
294,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Grassland
295,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Wetland
296,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Forest
297,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,NULL
298,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
299,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
300,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,NULL
301,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
302,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Cropland
303,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Built-up
304,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Water
305,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Forest
306,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,NULL
307,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
308,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Forest
309,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,NULL
310,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
311,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
312,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
313,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Water
314,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
315,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,NULL
316,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
317,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Bareland
318,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Water
319,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Forest
320,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,NULL
321,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
322,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Cropland
323,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
324,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Built-up
325,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
