Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20MLB_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MLB_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MLB_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MLB_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MLB_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MLB_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MLB_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20MLB_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Forest
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
2,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
3,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
4,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
5,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
6,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
7,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
8,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
9,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
10,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
11,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
12,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
13,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
14,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
15,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
16,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
17,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
18,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
19,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
20,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
21,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Grassland
22,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Forest
23,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
24,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
25,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
26,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
27,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
28,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
29,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
30,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
31,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
32,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
33,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
34,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
35,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Forest
36,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Wetland,Forest
37,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
38,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Forest,Grassland
39,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Forest
40,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Grassland
41,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Wetland
42,NULL,NULL,NULL,NULL,Non_Wetland,Water,Bareland,Grassland
43,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
44,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
45,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Grassland
46,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
47,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
48,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
49,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
50,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Grassland
51,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
52,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Forest
53,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Grassland
54,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
55,NULL,NULL,NULL,Non_Water,Non_Wetland,Built-up,Water,Grassland
56,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Wetland,Grassland
57,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Grassland
58,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Forest,Grassland
59,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Wetland,Grassland
60,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Bareland,Grassland
61,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Grassland
62,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Forest
63,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Water,Grassland
64,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Water,Forest
65,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Grassland
66,NULL,NULL,NULL,Water,Non_Wetland,Water,Wetland,Grassland
67,NULL,NULL,NULL,Water,Non_Wetland,Water,Wetland,Forest
68,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
69,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
70,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
71,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
72,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
73,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
74,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
75,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
76,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
77,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
78,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
79,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
80,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Forest
81,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
82,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
83,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
84,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
85,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
86,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
87,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Built-up,Grassland
88,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Grassland
89,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
90,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
91,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
92,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Forest
93,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
94,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
95,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
96,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
97,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
98,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Forest
99,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
