Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_23MNR_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MNR_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MNR_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_23MNR_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MNR_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MNR_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MNR_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_23MNR_M_R
30,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Built-up
31,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
32,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
33,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
34,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
35,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Built-up
36,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
37,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,NULL
38,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
39,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Wetland
40,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Forest
41,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
42,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
43,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
44,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
45,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
46,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Wetland
47,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Bareland
48,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Built-up
49,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
50,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
51,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
52,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
53,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
54,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
55,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
56,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
57,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
58,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Water
59,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
60,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
61,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
62,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Cropland
63,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Wetland
64,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
65,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
66,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
67,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Built-up
68,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
69,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,NULL
70,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
71,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Built-up
72,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Forest
73,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,NULL
74,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
75,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Wetland
76,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Bareland
77,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Forest
78,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
79,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
80,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
81,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Wetland
82,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Bareland
83,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Built-up
84,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
85,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
86,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Wetland,Grassland
87,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,NULL
88,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
89,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Wetland
90,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
91,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
92,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
93,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Wetland
94,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Water
95,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
96,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
97,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
98,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Cropland
99,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
100,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
101,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Grassland
102,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Built-up,Grassland
103,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Grassland
104,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Wetland
105,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
106,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Wetland
107,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
108,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
109,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
110,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
111,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
112,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
113,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
114,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
115,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
116,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Wetland
117,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
118,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
119,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Water
120,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
121,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,NULL
122,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
123,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Cropland
124,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Built-up
125,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
126,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
127,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
128,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
129,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
130,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,NULL
131,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
132,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Built-up
133,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Forest
134,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
135,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Bareland
136,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,NULL
137,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
138,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Bareland
139,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Built-up
140,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
141,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,NULL
142,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
143,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Built-up
144,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Forest
145,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,NULL
146,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
147,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Bareland
148,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Built-up
149,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Water
150,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Forest
151,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Wetland,Grassland
152,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Grassland
153,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Built-up
154,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,NULL
155,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
156,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Cropland
157,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Bareland
158,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
159,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Forest
160,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Forest,NULL
161,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Forest,Grassland
162,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Forest,Built-up
163,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Forest,Forest
164,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Grassland
165,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
166,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Wetland
167,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Forest
168,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Grassland
169,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Water
170,NULL,NULL,NULL,NULL,Non_Wetland,Water,Forest,Grassland
171,NULL,NULL,NULL,NULL,Non_Wetland,Water,Forest,Water
172,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,NULL
173,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
174,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
175,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
176,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
177,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
178,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
179,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
180,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Wetland
181,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
182,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,NULL
183,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Grassland
184,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
185,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
186,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
187,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Wetland
188,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
189,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
190,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Wetland
191,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Built-up
192,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Forest
193,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,NULL
194,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Wetland
195,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Forest,NULL
196,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Forest,Grassland
197,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
198,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,Grassland
199,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,NULL
200,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
201,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Forest
202,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,NULL
203,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
204,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Cropland
205,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
206,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Water
207,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Forest
208,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,NULL
209,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
210,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Built-up,Forest
211,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,NULL
212,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Forest,Grassland
213,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Forest,Forest
214,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
215,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,NULL
216,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
217,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
218,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Forest,Grassland
219,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
220,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Wetland
221,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Bareland
222,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Wetland,Wetland
223,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Forest,Grassland
224,NULL,NULL,NULL,Non_Water,Non_Wetland,Built-up,Built-up,Grassland
225,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Wetland
226,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Wetland,Grassland
227,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,NULL,NULL
228,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Grassland,Grassland
229,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Forest,NULL
230,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Forest,Grassland
231,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Forest,Wetland
232,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Forest,Forest
233,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
234,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Built-up
235,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Water
236,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Grassland
237,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Wetland
238,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Water
239,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Forest
240,NULL,NULL,NULL,Water,Non_Wetland,NULL,Water,Bareland
241,NULL,NULL,NULL,Water,Non_Wetland,NULL,Water,Water
242,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,NULL
243,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,Grassland
244,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,NULL
245,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
246,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Cropland
247,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Forest
248,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Wetland,Grassland
249,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Water,Grassland
250,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Forest,Grassland
251,NULL,NULL,NULL,Water,Non_Wetland,Cropland,NULL,Grassland
252,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Grassland,Forest
253,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Grassland
254,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Wetland
255,NULL,NULL,NULL,Water,Non_Wetland,Bareland,NULL,Water
256,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Grassland,Grassland
257,NULL,NULL,NULL,Water,Non_Wetland,Water,Grassland,Grassland
258,NULL,NULL,NULL,Water,Non_Wetland,Water,Grassland,Wetland
259,NULL,NULL,NULL,Water,Non_Wetland,Water,Grassland,Bareland
260,NULL,NULL,NULL,Water,Non_Wetland,Forest,NULL,Grassland
261,NULL,NULL,NULL,Water,Non_Wetland,Forest,Grassland,Forest
262,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
263,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
264,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
265,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
266,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
267,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
268,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
269,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
270,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
271,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
272,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Wetland
273,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Bareland
274,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Built-up
275,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Water
276,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
277,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,NULL
278,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
279,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
280,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,NULL
281,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
282,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Built-up
283,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,NULL
284,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Grassland
285,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Cropland
286,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Built-up
287,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Forest
288,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,NULL
289,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Grassland
290,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Forest
291,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,NULL
292,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
293,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Wetland
294,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Bareland
295,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Built-up
296,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Water
297,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
298,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
299,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
300,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Built-up
301,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
302,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,NULL
303,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
304,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Forest
305,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,Grassland
306,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,Forest
307,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
308,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
309,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
310,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
311,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Wetland
312,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Bareland
313,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Built-up
314,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Water
315,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
316,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
317,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
318,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Bareland
319,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
320,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
321,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
322,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
323,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
324,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
325,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
326,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Water
327,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
328,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
329,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
330,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Cropland
