Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_24MTS_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24MTS_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24MTS_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_24MTS_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24MTS_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24MTS_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24MTS_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_24MTS_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Bareland,Built-up
30,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,NULL
31,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Grassland
32,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Cropland
33,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,NULL
34,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Grassland
35,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Wetland
36,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Bareland
37,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,NULL
38,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
39,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,NULL
40,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
41,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Cropland
42,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Wetland
43,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Bareland
44,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Built-up
45,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Water
46,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
47,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
48,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
49,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
50,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
51,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
52,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
53,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Water
54,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
55,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
56,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
57,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Cropland
58,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Wetland
59,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Bareland
60,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Built-up
61,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Water
62,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
63,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,NULL
64,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
65,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Cropland
66,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Wetland
67,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Bareland
68,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Built-up
69,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,NULL
70,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Grassland
71,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Cropland
72,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Wetland
73,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Built-up
74,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Forest
75,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,NULL
76,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Grassland
77,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Cropland
78,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Wetland
79,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Bareland
80,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Water
81,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Forest
82,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
83,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
84,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
85,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
86,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
87,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Wetland
88,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Bareland
89,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Built-up
90,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Water
91,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
92,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
93,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
94,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
95,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Wetland
96,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Bareland
97,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Built-up
98,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Water
99,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
100,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
101,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
102,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
103,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
104,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
105,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
106,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Water
107,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
108,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
109,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
110,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Cropland
111,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Bareland
112,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Built-up
113,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,NULL
114,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
115,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Cropland
116,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Wetland
117,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Bareland
118,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Built-up
119,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Forest
120,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,NULL
121,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
122,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Wetland
123,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Bareland
124,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Water
125,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
126,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
127,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,NULL
128,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
129,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
130,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Wetland
131,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,NULL
132,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Grassland
133,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Cropland
134,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,NULL
135,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
136,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Built-up,NULL
137,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
138,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
139,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
140,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Wetland
141,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
142,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
143,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Water
144,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
145,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
146,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
147,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Cropland
148,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Wetland
149,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Bareland
150,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Built-up
151,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
152,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
153,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
154,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
155,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Wetland
156,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
157,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
158,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Water
159,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
160,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
161,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
162,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Cropland
163,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
164,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
165,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,NULL
166,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
167,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Cropland
168,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Bareland
169,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Built-up
170,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,NULL
171,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
172,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Wetland
173,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Bareland
174,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,NULL
175,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,NULL
176,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
177,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Cropland
178,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Bareland
179,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Built-up
180,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,NULL
181,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Grassland
182,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Built-up
183,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Forest
184,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,NULL
185,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
186,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Cropland
187,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Bareland
188,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Built-up
189,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Forest
190,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Grassland
191,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,NULL
192,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
193,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Cropland
194,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Bareland
195,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
196,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,NULL
197,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Grassland
198,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Cropland
199,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Wetland
200,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Bareland
201,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Built-up
202,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Water
203,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,NULL
204,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Grassland
205,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Wetland
206,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Bareland
207,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Forest
208,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,NULL
209,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
210,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Wetland
211,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Water
212,NULL,NULL,NULL,NULL,Non_Wetland,Water,Bareland,Bareland
213,NULL,NULL,NULL,NULL,Non_Wetland,Water,Bareland,Water
214,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,NULL
215,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Grassland
216,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Cropland
217,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Wetland
218,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Bareland
219,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Water
220,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,NULL
221,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
222,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Cropland
223,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Wetland
224,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
225,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
226,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
227,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Wetland
228,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
229,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
230,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
231,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,NULL
232,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
233,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Cropland
234,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Wetland
235,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Bareland
236,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Water
237,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,NULL
238,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Grassland
239,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Wetland
240,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Bareland
241,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,NULL
242,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
243,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Cropland
244,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Wetland
245,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Bareland
246,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Bareland,Wetland
247,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,NULL
248,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Forest,Forest
249,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,NULL
250,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Grassland
251,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Cropland
252,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Wetland
253,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Bareland
254,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Forest
255,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
256,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
257,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Cropland
258,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Wetland
259,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Forest
260,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,NULL
261,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
262,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Cropland
263,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Wetland
264,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Bareland,Wetland
265,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,NULL
266,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Grassland
267,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,NULL
268,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
269,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Cropland
270,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Wetland
271,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Bareland
272,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,NULL
273,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
274,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Cropland
275,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Wetland
276,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Bareland
277,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Water
278,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,NULL
279,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
280,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Cropland
281,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
282,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Bareland
283,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Cropland
284,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,NULL
285,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Grassland
286,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,NULL,Grassland
287,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,Shrubland,NULL
288,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Grassland
289,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Wetland
290,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Bareland
291,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Water
292,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,NULL
293,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
294,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Cropland
295,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Wetland
296,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Bareland
297,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Wetland
298,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
299,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Grassland
300,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Wetland
301,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Bareland
302,NULL,NULL,NULL,Non_Water,Non_Wetland,Built-up,NULL,Grassland
303,NULL,NULL,NULL,Non_Water,Non_Wetland,Built-up,Built-up,Grassland
304,NULL,NULL,NULL,Non_Water,Non_Wetland,Built-up,Built-up,Bareland
305,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,NULL
306,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Grassland
307,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Wetland
308,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Bareland
309,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Forest
310,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Shrubland,NULL
311,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Shrubland,Grassland
312,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Shrubland,Wetland
313,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Cropland
314,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Wetland
315,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Bareland
316,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,NULL
317,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Grassland
318,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Wetland
319,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Water
320,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Forest
321,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Shrubland,Wetland
322,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Shrubland,Forest
323,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Grassland,Grassland
324,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Grassland,Cropland
325,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Built-up,NULL
326,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,NULL
327,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
328,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Cropland
