Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21MTV_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MTV_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MTV_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MTV_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MTV_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MTV_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MTV_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21MTV_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
2,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,NULL
3,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,NULL
4,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
5,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
6,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,NULL
7,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
8,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,NULL
9,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,NULL
10,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,NULL
11,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,NULL
12,NULL,NULL,NULL,NULL,Non_Wetland,Water,Bareland,NULL
13,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,NULL
14,NULL,NULL,NULL,NULL,Non_Wetland,Water,Forest,NULL
15,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
16,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
17,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
18,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,NULL
19,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,NULL
20,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,NULL
21,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,NULL
22,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,NULL
23,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,NULL
24,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,NULL
25,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,NULL
26,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,NULL
27,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Bareland,NULL
28,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,NULL
29,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Bareland,NULL
30,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,NULL
31,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,NULL
32,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,NULL
33,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,NULL
34,NULL,NULL,Wetland,NULL,Wetland,Bareland,Wetland,NULL
35,NULL,NULL,Wetland,NULL,Wetland,Bareland,Water,NULL
36,NULL,NULL,Wetland,NULL,Wetland,Built-up,Bareland,NULL
37,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,NULL
38,NULL,NULL,Wetland,NULL,Wetland,Water,Bareland,NULL
39,NULL,NULL,Wetland,NULL,Wetland,Water,Water,NULL
40,NULL,NULL,Wetland,NULL,Wetland,Water,Forest,NULL
41,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,NULL
42,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Water,NULL
43,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Wetland,NULL
44,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Water,NULL
45,NULL,NULL,Bareland,NULL,Non_Wetland,Water,Wetland,NULL
46,NULL,NULL,Bareland,NULL,Non_Wetland,Water,Water,NULL
47,NULL,NULL,Bareland,NULL,Non_Wetland,Water,Forest,NULL
48,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Bareland,NULL
49,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,NULL
50,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,NULL
51,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Water,NULL
52,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Bareland,NULL
53,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Water,NULL
54,NULL,NULL,Water,NULL,Water,Wetland,Wetland,NULL
55,NULL,NULL,Water,NULL,Water,Wetland,Water,NULL
56,NULL,NULL,Water,NULL,Water,Bareland,Bareland,NULL
57,NULL,NULL,Water,NULL,Water,Bareland,Water,NULL
58,NULL,NULL,Water,NULL,Water,Water,Grassland,NULL
59,NULL,NULL,Water,NULL,Water,Water,Wetland,NULL
60,NULL,NULL,Water,NULL,Water,Water,Water,NULL
61,NULL,NULL,Water,NULL,Water,Water,Forest,NULL
62,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Forest,NULL
63,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,NULL
64,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Forest,NULL
65,NULL,Wetland,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
66,NULL,Wetland,Shrubland,NULL,Non_Wetland,Built-up,Bareland,NULL
67,NULL,Wetland,Wetland,NULL,Wetland,Wetland,NULL,NULL
68,NULL,Wetland,Wetland,NULL,Wetland,Wetland,Grassland,NULL
69,NULL,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,NULL
70,NULL,Wetland,Wetland,NULL,Wetland,Wetland,Water,NULL
71,NULL,Wetland,Wetland,NULL,Wetland,Bareland,Water,NULL
72,NULL,Wetland,Wetland,NULL,Wetland,Water,NULL,NULL
73,NULL,Wetland,Wetland,NULL,Wetland,Water,Wetland,NULL
74,NULL,Wetland,Wetland,NULL,Wetland,Water,Water,NULL
75,NULL,Wetland,Bareland,NULL,Non_Wetland,Wetland,Wetland,NULL
76,NULL,Wetland,Bareland,NULL,Non_Wetland,Wetland,Water,NULL
77,NULL,Wetland,Bareland,NULL,Non_Wetland,Water,Wetland,NULL
78,NULL,Wetland,Water,NULL,Water,Wetland,Water,NULL
79,NULL,Wetland,Water,NULL,Water,Water,Wetland,NULL
80,NULL,Wetland,Water,NULL,Water,Water,Water,NULL
81,NULL,Bareland,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
82,NULL,Bareland,NULL,NULL,Non_Wetland,Water,Water,NULL
83,NULL,Bareland,NULL,NULL,Non_Wetland,Water,Forest,NULL
84,NULL,Bareland,Wetland,NULL,Wetland,Wetland,Water,NULL
85,NULL,Bareland,Wetland,NULL,Wetland,Bareland,Wetland,NULL
86,NULL,Bareland,Wetland,NULL,Wetland,Bareland,Water,NULL
87,NULL,Bareland,Wetland,NULL,Wetland,Water,Wetland,NULL
88,NULL,Bareland,Wetland,NULL,Wetland,Water,Water,NULL
89,NULL,Bareland,Wetland,NULL,Wetland,Water,Forest,NULL
90,NULL,Bareland,Bareland,NULL,Non_Wetland,Wetland,Water,NULL
91,NULL,Bareland,Bareland,NULL,Non_Wetland,Bareland,Water,NULL
92,NULL,Bareland,Bareland,NULL,Non_Wetland,Water,Water,NULL
93,NULL,Bareland,Water,NULL,Water,Water,Wetland,NULL
94,NULL,Bareland,Water,NULL,Water,Water,Water,NULL
95,NULL,Bareland,Water,NULL,Water,Water,Forest,NULL
96,NULL,Water,NULL,NULL,Non_Wetland,Water,Water,NULL
97,NULL,Water,NULL,NULL,Non_Wetland,Water,Forest,NULL
98,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland,Water,NULL
99,NULL,Water,Wetland,NULL,Wetland,Wetland,Water,NULL
100,NULL,Water,Wetland,NULL,Wetland,Bareland,Wetland,NULL
101,NULL,Water,Wetland,NULL,Wetland,Bareland,Water,NULL
102,NULL,Water,Wetland,NULL,Wetland,Water,Wetland,NULL
103,NULL,Water,Wetland,NULL,Wetland,Water,Water,NULL
104,NULL,Water,Wetland,NULL,Wetland,Water,Forest,NULL
105,NULL,Water,Bareland,NULL,Non_Wetland,Wetland,Water,NULL
106,NULL,Water,Built-up,NULL,Non_Wetland,Built-up,Bareland,NULL
107,NULL,Water,Water,NULL,Water,Wetland,Wetland,NULL
108,NULL,Water,Water,NULL,Water,Wetland,Water,NULL
109,NULL,Water,Water,NULL,Water,Wetland,Forest,NULL
110,NULL,Water,Water,NULL,Water,Bareland,Water,NULL
