Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20MPE_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MPE_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MPE_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MPE_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MPE_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MPE_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MPE_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20MPE_M_R
97,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Water,NULL
98,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,NULL
99,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,NULL
100,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Wetland,NULL
101,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,NULL
102,NULL,NULL,Forest,NULL,Non_Wetland,Water,Wetland,NULL
103,NULL,NULL,Forest,NULL,Non_Wetland,Water,Water,NULL
104,NULL,NULL,Forest,NULL,Non_Wetland,Water,Forest,NULL
105,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,NULL
106,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Wetland,NULL
107,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Forest,NULL
108,NULL,Wetland,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
109,NULL,Wetland,NULL,NULL,Non_Wetland,Wetland,Water,NULL
110,NULL,Wetland,NULL,NULL,Non_Wetland,Bareland,Wetland,NULL
111,NULL,Wetland,NULL,NULL,Non_Wetland,Water,Wetland,NULL
112,NULL,Wetland,NULL,NULL,Non_Wetland,Water,Water,NULL
113,NULL,Wetland,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
114,NULL,Wetland,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
115,NULL,Wetland,Shrubland,NULL,Non_Wetland,Wetland,Bareland,NULL
116,NULL,Wetland,Shrubland,NULL,Non_Wetland,Wetland,Water,NULL
117,NULL,Wetland,Shrubland,NULL,Non_Wetland,Bareland,Wetland,NULL
118,NULL,Wetland,Shrubland,NULL,Non_Wetland,Water,Wetland,NULL
119,NULL,Wetland,Grassland,NULL,Non_Wetland,Wetland,Wetland,NULL
120,NULL,Wetland,Grassland,NULL,Non_Wetland,Bareland,Wetland,NULL
121,NULL,Wetland,Grassland,NULL,Non_Wetland,Water,Wetland,NULL
122,NULL,Wetland,Grassland,NULL,Non_Wetland,Water,Water,NULL
123,NULL,Wetland,Wetland,NULL,Wetland,NULL,Wetland,NULL
124,NULL,Wetland,Wetland,NULL,Wetland,Grassland,Wetland,NULL
125,NULL,Wetland,Wetland,NULL,Wetland,Wetland,NULL,NULL
126,NULL,Wetland,Wetland,NULL,Wetland,Wetland,Grassland,NULL
127,NULL,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,NULL
128,NULL,Wetland,Wetland,NULL,Wetland,Wetland,Water,NULL
129,NULL,Wetland,Wetland,NULL,Wetland,Bareland,Wetland,NULL
130,NULL,Wetland,Wetland,NULL,Wetland,Bareland,Water,NULL
131,NULL,Wetland,Wetland,NULL,Wetland,Water,Grassland,NULL
132,NULL,Wetland,Wetland,NULL,Wetland,Water,Wetland,NULL
133,NULL,Wetland,Wetland,NULL,Wetland,Water,Water,NULL
134,NULL,Wetland,Wetland,NULL,Wetland,Water,Forest,NULL
135,NULL,Wetland,Bareland,NULL,Non_Wetland,Grassland,Wetland,NULL
136,NULL,Wetland,Bareland,NULL,Non_Wetland,Wetland,Wetland,NULL
137,NULL,Wetland,Bareland,NULL,Non_Wetland,Wetland,Water,NULL
138,NULL,Wetland,Bareland,NULL,Non_Wetland,Bareland,Wetland,NULL
139,NULL,Wetland,Bareland,NULL,Non_Wetland,Bareland,Water,NULL
140,NULL,Wetland,Bareland,NULL,Non_Wetland,Water,Wetland,NULL
141,NULL,Wetland,Bareland,NULL,Non_Wetland,Water,Water,NULL
142,NULL,Wetland,Built-up,NULL,Non_Wetland,Grassland,Wetland,NULL
143,NULL,Wetland,Built-up,NULL,Non_Wetland,Wetland,Wetland,NULL
144,NULL,Wetland,Built-up,NULL,Non_Wetland,Wetland,Water,NULL
145,NULL,Wetland,Built-up,NULL,Non_Wetland,Bareland,Wetland,NULL
146,NULL,Wetland,Built-up,NULL,Non_Wetland,Water,Wetland,NULL
147,NULL,Wetland,Water,NULL,Water,Wetland,Wetland,NULL
148,NULL,Wetland,Water,NULL,Water,Wetland,Water,NULL
149,NULL,Wetland,Water,NULL,Water,Bareland,Wetland,NULL
150,NULL,Wetland,Water,NULL,Water,Bareland,Water,NULL
151,NULL,Wetland,Water,NULL,Water,Water,Wetland,NULL
152,NULL,Wetland,Water,NULL,Water,Water,Water,NULL
153,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,Wetland,NULL
154,NULL,Wetland,Forest,NULL,Non_Wetland,Grassland,Wetland,NULL
155,NULL,Wetland,Forest,NULL,Non_Wetland,Wetland,Wetland,NULL
156,NULL,Wetland,Forest,NULL,Non_Wetland,Wetland,Water,NULL
157,NULL,Wetland,Forest,NULL,Non_Wetland,Bareland,Wetland,NULL
158,NULL,Wetland,Forest,NULL,Non_Wetland,Water,Wetland,NULL
159,NULL,Bareland,NULL,NULL,Non_Wetland,Wetland,Water,NULL
160,NULL,Bareland,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
161,NULL,Bareland,Shrubland,NULL,Non_Wetland,Wetland,Water,NULL
162,NULL,Bareland,Shrubland,NULL,Non_Wetland,Water,Wetland,NULL
163,NULL,Bareland,Grassland,NULL,Non_Wetland,Wetland,Wetland,NULL
164,NULL,Bareland,Wetland,NULL,Wetland,Grassland,Water,NULL
165,NULL,Bareland,Wetland,NULL,Wetland,Wetland,Wetland,NULL
166,NULL,Bareland,Wetland,NULL,Wetland,Water,Water,NULL
167,NULL,Bareland,Bareland,NULL,Non_Wetland,Wetland,Wetland,NULL
168,NULL,Bareland,Water,NULL,Water,Wetland,Wetland,NULL
169,NULL,Bareland,Water,NULL,Water,Wetland,Water,NULL
170,NULL,Bareland,Water,NULL,Water,Bareland,Water,NULL
171,NULL,Bareland,Water,NULL,Water,Water,Water,NULL
172,NULL,Bareland,Forest,NULL,Non_Wetland,Wetland,Wetland,NULL
173,NULL,Bareland,Forest,NULL,Non_Wetland,Wetland,Water,NULL
174,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
175,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
176,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Water,NULL
177,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
178,NULL,Built-up,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
179,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
180,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,Wetland,NULL
181,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
182,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,Forest,NULL
183,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up,Wetland,NULL
184,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up,Bareland,NULL
185,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up,Water,NULL
186,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
187,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
188,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Bareland,NULL
189,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Water,NULL
190,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
191,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
192,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Forest,NULL
193,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Grassland,NULL
194,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Wetland,NULL
195,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Bareland,NULL
196,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Forest,NULL
197,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Wetland,NULL
198,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Bareland,NULL
199,NULL,Built-up,Shrubland,NULL,Non_Wetland,Water,Wetland,NULL
200,NULL,Built-up,Grassland,NULL,Non_Wetland,Wetland,Wetland,NULL
201,NULL,Built-up,Wetland,NULL,Wetland,Grassland,Wetland,NULL
202,NULL,Built-up,Wetland,NULL,Wetland,Grassland,Bareland,NULL
203,NULL,Built-up,Wetland,NULL,Wetland,Wetland,Wetland,NULL
204,NULL,Built-up,Wetland,NULL,Wetland,Wetland,Bareland,NULL
205,NULL,Built-up,Wetland,NULL,Wetland,Wetland,Water,NULL
206,NULL,Built-up,Wetland,NULL,Wetland,Bareland,Wetland,NULL
207,NULL,Built-up,Wetland,NULL,Wetland,Bareland,Water,NULL
208,NULL,Built-up,Wetland,NULL,Wetland,Built-up,Bareland,NULL
209,NULL,Built-up,Wetland,NULL,Wetland,Water,Wetland,NULL
210,NULL,Built-up,Wetland,NULL,Wetland,Water,Water,NULL
211,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland,Wetland,NULL
212,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland,Forest,NULL
213,NULL,Built-up,Bareland,NULL,Non_Wetland,Wetland,Wetland,NULL
214,NULL,Built-up,Bareland,NULL,Non_Wetland,Wetland,Water,NULL
215,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland,Wetland,NULL
216,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland,Forest,NULL
217,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up,Bareland,NULL
218,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Wetland,NULL
219,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Bareland,NULL
220,NULL,Built-up,Built-up,NULL,Non_Wetland,Wetland,Wetland,NULL
221,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Grassland,NULL
222,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Wetland,NULL
223,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Bareland,NULL
224,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Forest,NULL
225,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Bareland,NULL
226,NULL,Built-up,Built-up,NULL,Non_Wetland,Water,Wetland,NULL
227,NULL,Built-up,Water,NULL,Water,Wetland,Wetland,NULL
228,NULL,Built-up,Water,NULL,Water,Wetland,Water,NULL
229,NULL,Built-up,Water,NULL,Water,Bareland,Bareland,NULL
230,NULL,Built-up,Water,NULL,Water,Bareland,Water,NULL
231,NULL,Built-up,Water,NULL,Water,Built-up,Bareland,NULL
232,NULL,Built-up,Water,NULL,Water,Built-up,Water,NULL
233,NULL,Built-up,Water,NULL,Water,Water,Water,NULL
234,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Grassland,NULL
235,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Wetland,NULL
236,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Bareland,NULL
237,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland,Wetland,NULL
238,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland,Bareland,NULL
239,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland,Water,NULL
240,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Grassland,NULL
241,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Wetland,NULL
242,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Bareland,NULL
243,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Forest,NULL
244,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,Grassland,NULL
245,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,Wetland,NULL
246,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,Bareland,NULL
247,NULL,Built-up,Forest,NULL,Non_Wetland,Water,Bareland,NULL
248,NULL,Water,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
249,NULL,Water,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
250,NULL,Water,NULL,NULL,Non_Wetland,Wetland,Bareland,NULL
251,NULL,Water,NULL,NULL,Non_Wetland,Wetland,Water,NULL
252,NULL,Water,NULL,NULL,Non_Wetland,Bareland,Wetland,NULL
253,NULL,Water,NULL,NULL,Non_Wetland,Bareland,Water,NULL
254,NULL,Water,NULL,NULL,Non_Wetland,Water,Wetland,NULL
255,NULL,Water,NULL,NULL,Non_Wetland,Water,Forest,NULL
256,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
257,NULL,Water,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
258,NULL,Water,Shrubland,NULL,Non_Wetland,Wetland,Water,NULL
259,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland,Wetland,NULL
260,NULL,Water,Shrubland,NULL,Non_Wetland,Water,Water,NULL
261,NULL,Water,Grassland,NULL,Non_Wetland,Wetland,Wetland,NULL
262,NULL,Water,Grassland,NULL,Non_Wetland,Wetland,Water,NULL
263,NULL,Water,Grassland,NULL,Non_Wetland,Water,Water,NULL
264,NULL,Water,Wetland,NULL,Wetland,Grassland,Wetland,NULL
265,NULL,Water,Wetland,NULL,Wetland,Grassland,Water,NULL
266,NULL,Water,Wetland,NULL,Wetland,Wetland,Wetland,NULL
267,NULL,Water,Wetland,NULL,Wetland,Wetland,Water,NULL
268,NULL,Water,Wetland,NULL,Wetland,Bareland,Wetland,NULL
269,NULL,Water,Wetland,NULL,Wetland,Bareland,Water,NULL
270,NULL,Water,Wetland,NULL,Wetland,Water,Wetland,NULL
271,NULL,Water,Wetland,NULL,Wetland,Water,Water,NULL
272,NULL,Water,Bareland,NULL,Non_Wetland,Wetland,Wetland,NULL
273,NULL,Water,Bareland,NULL,Non_Wetland,Water,Wetland,NULL
274,NULL,Water,Bareland,NULL,Non_Wetland,Water,Water,NULL
275,NULL,Water,Built-up,NULL,Non_Wetland,Wetland,Wetland,NULL
276,NULL,Water,Built-up,NULL,Non_Wetland,Bareland,Wetland,NULL
277,NULL,Water,Built-up,NULL,Non_Wetland,Water,Wetland,NULL
278,NULL,Water,Built-up,NULL,Non_Wetland,Water,Forest,NULL
279,NULL,Water,Water,NULL,Water,Wetland,Wetland,NULL
280,NULL,Water,Water,NULL,Water,Wetland,Water,NULL
281,NULL,Water,Water,NULL,Water,Bareland,Water,NULL
282,NULL,Water,Water,NULL,Water,Water,Wetland,NULL
283,NULL,Water,Water,NULL,Water,Water,Water,NULL
284,NULL,Water,Water,NULL,Water,Water,Forest,NULL
285,NULL,Water,Forest,NULL,Non_Wetland,Wetland,Wetland,NULL
286,NULL,Water,Forest,NULL,Non_Wetland,Wetland,Bareland,NULL
287,NULL,Water,Forest,NULL,Non_Wetland,Wetland,Water,NULL
288,NULL,Water,Forest,NULL,Non_Wetland,Bareland,Wetland,NULL
289,NULL,Water,Forest,NULL,Non_Wetland,Water,Wetland,NULL
290,NULL,Water,Forest,NULL,Non_Wetland,Water,Water,NULL
291,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
292,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
293,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
294,NULL,Forest,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
295,NULL,Forest,NULL,NULL,Non_Wetland,Bareland,Wetland,NULL
296,NULL,Forest,NULL,NULL,Non_Wetland,Water,Wetland,NULL
297,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
298,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
299,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
300,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
301,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,Grassland,NULL
302,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,Wetland,NULL
303,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,Forest,NULL
304,NULL,Forest,Grassland,NULL,Non_Wetland,Wetland,Wetland,NULL
305,NULL,Forest,Grassland,NULL,Non_Wetland,Water,Wetland,NULL
306,NULL,Forest,Grassland,NULL,Non_Wetland,Water,Forest,NULL
307,NULL,Forest,Wetland,NULL,Wetland,Grassland,Wetland,NULL
308,NULL,Forest,Wetland,NULL,Wetland,Wetland,Grassland,NULL
309,NULL,Forest,Wetland,NULL,Wetland,Wetland,Wetland,NULL
310,NULL,Forest,Wetland,NULL,Wetland,Wetland,Water,NULL
311,NULL,Forest,Wetland,NULL,Wetland,Wetland,Forest,NULL
312,NULL,Forest,Wetland,NULL,Wetland,Water,Wetland,NULL
313,NULL,Forest,Wetland,NULL,Wetland,Water,Water,NULL
314,NULL,Forest,Bareland,NULL,Non_Wetland,Wetland,Wetland,NULL
315,NULL,Forest,Bareland,NULL,Non_Wetland,Bareland,Wetland,NULL
316,NULL,Forest,Bareland,NULL,Non_Wetland,Water,Wetland,NULL
317,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland,Wetland,NULL
318,NULL,Forest,Built-up,NULL,Non_Wetland,Wetland,Wetland,NULL
319,NULL,Forest,Built-up,NULL,Non_Wetland,Bareland,Wetland,NULL
320,NULL,Forest,Water,NULL,Water,Wetland,Wetland,NULL
321,NULL,Forest,Water,NULL,Water,Water,Wetland,NULL
322,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Wetland,NULL
323,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,NULL
324,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,Grassland,NULL
325,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,Wetland,NULL
326,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,Water,NULL
327,NULL,Forest,Forest,NULL,Non_Wetland,Bareland,Grassland,NULL
328,NULL,Forest,Forest,NULL,Non_Wetland,Bareland,Wetland,NULL
329,NULL,Forest,Forest,NULL,Non_Wetland,Bareland,Built-up,NULL
330,NULL,Forest,Forest,NULL,Non_Wetland,Bareland,Forest,NULL
331,NULL,Forest,Forest,NULL,Non_Wetland,Water,Wetland,NULL
332,NULL,Forest,Forest,NULL,Non_Wetland,Water,Forest,NULL
333,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
334,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
335,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
336,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Water,NULL
337,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
338,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
339,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
340,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,NULL
341,Grassland,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
342,Grassland,NULL,NULL,NULL,Non_Wetland,Bareland,Water,NULL
